scenario_id,experiment_id,final_score_bucket,target_room_bucket,retest_score_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,break_even_triggered,break_even_exits,full_sl_exits,tp_exits,time_exits,avg_mfe_r,avg_mae_r,avg_final_score,avg_target_room_score,avg_retest_score,avg_m15_best_score,avg_m5_best_score
all_symbols_first120,baseline_current,gte_1_1,high,none,6,4,0.6666666666666666,-14.240000000000002,29.64,-43.88,0.6754785779398359,-0.6348000000000003,-0.10580000000000005,0.6826,29.060000000000002,0.2906,-0.49002064693737096,0,0,2,0,4,0.41064999999999996,0.52185,4.716666666666666,0.35000000000000003,0.0,1.4000000000000001,2.9
all_symbols_first120,baseline_current,gte_1_1,zero,none,320,124,0.3875,-594.9399999999996,3198.63,-3793.5700000000015,0.8431714717271591,-25.6052,-0.08001625,0.8440500741220766,867.5099999999998,8.675099999999999,-0.6858018927735701,30,4,136,76,104,0.6087859374999998,0.6679090625000005,4.535625000000018,0.0,0.0,2.674375000000002,1.7124999999999992
all_symbols_first120,prefilter_h1_h4_notopp,gte_1_1,low,high,6,0,0.0,-107.96000000000001,0,-107.96000000000001,0.0,-4.785,-0.7975,0.0,107.96000000000001,1.0796000000000001,-1.0,0,0,4,0,2,0.12753333333333333,0.8715666666666667,4.483333333333333,0.15,0.19999999999999998,2.6333333333333333,1.5
all_symbols_first120,prefilter_h1_h4_notopp,gte_1_1,negative,high,721,277,0.3841886269070735,-1324.3499999999995,6217.620000000004,-7541.970000000005,0.8244026428108306,-57.87469999999998,-0.08027004160887653,0.8287463248696831,1522.7700000000002,15.227700000000002,-0.8696979845938646,62,9,274,148,290,0.5679766990291263,0.6040095700416092,4.284188626907106,-0.30000000000000343,0.20000000000000048,3.7264909847434082,2.909847434119287
all_symbols_first120,prefilter_h1_h4_notopp,gte_1_1,zero,high,10,0,0.0,-191.62000000000003,0,-191.62000000000003,0.0,-8.696,-0.8695999999999999,0.0,191.62000000000003,1.9162000000000001,-1.0,0,0,8,0,2,0.30705,0.90141,4.42,0.0,0.19999999999999998,4.22,2.42
all_symbols_first120,prefilter_h4_bias_h1_reversal,gte_1_1,high,high,2,0,0.0,-53.76,0,-53.76,0.0,-2.1818,-1.0909,0.0,53.76,0.5376,-1.0,0,0,2,0,0,1.0341,1.0909,3.15,0.35,0.2,0.0,2.6
all_symbols_first120,prefilter_h4_bias_h1_reversal,gte_1_1,low,high,4,0,0.0,-98.94,0,-98.94,0.0,-4.0108,-1.0027,0.0,98.94,0.9894000000000001,-1.0,0,0,4,0,0,0.092,1.105975,4.15,0.15,0.2,3.8,2.1
all_symbols_first120,prefilter_h4_bias_h1_reversal,gte_1_1,negative,high,496,194,0.3911290322580645,-710.1699999999993,5036.210000000002,-5746.380000000002,0.8764143686982065,-29.909700000000004,-0.060301814516129044,0.879220071233009,945.6699999999995,9.456699999999996,-0.750970211596011,41,6,224,120,146,0.6072510080645163,0.6466191532258071,4.229435483870981,-0.2999999999999999,0.20000000000000176,3.574193548387104,2.926612903225816
all_symbols_first120,prefilter_h4_bias_h1_reversal,gte_1_1,zero,high,14,0,0.0,-305.0799999999999,0,-305.0799999999999,0.0,-12.7328,-0.9094857142857142,0.0,305.0799999999999,3.0507999999999993,-1.0,0,0,12,0,2,0.18207857142857145,0.9390642857142856,4.457142857142858,0.0,0.2,3.057142857142857,3.7285714285714286
all_symbols_first120,prefilter_soft,gte_1_1,high,high,2,0,0.0,-42.02,0,-42.02,0.0,-2.0106,-1.0053,0.0,42.02,0.4202,-1.0,0,0,2,0,0,0.35525,1.0053,5.05,0.35,0.2,4.5,4.5
all_symbols_first120,prefilter_soft,gte_1_1,low,high,16,4,0.25,-208.45999999999998,54.06,-262.52,0.2059271674539083,-9.7774,-0.6110875,0.1898883107413913,235.48999999999998,2.3548999999999998,-0.8852180559684063,1,0,12,0,4,0.2762625,0.8315750000000001,4.674999999999999,0.14999999999999997,0.20000000000000004,3.7624999999999997,3.8625000000000003
all_symbols_first120,prefilter_soft,gte_1_1,negative,high,1447,582,0.40221147201105734,-2534.039999999996,12983.23,-15517.27,0.8366955012060755,-113.30439999999992,-0.0783029716655148,0.8416400146306092,2534.039999999996,25.340399999999956,-1.0,122,9,627,313,498,0.5755741534208701,0.6260851416724253,4.326952315134702,-0.3000000000000074,0.19999999999999457,4.053282653766399,3.458465791292303
all_symbols_first120,prefilter_soft,gte_1_1,zero,high,24,4,0.16666666666666666,-225.03000000000003,133.10000000000002,-358.12999999999994,0.3716527517940414,-10.8904,-0.45376666666666665,0.35542218592042807,259.38000000000005,2.5938000000000008,-0.8675688179504972,1,0,14,4,6,0.32879166666666665,0.8178916666666668,4.400000000000001,0.0,0.20000000000000007,3.8249999999999997,3.258333333333334
clean_target_path_first120,baseline_current,gte_1_1,zero,none,46,18,0.391304347826087,34.65000000000001,523.62,-488.9700000000001,1.070863243143751,1.3016000000000005,0.028295652173913055,1.0631158352083174,106.86999999999999,1.0686999999999998,0.3242256947693461,5,1,17,8,20,0.6498260869565217,0.6429239130434782,4.573913043478259,0.0,0.0,2.139130434782609,2.2956521739130435
clean_target_path_first120,prefilter_h1_h4_notopp,gte_1_1,high,high,2,0,0.0,-44.8,0,-44.8,0.0,-2.0318,-1.0159,0.0,44.8,0.44799999999999995,-1.0,0,0,2,0,0,0.0397,1.0159,5.05,0.35,0.2,4.5,4.5
clean_target_path_first120,prefilter_h1_h4_notopp,gte_1_1,low,high,16,6,0.375,-52.42000000000001,141.88,-194.29999999999998,0.730211013896037,-1.9719999999999995,-0.12324999999999997,0.7655562688731959,77.06,0.7706000000000001,-0.6802491565014276,1,0,8,2,6,0.5406375,0.6654125000000001,4.5625,0.14999999999999997,0.20000000000000004,3.650000000000001,2.175
