run_id,year,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,break_even_triggered,break_even_exits,full_sl_exits,tp_exits,time_exits,avg_mfe_r,avg_mae_r,avg_final_score,avg_target_room_score,avg_retest_score,avg_m15_best_score,avg_m5_best_score
all_first120__baseline__be_1_1r,2025,163,64,0.39263803680981596,-227.8000000000001,1621.8000000000009,-1849.6,0.8768382352941182,-9.815399999999999,-0.06021717791411042,0.8769841220107351,500.37000000000006,5.0037,-0.4552631053020766,30,4,67,38,54,0.7809883435582826,0.8003871165644172,4.538957055214725,0.006441717791411042,0.0,2.6509202453987717,1.7343558282208582
all_first120__baseline__no_be,2025,163,64,0.39263803680981596,-381.37999999999977,1606.4700000000003,-1987.85,0.80814447770204,-16.4246,-0.10076441717791412,0.8098980426834133,651.9999999999999,6.52,-0.5849386503067482,0,0,71,38,54,0.4292901840490796,0.530054601226994,4.538957055214725,0.006441717791411042,0.0,2.6509202453987717,1.7343558282208582
all_first120__h1_h4_notopp__be_1_1r,2025,369,137,0.3712737127371274,-842.6,3029.8000000000006,-3872.399999999999,0.7824088420617709,-37.12710000000006,-0.10061544715447171,0.7867709558553263,1012.2500000000001,10.1225,-0.832403062484564,62,9,142,72,146,0.732427371273713,0.738278048780488,4.287398373983752,-0.29227642276422583,0.20000000000000137,3.724932249322498,2.8878048780487866
all_first120__h1_h4_notopp__no_be,2025,368,140,0.3804347826086957,-781.3299999999995,3187.8200000000006,-3969.1499999999996,0.8031492888905687,-34.22860000000004,-0.09301250000000012,0.80695596069704,956.3799999999995,9.563799999999995,-0.8169660595160918,0,0,144,76,148,0.38880760869565223,0.48182010869565217,4.287907608695664,-0.29225543478260685,0.20000000000000137,3.7236413043478307,2.8956521739130494
all_first120__h4_bias_h1_rev__be_1_1r,2025,258,96,0.37209302325581395,-595.0799999999991,2464.6600000000008,-3059.7399999999993,0.8055128867158652,-24.934200000000004,-0.09664418604651165,0.8101437578046479,747.3899999999993,7.473899999999993,-0.796210813631437,41,6,119,59,74,0.7552375968992247,0.7955205426356592,4.230813953488367,-0.28585271317829325,0.20000000000000076,3.548062015503876,2.9406976744186077
all_first120__h4_bias_h1_rev__no_be,2025,258,98,0.3798449612403101,-572.8699999999993,2571.5500000000006,-3144.4199999999973,0.8178137780576396,-23.900900000000007,-0.09263914728682174,0.8232592430456239,724.7899999999995,7.247899999999994,-0.7903944590847,0,0,123,61,74,0.43151356589147266,0.5241527131782944,4.230813953488367,-0.28585271317829325,0.20000000000000076,3.548062015503876,2.9406976744186077
all_first120__soft__be_1_1r,2025,740,291,0.3932432432432432,-1507.7899999999981,6493.060000000004,-8000.849999999996,0.8115462732084725,-68.43910000000002,-0.0924852702702703,0.8149725510170418,1507.7899999999981,15.07789999999998,-1.0,124,9,325,157,249,0.725467432432433,0.7625879729729734,4.332635135135173,-0.2893918918918952,0.2000000000000002,4.047567567567564,3.4613513513513494
all_first120__soft__no_be,2025,749,299,0.3991989319092123,-1501.7599999999989,6677.330000000002,-8179.089999999996,0.8163903319317926,-67.54370000000003,-0.09017850467289723,0.820636935029992,1501.7599999999989,15.01759999999999,-1.0,0,0,330,160,259,0.4125922563417887,0.5027707610146862,4.333044058745031,-0.28951935914553073,0.20000000000000007,4.0465954606141485,3.460614152202935
clean_first120__baseline__be_1_1r,2025,23,9,0.391304347826087,32.63,262.81,-230.18,1.141758623685811,1.2678000000000003,0.05512173913043479,1.1307792288172311,76.00999999999999,0.7600999999999999,0.4292856203131168,5,1,8,4,10,0.8230434782608695,0.8107086956521741,4.573913043478262,0.0,0.0,2.139130434782609,2.2956521739130435
clean_first120__baseline__no_be,2025,23,9,0.391304347826087,2.020000000000004,260.81,-258.79,1.0078055566289268,0.033800000000000247,0.0014695652173913152,1.0030929155762158,106.86999999999999,1.0686999999999998,0.018901469074576627,0,0,9,4,10,0.47660869565217395,0.4751391304347826,4.573913043478262,0.0,0.0,2.139130434782609,2.2956521739130435
clean_first120__h1_h4_notopp__be_1_1r,2025,133,51,0.38345864661654133,-398.63999999999993,996.9100000000002,-1395.5500000000002,0.7143491813263588,-17.106999999999996,-0.12862406015037592,0.7194456152204896,419.3299999999999,4.193299999999999,-0.9506593852097394,22,1,49,15,68,0.6613082706766916,0.7520541353383461,4.345488721804505,-0.2567669172932333,0.19999999999999954,3.922556390977442,2.793984962406014
clean_first120__h1_h4_notopp__no_be,2025,133,52,0.39097744360902253,-394.59999999999985,1002.9200000000002,-1397.5200000000002,0.7176426813211976,-16.849599999999995,-0.12668872180451124,0.7236520130419668,415.28999999999985,4.152899999999998,-0.9501793927135255,0,0,49,15,69,0.33175037593984974,0.45843909774436087,4.345488721804505,-0.2567669172932333,0.19999999999999954,3.922556390977442,2.793984962406014
clean_first120__h4_bias_h1_rev__be_1_1r,2025,92,36,0.391304347826087,-322.1599999999999,781.2300000000001,-1103.3899999999999,0.7080270801801722,-14.367000000000004,-0.1561630434782609,0.7023475326149788,505.6399999999999,5.056399999999998,-0.6371331382010916,14,0,42,14,36,0.6805445652173914,0.8414336956521741,4.258695652173911,-0.25000000000000033,0.19999999999999965,3.757608695652173,2.654347826086956
clean_first120__h4_bias_h1_rev__no_be,2025,92,36,0.391304347826087,-322.1599999999999,781.2300000000001,-1103.3899999999999,0.7080270801801722,-14.367000000000004,-0.1561630434782609,0.7023475326149788,505.6399999999999,5.056399999999998,-0.6371331382010916,0,0,42,14,36,0.36848586956521756,0.5246489130434783,4.258695652173911,-0.25000000000000033,0.19999999999999965,3.757608695652173,2.654347826086956
clean_first120__soft__be_1_1r,2025,297,108,0.36363636363636365,-950.5700000000003,2174.1899999999996,-3124.7599999999998,0.6957942369974013,-42.44780000000001,-0.14292188552188556,0.6998991128006554,954.4900000000002,9.544900000000002,-0.9958930947416945,48,5,117,39,136,0.6802202020202017,0.793114478114478,4.407239057239062,-0.21666666666666579,0.200000000000001,4.010437710437714,2.9286195286195307
clean_first120__soft__no_be,2025,297,112,0.3771043771043771,-910.6799999999996,2260.509999999999,-3171.1899999999996,0.712827045998505,-40.33289999999999,-0.13580101010101006,0.7182736649171503,914.5999999999996,9.145999999999995,-0.9957139733216707,0,0,118,41,138,0.3462306397306396,0.4820316498316499,4.407239057239062,-0.21666666666666579,0.200000000000001,4.010437710437714,2.9286195286195307
london_first120__baseline__be_1_1r,2025,26,16,0.6153846153846154,319.81,508.38000000000005,-188.57,2.695974969507345,13.181600000000001,0.5069846153846155,2.7033351854962726,75.16,0.7515999999999999,4.255055880787653,9,1,7,11,7,1.0944,0.7560384615384615,4.580769230769232,0.0,0.0,2.5846153846153848,1.8576923076923075
london_first120__baseline__no_be,2025,26,16,0.6153846153846154,296.49000000000007,508.38000000000005,-211.88999999999996,2.3992637689367133,12.153100000000002,0.46742692307692313,2.386200839492654,94.47999999999999,0.9448,3.1381244707874694,0,0,8,11,7,0.8046269230769231,0.33720000000000006,4.580769230769232,0.0,0.0,2.5846153846153848,1.8576923076923075
