run_id,rejected_before_selection_reason,session_label,symbol,rows
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,london_newyork_overlap,EURUSD,77
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,london_newyork_overlap,GBPJPY,61
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,london_newyork_overlap,GBPUSD,96
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,london_newyork_overlap,USDJPY,54
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,new_york,AUDJPY,43
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,new_york,EURJPY,52
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,new_york,EURUSD,45
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,new_york,GBPJPY,43
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,new_york,GBPUSD,44
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,new_york,USDJPY,44
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,tokyo,AUDJPY,53
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,tokyo,EURJPY,56
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,tokyo,GBPJPY,57
clean_first120__h1_h4_notopp__be_1_1r,previous_day_level_blocked,tokyo,USDJPY,79
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london,AUDJPY,43
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london,EURJPY,38
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london,EURUSD,33
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london,GBPJPY,41
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london,GBPUSD,51
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london,USDJPY,37
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london_newyork_overlap,AUDJPY,20
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london_newyork_overlap,EURJPY,27
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london_newyork_overlap,EURUSD,43
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london_newyork_overlap,GBPJPY,50
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london_newyork_overlap,GBPUSD,43
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,london_newyork_overlap,USDJPY,30
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,new_york,AUDJPY,33
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,new_york,EURJPY,27
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,new_york,EURUSD,24
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,new_york,GBPJPY,26
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,new_york,GBPUSD,37
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,new_york,USDJPY,42
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,tokyo,AUDJPY,22
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,tokyo,EURJPY,19
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,tokyo,GBPJPY,19
clean_first120__h1_h4_notopp__be_1_1r,previous_week_level_blocked,tokyo,USDJPY,17
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london,EURJPY,3
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london,EURUSD,5
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london,GBPJPY,3
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london,GBPUSD,2
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london,USDJPY,6
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london_newyork_overlap,AUDJPY,3
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london_newyork_overlap,EURJPY,2
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london_newyork_overlap,EURUSD,4
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london_newyork_overlap,GBPJPY,5
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london_newyork_overlap,GBPUSD,5
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,london_newyork_overlap,USDJPY,12
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,new_york,EURJPY,1
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,new_york,EURUSD,5
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,new_york,USDJPY,4
clean_first120__h1_h4_notopp__be_1_1r,session_invalidated,tokyo,USDJPY,9
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london,AUDJPY,141
clean_first120__h1_h4_notopp__be_1_1r,session_level_blocked,london,EURJPY,143
