scenario_id,experiment_id,target_room_bucket,nearest_obstacle_type,obstacle_distance_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,break_even_triggered,break_even_exits,full_sl_exits,tp_exits,time_exits,avg_mfe_r,avg_mae_r,avg_final_score,avg_target_room_score,avg_retest_score,avg_m15_best_score,avg_m5_best_score
all_symbols_first120,baseline_current,high,none,none,6,4,0.6666666666666666,-14.240000000000002,29.64,-43.88,0.6754785779398359,-0.6348000000000003,-0.10580000000000005,0.6826,29.060000000000002,0.2906,-0.49002064693737096,0,0,2,0,4,0.41064999999999996,0.52185,4.716666666666666,0.35000000000000003,0.0,1.4000000000000001,2.9
all_symbols_first120,baseline_current,zero,current_day_high,lt_0_8r,48,22,0.4583333333333333,-36.78000000000001,468.9,-505.67999999999995,0.927266255339345,-1.6750000000000027,-0.03489583333333339,0.9241896209933652,187.61,1.8761,-0.19604498694099465,4,0,18,10,20,0.5986958333333333,0.6319645833333334,4.562499999999997,0.0,0.0,2.4250000000000003,2.0125
all_symbols_first120,baseline_current,zero,current_day_low,lt_0_8r,42,10,0.23809523809523808,-383.05000000000007,222.82,-605.8699999999999,0.36776866324459045,-16.9154,-0.4027476190476191,0.36064557584004225,444.2900000000001,4.442900000000001,-0.8621621013302122,2,1,23,4,14,0.44640952380952376,0.7269214285714286,4.538095238095237,0.0,0.0,2.742857142857143,1.6428571428571432
all_symbols_first120,baseline_current,zero,failed_breakout_level,lt_0_8r,40,16,0.4,-176.83000000000004,346.0799999999999,-522.9100000000001,0.661834732554359,-7.7257,-0.1931425,0.6559673677319949,271.21000000000004,2.7121000000000004,-0.6520039821540504,3,1,17,8,14,0.5653,0.7057624999999998,4.5699999999999985,0.0,0.0,3.585,0.8550000000000001
all_symbols_first120,baseline_current,zero,opening_range_high,lt_0_8r,2,0,0.0,-26.38,0,-26.38,0.0,-1.1232,-0.5616,0.0,26.38,0.2638,-1.0,0,0,0,0,2,0.2098,0.6367499999999999,4.5,0.0,0.0,4.5,0.0
all_symbols_first120,baseline_current,zero,pre_session_high,lt_0_8r,38,20,0.5263157894736842,193.97000000000003,540.63,-346.66,1.5595396065308946,8.3055,0.2185657894736842,1.5482214404055472,94.75000000000001,0.9475000000000001,2.0471767810026384,6,1,11,14,12,0.7406605263157894,0.60075,4.552631578947368,0.0,0.0,2.778947368421053,1.5842105263157893
all_symbols_first120,baseline_current,zero,pre_session_low,lt_0_8r,14,4,0.2857142857142857,-62.60999999999999,87.67,-150.27999999999997,0.5833776949693906,-3.1784,-0.2270285714285714,0.5360812704343765,99.88999999999999,0.9988999999999998,-0.6267894684152568,0,0,6,2,6,0.45955,0.5949285714285714,4.657142857142858,0.0,0.0,3.2142857142857144,1.2428571428571427
all_symbols_first120,baseline_current,zero,previous_day_high,lt_0_8r,2,2,1.0,69.47999999999999,69.47999999999999,0,inf,3.0268,1.5134,inf,0.0,0.0,inf,1,0,0,2,0,1.5134,0.48665,4.5,0.0,0.0,4.5,0.0
all_symbols_first120,baseline_current,zero,previous_day_low,lt_0_8r,4,0,0.0,-93.52,0,-93.52,0.0,-4.004,-1.001,0.0,93.52,0.9351999999999999,-1.0,0,0,4,0,0,0.137375,1.001,4.6,0.0,0.0,4.5,0.0
all_symbols_first120,baseline_current,zero,previous_week_high,lt_0_8r,2,2,1.0,70.5,70.5,0,inf,3.0122,1.5061,inf,0.0,0.0,inf,1,0,0,2,0,1.5061,0.41095,4.4,0.0,0.0,4.2,0.0
all_symbols_first120,baseline_current,zero,recent_equal_highs,lt_0_8r,24,10,0.4166666666666667,8.17000000000003,305.02,-296.85,1.0275223176688562,0.44660000000000033,0.018608333333333348,1.0345168719954245,98.72999999999999,0.9873,0.0827509368986127,4,0,10,8,6,0.7428624999999999,0.6740083333333332,4.491666666666668,0.0,0.0,1.825,2.5000000000000004
all_symbols_first120,baseline_current,zero,recent_equal_lows,lt_0_8r,22,4,0.18181818181818182,-241.06,76.33999999999999,-317.3999999999999,0.24051669817265284,-10.1544,-0.4615636363636364,0.24193741041567135,241.06,2.4106,-1.0,0,0,12,2,8,0.38765454545454553,0.7319454545454547,4.463636363636365,0.0,0.0,2.754545454545455,1.5818181818181818
all_symbols_first120,baseline_current,zero,recent_rejection_zone,lt_0_8r,16,6,0.375,12.150000000000002,205.7,-193.54999999999998,1.0627744768793594,0.5955999999999992,0.03722499999999995,1.0708271892688959,97.98,0.9798000000000001,0.12400489895897124,1,0,8,6,2,0.6809125,0.6816499999999999,4.4625,0.0,0.0,2.7,1.6125
all_symbols_first120,baseline_current,zero,round_number,0_8_to_1_0r,6,2,0.3333333333333333,-26.360000000000007,37.239999999999995,-63.599999999999994,0.5855345911949685,-0.997,-0.16616666666666666,0.6234040945833648,45.790000000000006,0.4579000000000001,-0.5756715440052413,0,0,2,0,4,0.38615000000000005,0.62085,4.466666666666666,0.0,0.0,3.0,1.4000000000000001
all_symbols_first120,baseline_current,zero,round_number,1_0_to_1_5r,2,0,0.0,-19.86,0,-19.86,0.0,-0.8544,-0.4272,0.0,19.86,0.1986,-1.0,0,0,0,0,2,0.54225,0.5211,4.7,0.0,0.0,0.0,4.5
all_symbols_first120,baseline_current,zero,round_number,lt_0_8r,28,16,0.5714285714285714,194.41999999999996,415.62000000000006,-221.20000000000002,1.8789330922242315,8.8488,0.31602857142857144,1.9229613868202013,55.31,0.5531,3.515096727535707,6,0,8,8,12,0.8131249999999997,0.5987535714285714,4.457142857142858,0.0,0.0,2.7500000000000004,1.5642857142857143
all_symbols_first120,baseline_current,zero,session_high,lt_0_8r,4,2,0.5,15.61,70.97,-55.36,1.2819725433526012,0.6821999999999999,0.17054999999999998,1.2918128154675335,27.68,0.2768,0.5639450867052023,0,0,2,2,0,0.8411500000000001,0.73945,4.4,0.0,0.0,0.0,4.2
all_symbols_first120,baseline_current,zero,session_low,lt_0_8r,8,4,0.5,84.52000000000001,141.02,-56.5,2.495929203539823,3.528199999999999,0.4410249999999999,2.431086233471241,28.25,0.2825,2.9918584070796466,0,0,2,4,2,0.8405374999999998,0.46377500000000005,4.575,0.0,0.0,2.175,2.25
all_symbols_first120,baseline_current,zero,wick_cluster_zone,lt_0_8r,18,4,0.2222222222222222,-177.31000000000003,140.64,-317.95000000000005,0.44233370026733754,-7.423600000000003,-0.4124222222222224,0.4467019452932846,177.31000000000003,1.7731000000000003,-1.0,2,1,13,4,0,0.5342499999999999,0.8344111111111112,4.611111111111112,0.0,0.0,1.4333333333333331,3.0
all_symbols_first120,prefilter_h1_h4_notopp,low,previous_week_high,1_0_to_1_5r,2,0,0.0,-17.92,0,-17.92,0.0,-0.7746,-0.3873,0.0,17.92,0.17920000000000003,-1.0,0,0,0,0,2,0.04445,0.6094999999999999,4.85,0.15,0.2,4.5,0.0
all_symbols_first120,prefilter_h1_h4_notopp,low,recent_rejection_zone,1_0_to_1_5r,2,0,0.0,-47.32,0,-47.32,0.0,-2.0,-1.0,0.0,47.32,0.4732,-1.0,0,0,2,0,0,0.11335,1.0,3.75,0.15,0.2,3.4,0.0
all_symbols_first120,prefilter_h1_h4_notopp,low,round_number,1_0_to_1_5r,2,0,0.0,-42.72,0,-42.72,0.0,-2.0104,-1.0052,0.0,42.72,0.42719999999999997,-1.0,0,0,2,0,0,0.2248,1.0052,4.85,0.15,0.2,0.0,4.5
all_symbols_first120,prefilter_h1_h4_notopp,negative,current_day_high,lt_0_8r,116,51,0.4396551724137931,-14.35000000000003,989.9799999999999,-1004.3300000000002,0.9857118676132345,-0.47740000000000193,-0.004115517241379327,0.9894644851191914,161.3,1.6130000000000002,-0.08896466212027296,8,1,32,23,60,0.5578017241379313,0.5552646551724139,4.339655172413786,-0.3000000000000002,0.19999999999999957,3.5879310344827586,2.9741379310344818
all_symbols_first120,prefilter_h1_h4_notopp,negative,current_day_low,lt_0_8r,82,30,0.36585365853658536,-242.92999999999998,653.7500000000001,-896.6800000000001,0.7290783780166838,-11.0774,-0.13509024390243904,0.7305673520812964,354.53,3.5452999999999997,-0.6852170479226017,7,0,32,14,36,0.527880487804878,0.6440817073170731,4.363414634146339,-0.30000000000000043,0.19999999999999968,3.7926829268292677,2.999999999999999
