scenario_id,experiment_id,retest_reference_type,retest_score_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,break_even_triggered,break_even_exits,full_sl_exits,tp_exits,time_exits,avg_mfe_r,avg_mae_r,avg_final_score,avg_target_room_score,avg_retest_score,avg_m15_best_score,avg_m5_best_score
all_symbols_first120,baseline_current,neckline_level,none,90,38,0.4222222222222222,122.24000000000007,1132.8200000000002,-1010.5799999999998,1.1209602406538823,5.827199999999996,0.06474666666666662,1.1335698862620511,213.64,2.1363999999999996,0.5721774948511518,9,0,38,30,22,0.7037688888888889,0.6248344444444444,4.544444444444439,0.0,0.0,2.86,1.5333333333333337
all_symbols_first120,baseline_current,opening_range_high|neckline_level,none,8,0,0.0,-132.73,0,-132.73,0.0,-5.919900000000001,-0.7399875000000001,0.0,132.73,1.3273,-1.0,1,1,5,0,2,0.248075,0.816675,4.075,0.0,0.0,2.95,1.125
all_symbols_first120,baseline_current,opening_range_low|neckline_level,none,20,10,0.5,27.02000000000001,221.38,-194.35999999999999,1.1390203745626672,1.0354,0.051770000000000004,1.1236446142823022,90.89,0.9089,0.29728242931015525,1,0,8,4,8,0.721385,0.53533,4.48,0.0,0.0,3.12,1.3199999999999998
all_symbols_first120,baseline_current,session_high|opening_range_high|neckline_level,none,152,70,0.4605263157894737,51.04999999999995,1697.6900000000005,-1646.64,1.0310025263567024,2.0777000000000028,0.01366907894736844,1.0291241994244407,250.78,2.5078,0.20356487758194414,16,1,55,38,58,0.6363368421052631,0.667778289473684,4.551973684210527,0.013815789473684212,0.0,2.439473684210525,1.9434210526315776
all_symbols_first120,baseline_current,session_low|opening_range_low|neckline_level,none,56,10,0.17857142857142858,-676.7599999999999,176.38,-853.14,0.20674215251893008,-29.2604,-0.5225071428571428,0.20765364701804556,679.0199999999999,6.790199999999999,-0.996671673882949,3,2,32,4,18,0.37144107142857136,0.7479392857142856,4.5821428571428555,0.0,0.0,2.6785714285714284,1.725
all_symbols_first120,prefilter_h1_h4_notopp,neckline_level,high,325,129,0.39692307692307693,-225.96999999999971,3283.649999999999,-3509.619999999998,0.9356141120691132,-8.519600000000022,-0.026214153846153915,0.9455490663015979,525.8899999999998,5.258899999999998,-0.42969061971134614,32,3,138,81,103,0.6466144615384616,0.6008883076923078,4.266769230769236,-0.2963076923076906,0.20000000000000118,3.5046153846153887,2.9858461538461585
all_symbols_first120,prefilter_h1_h4_notopp,opening_range_high|neckline_level,high,30,14,0.4666666666666667,-155.10999999999999,262.27,-417.38000000000005,0.6283722267478077,-7.518000000000001,-0.25060000000000004,0.6176186358781345,206.07,2.0607,-0.7527053913718639,4,0,14,6,10,0.56114,0.7650500000000001,4.153333333333334,-0.3,0.2000000000000001,3.3733333333333335,3.8200000000000007
all_symbols_first120,prefilter_h1_h4_notopp,opening_range_low|neckline_level,high,50,17,0.34,-226.87000000000003,329.14,-556.01,0.5919677703638424,-9.4901,-0.189802,0.6065121756040122,350.51000000000005,3.5051000000000005,-0.6472568542980229,7,4,19,6,21,0.5422720000000001,0.618658,4.276000000000003,-0.30000000000000027,0.19999999999999993,3.6679999999999997,2.8079999999999994
all_symbols_first120,prefilter_h1_h4_notopp,session_high|opening_range_high|neckline_level,high,204,84,0.4117647058823529,-69.63000000000002,1640.0399999999995,-1709.6699999999996,0.959272842127428,-5.484000000000002,-0.02688235294117648,0.9301378134817203,287.99,2.8799,-0.2417792284454322,10,0,58,38,108,0.5094848039215684,0.5605622549019609,4.325490196078422,-0.28235294117646964,0.2000000000000002,3.971568627450982,2.7137254901960772
all_symbols_first120,prefilter_h1_h4_notopp,session_low|opening_range_low|neckline_level,high,128,33,0.2578125,-946.3500000000001,702.5199999999999,-1648.8699999999997,0.4260614845318309,-40.343999999999994,-0.31518749999999995,0.4449710475304761,946.3500000000001,9.463500000000002,-1.0,9,2,57,17,52,0.43214453125,0.6734890625000001,4.316406249999995,-0.29296875,0.19999999999999954,3.9921874999999982,2.7515624999999986
all_symbols_first120,prefilter_h4_bias_h1_reversal,neckline_level,high,238,89,0.3739495798319328,-591.9299999999998,2456.83,-3048.7599999999993,0.8058456552828036,-23.798,-0.09999159663865545,0.8181483346565812,698.9599999999999,6.9895999999999985,-0.8468724962801876,20,2,123,63,50,0.6422768907563022,0.6684247899159664,4.206302521008396,-0.2894957983193265,0.20000000000000057,3.244537815126051,2.794117647058825
