run_id,month,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,break_even_triggered,break_even_exits,full_sl_exits,tp_exits,time_exits,avg_mfe_r,avg_mae_r,avg_final_score,avg_target_room_score,avg_retest_score,avg_m15_best_score,avg_m5_best_score
all_first120__baseline__be_1_1r,2025-01,17,3,0.17647058823529413,-158.45000000000002,76.19999999999999,-234.64999999999998,0.3247389729384189,-6.726100000000001,-0.39565294117647065,0.3184273192481127,158.45000000000002,1.5845000000000002,-1.0,1,1,8,2,6,0.619364705882353,0.8873529411764707,4.511764705882354,0.0,0.0,3.105882352941176,1.2529411764705882
all_first120__baseline__be_1_1r,2025-02,16,8,0.5,67.88000000000001,218.00999999999996,-150.13,1.452141477386265,2.733999999999999,0.17087499999999994,1.4202791612863555,76.89999999999999,0.7689999999999999,0.8827048114434333,4,1,6,5,4,0.8968,0.72533125,4.54375,0.0,0.0,2.5125,1.93125
all_first120__baseline__be_1_1r,2025-03,16,5,0.3125,-77.66,140.07,-217.73,0.6433197078950994,-3.2585000000000006,-0.20365625000000004,0.6487133323990126,103.61999999999999,1.0362,-0.7494692144373674,4,0,8,3,5,0.7432624999999998,0.9187187500000001,4.60625,0.0,0.0,3.6,0.84375
all_first120__baseline__be_1_1r,2025-04,21,5,0.23809523809523808,-193.13,142.0,-335.13000000000005,0.42371616984453786,-8.5489,-0.40709047619047617,0.41551178356795637,193.13,1.9313,-1.0,1,1,14,4,2,0.7355619047619048,0.8877999999999999,4.466666666666669,0.0,0.0,2.0476190476190474,2.2571428571428576
all_first120__baseline__be_1_1r,2025-05,11,6,0.5454545454545454,51.27000000000001,138.29999999999998,-87.03,1.5891072044122714,2.2563999999999997,0.2051272727272727,1.5999787279302278,36.16,0.3616,1.417865044247788,0,0,3,3,5,0.8751636363636363,0.6977454545454546,4.472727272727273,0.0,0.0,2.4545454545454546,1.9636363636363634
all_first120__baseline__be_1_1r,2025-06,10,4,0.4,20.38,142.21,-121.83,1.1672822785849135,0.8861000000000003,0.08861000000000004,1.170817750703628,62.17,0.6217,0.32781084124175647,3,0,5,4,1,0.8312599999999998,0.9112900000000002,4.420000000000001,0.0,0.0,1.7099999999999997,2.53
all_first120__baseline__be_1_1r,2025-07,18,7,0.3888888888888889,-93.88,127.17,-221.05,0.5752997059488804,-4.049899999999999,-0.22499444444444439,0.5800078815281869,163.55,1.6355000000000002,-0.5740140629776826,3,0,7,2,9,0.6680833333333334,0.78105,4.602777777777779,0.019444444444444445,0.0,2.466666666666667,1.9499999999999997
all_first120__baseline__be_1_1r,2025-08,5,2,0.4,-22.06,40.550000000000004,-62.61,0.6476601181919822,-0.9278,-0.18556,0.6588217989262337,56.91,0.5690999999999999,-0.3876295905816201,1,0,2,1,2,0.5602,0.8034000000000001,4.64,0.0,0.0,2.7,1.7399999999999998
all_first120__baseline__be_1_1r,2025-09,10,3,0.3,-34.99,76.93,-111.91999999999999,0.6873659756969265,-1.4506999999999999,-0.14506999999999998,0.700806401715924,67.72,0.6772,-0.5166863555818075,3,1,4,2,3,0.7130700000000001,0.79674,4.615,0.034999999999999996,0.0,1.7399999999999998,2.6399999999999997
all_first120__baseline__be_1_1r,2025-10,19,7,0.3684210526315789,-59.73000000000002,161.98,-221.71,0.7305940192142889,-2.5656000000000008,-0.13503157894736847,0.7335880874748187,172.81,1.7281000000000002,-0.34563971992361564,4,0,8,4,7,0.823957894736842,0.7679473684210527,4.550000000000001,0.018421052631578946,0.0,2.778947368421053,1.6263157894736842
all_first120__baseline__be_1_1r,2025-11,12,10,0.8333333333333334,213.83999999999997,258.34,-44.5,5.805393258426966,9.383299999999998,0.7819416666666665,5.954485453297429,22.89,0.22890000000000002,9.342070773263432,4,0,1,6,5,1.1092416666666667,0.6005166666666667,4.583333333333333,0.0,0.0,3.6750000000000003,0.725
