run_id,event,htf_permission_mode,rejected_before_selection_reason,rows
all_first120__baseline__be_1_1r,blocked,current_post_filter,none,377
all_first120__baseline__be_1_1r,order_sent,current_post_filter,none,163
all_first120__baseline__be_1_1r,signal,current_post_filter,none,540
all_first120__baseline__no_be,blocked,current_post_filter,none,377
all_first120__baseline__no_be,order_sent,current_post_filter,none,163
all_first120__baseline__no_be,signal,current_post_filter,none,540
all_first120__h1_h4_notopp__be_1_1r,blocked,h1_direction_h4_not_opposite_pre_filter,none,1636
all_first120__h1_h4_notopp__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,369
all_first120__h1_h4_notopp__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,2005
all_first120__h1_h4_notopp__no_be,blocked,h1_direction_h4_not_opposite_pre_filter,none,1637
all_first120__h1_h4_notopp__no_be,order_sent,h1_direction_h4_not_opposite_pre_filter,none,368
all_first120__h1_h4_notopp__no_be,signal,h1_direction_h4_not_opposite_pre_filter,none,2005
all_first120__h4_bias_h1_rev__be_1_1r,blocked,h4_bias_h1_reversal_pre_filter,none,1415
all_first120__h4_bias_h1_rev__be_1_1r,order_sent,h4_bias_h1_reversal_pre_filter,none,258
all_first120__h4_bias_h1_rev__be_1_1r,signal,h4_bias_h1_reversal_pre_filter,none,1673
all_first120__h4_bias_h1_rev__no_be,blocked,h4_bias_h1_reversal_pre_filter,none,1415
all_first120__h4_bias_h1_rev__no_be,order_sent,h4_bias_h1_reversal_pre_filter,none,258
all_first120__h4_bias_h1_rev__no_be,signal,h4_bias_h1_reversal_pre_filter,none,1673
all_first120__soft__be_1_1r,blocked,soft_pre_filter,none,4927
all_first120__soft__be_1_1r,order_sent,soft_pre_filter,none,740
all_first120__soft__be_1_1r,signal,soft_pre_filter,none,5667
all_first120__soft__no_be,blocked,soft_pre_filter,none,4918
all_first120__soft__no_be,order_sent,soft_pre_filter,none,749
all_first120__soft__no_be,signal,soft_pre_filter,none,5667
clean_first120__baseline__be_1_1r,blocked,current_post_filter,none,332
clean_first120__baseline__be_1_1r,order_sent,current_post_filter,none,23
clean_first120__baseline__be_1_1r,signal,current_post_filter,none,355
clean_first120__baseline__no_be,blocked,current_post_filter,none,332
clean_first120__baseline__no_be,order_sent,current_post_filter,none,23
clean_first120__baseline__no_be,signal,current_post_filter,none,355
clean_first120__h1_h4_notopp__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,133
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,htf_resistance_blocked,180
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,htf_support_blocked,266
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,obstacle_before_target,101
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,previous_day_level_blocked,1364
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,previous_week_level_blocked,722
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,69
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_level_blocked,3324
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,659
clean_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,symbol_already_open,5
clean_first120__h1_h4_notopp__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,133
clean_first120__h1_h4_notopp__no_be,order_sent,h1_direction_h4_not_opposite_pre_filter,none,133
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,htf_resistance_blocked,180
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,htf_support_blocked,266
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,obstacle_before_target,101
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,previous_day_level_blocked,1364
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,previous_week_level_blocked,722
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,69
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_level_blocked,3324
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,659
clean_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,symbol_already_open,5
clean_first120__h1_h4_notopp__no_be,signal,h1_direction_h4_not_opposite_pre_filter,none,133
clean_first120__h4_bias_h1_rev__be_1_1r,order_sent,h4_bias_h1_reversal_pre_filter,none,92
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,htf_resistance_blocked,771
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,htf_support_blocked,354
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,neckline_level_blocked,1
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,obstacle_before_target,75
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,previous_day_level_blocked,1369
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,previous_week_level_blocked,597
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,85
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_level_blocked,2967
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,695
clean_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,symbol_already_open,3
clean_first120__h4_bias_h1_rev__be_1_1r,signal,h4_bias_h1_reversal_pre_filter,none,92
clean_first120__h4_bias_h1_rev__no_be,order_sent,h4_bias_h1_reversal_pre_filter,none,92
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,htf_resistance_blocked,771
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,htf_support_blocked,354
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,neckline_level_blocked,1
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,obstacle_before_target,75
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,previous_day_level_blocked,1369
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,previous_week_level_blocked,597
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,85
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_level_blocked,2967
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,695
clean_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,symbol_already_open,3
clean_first120__h4_bias_h1_rev__no_be,signal,h4_bias_h1_reversal_pre_filter,none,92
clean_first120__soft__be_1_1r,order_sent,soft_pre_filter,none,297
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,htf_resistance_blocked,4342
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,htf_support_blocked,3982
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,neckline_level_blocked,1
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,obstacle_before_target,254
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,previous_day_level_blocked,10073
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,previous_week_level_blocked,2773
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,session_invalidated,177
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,session_level_blocked,9823
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,spread_too_high,2066
clean_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,symbol_already_open,13
clean_first120__soft__be_1_1r,signal,soft_pre_filter,none,297
clean_first120__soft__no_be,order_sent,soft_pre_filter,none,297
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,htf_resistance_blocked,4342
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,htf_support_blocked,3982
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,neckline_level_blocked,1
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,obstacle_before_target,254
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,previous_day_level_blocked,10073
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,previous_week_level_blocked,2773
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,session_invalidated,177
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,session_level_blocked,9823
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,spread_too_high,2066
clean_first120__soft__no_be,preselection_rejected,soft_pre_filter,symbol_already_open,13
clean_first120__soft__no_be,signal,soft_pre_filter,none,297
london_first120__baseline__be_1_1r,blocked,current_post_filter,none,69
london_first120__baseline__be_1_1r,order_sent,current_post_filter,none,26
london_first120__baseline__be_1_1r,signal,current_post_filter,none,95
london_first120__baseline__no_be,blocked,current_post_filter,none,69
london_first120__baseline__no_be,order_sent,current_post_filter,none,26
london_first120__baseline__no_be,signal,current_post_filter,none,95
london_first120__h1_h4_notopp__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,77
london_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,142
london_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,1320
london_first120__h1_h4_notopp__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,77
london_first120__h1_h4_notopp__no_be,order_sent,h1_direction_h4_not_opposite_pre_filter,none,77
london_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,142
london_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,1320
london_first120__h1_h4_notopp__no_be,signal,h1_direction_h4_not_opposite_pre_filter,none,77
london_first120__h4_bias_h1_rev__be_1_1r,order_sent,h4_bias_h1_reversal_pre_filter,none,57
london_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,152
london_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,1283
london_first120__h4_bias_h1_rev__be_1_1r,signal,h4_bias_h1_reversal_pre_filter,none,57
london_first120__h4_bias_h1_rev__no_be,order_sent,h4_bias_h1_reversal_pre_filter,none,57
london_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,152
london_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,1283
london_first120__h4_bias_h1_rev__no_be,signal,h4_bias_h1_reversal_pre_filter,none,57
london_first120__london_focused_diagnostic__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,77
london_first120__london_focused_diagnostic__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,142
london_first120__london_focused_diagnostic__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,1320
london_first120__london_focused_diagnostic__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,77
london_first120__soft__be_1_1r,order_sent,soft_pre_filter,none,217
london_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,session_invalidated,231
london_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,spread_too_high,2989
london_first120__soft__be_1_1r,signal,soft_pre_filter,none,217
london_first120__soft__no_be,order_sent,soft_pre_filter,none,217
london_first120__soft__no_be,preselection_rejected,soft_pre_filter,session_invalidated,231
london_first120__soft__no_be,preselection_rejected,soft_pre_filter,spread_too_high,2989
london_first120__soft__no_be,signal,soft_pre_filter,none,217
newyork_first120__baseline__be_1_1r,blocked,current_post_filter,none,49
newyork_first120__baseline__be_1_1r,order_sent,current_post_filter,none,49
newyork_first120__baseline__be_1_1r,signal,current_post_filter,none,98
newyork_first120__baseline__no_be,blocked,current_post_filter,none,49
newyork_first120__baseline__no_be,order_sent,current_post_filter,none,49
newyork_first120__baseline__no_be,signal,current_post_filter,none,98
newyork_first120__h1_h4_notopp__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,124
newyork_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,52
newyork_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,830
newyork_first120__h1_h4_notopp__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,124
newyork_first120__h1_h4_notopp__no_be,order_sent,h1_direction_h4_not_opposite_pre_filter,none,124
newyork_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,52
newyork_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,830
newyork_first120__h1_h4_notopp__no_be,signal,h1_direction_h4_not_opposite_pre_filter,none,124
newyork_first120__h4_bias_h1_rev__be_1_1r,order_sent,h4_bias_h1_reversal_pre_filter,none,93
newyork_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,43
newyork_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,1035
newyork_first120__h4_bias_h1_rev__be_1_1r,signal,h4_bias_h1_reversal_pre_filter,none,93
newyork_first120__h4_bias_h1_rev__no_be,order_sent,h4_bias_h1_reversal_pre_filter,none,93
newyork_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,43
newyork_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,1035
newyork_first120__h4_bias_h1_rev__no_be,signal,h4_bias_h1_reversal_pre_filter,none,93
newyork_first120__soft__be_1_1r,order_sent,soft_pre_filter,none,246
newyork_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,session_invalidated,29
newyork_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,spread_too_high,1238
newyork_first120__soft__be_1_1r,signal,soft_pre_filter,none,246
newyork_first120__soft__no_be,order_sent,soft_pre_filter,none,246
newyork_first120__soft__no_be,preselection_rejected,soft_pre_filter,session_invalidated,29
newyork_first120__soft__no_be,preselection_rejected,soft_pre_filter,spread_too_high,1238
newyork_first120__soft__no_be,signal,soft_pre_filter,none,246
one_first120__baseline__be_1_1r,blocked,current_post_filter,none,239
one_first120__baseline__be_1_1r,order_sent,current_post_filter,none,116
one_first120__baseline__be_1_1r,signal,current_post_filter,none,355
one_first120__baseline__no_be,blocked,current_post_filter,none,239
one_first120__baseline__no_be,order_sent,current_post_filter,none,116
one_first120__baseline__no_be,signal,current_post_filter,none,355
one_first120__h1_h4_notopp__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,367
one_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,527
one_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,3759
one_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,symbol_already_open,33
one_first120__h1_h4_notopp__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,367
one_first120__h1_h4_notopp__no_be,order_sent,h1_direction_h4_not_opposite_pre_filter,none,367
one_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,527
one_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,3759
one_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,symbol_already_open,34
one_first120__h1_h4_notopp__no_be,signal,h1_direction_h4_not_opposite_pre_filter,none,367
one_first120__h4_bias_h1_rev__be_1_1r,order_sent,h4_bias_h1_reversal_pre_filter,none,271
one_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,529
one_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,4242
one_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,symbol_already_open,35
one_first120__h4_bias_h1_rev__be_1_1r,signal,h4_bias_h1_reversal_pre_filter,none,271
one_first120__h4_bias_h1_rev__no_be,order_sent,h4_bias_h1_reversal_pre_filter,none,271
one_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,529
one_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,spread_too_high,4242
one_first120__h4_bias_h1_rev__no_be,preselection_rejected,h4_bias_h1_reversal_pre_filter,symbol_already_open,35
one_first120__h4_bias_h1_rev__no_be,signal,h4_bias_h1_reversal_pre_filter,none,271
one_first120__soft__be_1_1r,order_sent,soft_pre_filter,none,679
one_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,max_drawdown_stop,1249
one_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,session_invalidated,1265
one_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,spread_too_high,14804
one_first120__soft__be_1_1r,preselection_rejected,soft_pre_filter,symbol_already_open,57
one_first120__soft__be_1_1r,signal,soft_pre_filter,none,679
one_first120__soft__no_be,order_sent,soft_pre_filter,none,779
one_first120__soft__no_be,preselection_rejected,soft_pre_filter,max_drawdown_stop,611
one_first120__soft__no_be,preselection_rejected,soft_pre_filter,session_invalidated,990
one_first120__soft__no_be,preselection_rejected,soft_pre_filter,spread_too_high,12270
one_first120__soft__no_be,preselection_rejected,soft_pre_filter,symbol_already_open,80
one_first120__soft__no_be,signal,soft_pre_filter,none,779
tokyo_first120__baseline__be_1_1r,blocked,current_post_filter,none,45
tokyo_first120__baseline__be_1_1r,order_sent,current_post_filter,none,18
tokyo_first120__baseline__be_1_1r,signal,current_post_filter,none,63
tokyo_first120__baseline__no_be,blocked,current_post_filter,none,45
tokyo_first120__baseline__no_be,order_sent,current_post_filter,none,18
tokyo_first120__baseline__no_be,signal,current_post_filter,none,63
tokyo_first120__h1_h4_notopp__be_1_1r,order_sent,h1_direction_h4_not_opposite_pre_filter,none,53
tokyo_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,78
tokyo_first120__h1_h4_notopp__be_1_1r,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,626
tokyo_first120__h1_h4_notopp__be_1_1r,signal,h1_direction_h4_not_opposite_pre_filter,none,53
tokyo_first120__h1_h4_notopp__no_be,order_sent,h1_direction_h4_not_opposite_pre_filter,none,53
tokyo_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,session_invalidated,78
tokyo_first120__h1_h4_notopp__no_be,preselection_rejected,h1_direction_h4_not_opposite_pre_filter,spread_too_high,626
tokyo_first120__h1_h4_notopp__no_be,signal,h1_direction_h4_not_opposite_pre_filter,none,53
tokyo_first120__h4_bias_h1_rev__be_1_1r,order_sent,h4_bias_h1_reversal_pre_filter,none,52
tokyo_first120__h4_bias_h1_rev__be_1_1r,preselection_rejected,h4_bias_h1_reversal_pre_filter,session_invalidated,91
