checkpoint_seconds,session,episodes,clusters,oracle_expectancy,oracle_total_r,both_sl
15,LONDON,355,342,0.11267605633802817,40.0,330
15,NEW_YORK,468,428,0.18119658119658122,84.80000000000001,415
15,OTHER,62,55,0.33548387096774196,20.8,49
15,OVERLAP,355,323,0.15774647887323945,56.0,320
15,TOKYO,305,303,0.09442622950819672,28.8,287
30,LONDON,347,335,0.09221902017291066,32.0,327
30,NEW_YORK,465,424,0.18924731182795698,88.0,410
30,OTHER,66,58,0.3151515151515152,20.8,53
30,OVERLAP,368,340,0.16521739130434784,60.800000000000004,330
30,TOKYO,284,283,0.11830985915492959,33.6,263
60,LONDON,330,324,0.12121212121212122,40.0,305
60,NEW_YORK,442,410,0.18461538461538463,81.60000000000001,391
60,OTHER,61,53,0.28852459016393445,17.6,49
60,OVERLAP,354,323,0.14915254237288136,52.800000000000004,321
60,TOKYO,306,304,0.12026143790849675,36.800000000000004,283
120,LONDON,351,340,0.1321937321937322,46.400000000000006,322
120,NEW_YORK,441,418,0.1850340136054422,81.60000000000001,390
120,OTHER,51,45,0.3137254901960784,16.0,40
120,OVERLAP,339,307,0.16047197640117997,54.400000000000006,305
120,TOKYO,288,287,0.13333333333333336,38.400000000000006,264
