trades,tp,sl,timeout,mean_r,total_r,pf,tp_rate,max_consecutive_losses,ci_low,ci_high,mean_r_cost_002,mean_r_cost_005,mean_r_cost_010,checkpoint_seconds,policy,positive_folds,oracle_tradeable_direction_count,oracle_tradeable_direction_correct,oracle_tradeable_direction_accuracy
1545,70.0,1475.0,0.0,-0.8822006472491909,-1363.0,0.07593220338983048,0.045307443365695796,153.0,-0.9078623079872014,-0.8546272493573265,-0.9022006472491907,-0.932200647249191,-0.9822006472491908,15,ALWAYS_CONTINUATION,0.0,,,
1545,74.0,1471.0,0.0,-0.8754692556634304,-1352.6,0.08048946295037387,0.04789644012944984,129.0,-0.902883711735372,-0.8478359583628537,-0.8954692556634303,-0.9254692556634306,-0.9754692556634303,15,ALWAYS_REVERSAL,0.0,,,
1545,,,,-0.8788349514563106,-1357.8,,,,,,,,,15,RANDOM_DIRECTION_THEORETICAL,,,,
1545,144.0,1401.0,0.0,-0.7576699029126213,-1170.6,,0.09320388349514563,,,,,,,15,ORACLE_DIRECTION_TRADE_ALL,,,,
144,144.0,0.0,0.0,0.14912621359223302,230.4,inf,1.0,,,,,,,15,ORACLE_DIRECTION_PLUS_NO_TRADE,,,,
1530,85.0,1445.0,0.0,-0.8555555555555555,-1309.0,0.09411764705882351,0.05555555555555555,150.0,-0.884559887721701,-0.8239301075268818,-0.8755555555555553,-0.9055555555555557,-0.9555555555555553,30,ALWAYS_CONTINUATION,0.0,,,
1530,62.0,1468.0,0.0,-0.8946405228758171,-1368.8000000000002,0.06757493188010896,0.040522875816993466,216.0,-0.9199790318999999,-0.8667909328281795,-0.9146405228758168,-0.9446405228758171,-0.9946405228758168,30,ALWAYS_REVERSAL,0.0,,,
1530,,,,-0.8750980392156863,-1338.9,,,,,,,,,30,RANDOM_DIRECTION_THEORETICAL,,,,
1530,147.0,1383.0,0.0,-0.7501960784313725,-1147.8,,0.09607843137254903,,,,,,,30,ORACLE_DIRECTION_TRADE_ALL,,,,
147,147.0,0.0,0.0,0.15372549019607842,235.2,inf,1.0,,,,,,,30,ORACLE_DIRECTION_PLUS_NO_TRADE,,,,
1493,71.0,1421.0,1.0,-0.8760069597157302,-1307.8783908555852,0.07991679699866865,0.047555257870060284,184.0,-0.9036413780530181,-0.8466555717909214,-0.8960069597157299,-0.9260069597157302,-0.97600695971573,60,ALWAYS_CONTINUATION,0.0,,,
1493,72.0,1421.0,0.0,-0.874614869390489,-1305.8000000000002,0.08106966924700915,0.04822505023442733,175.0,-0.9015289108426048,-0.8475714375561545,-0.8946148693904887,-0.9246148693904891,-0.9746148693904889,60,ALWAYS_REVERSAL,0.0,,,
1493,,,,-0.8753109145531096,-1306.8391954277927,,,,,,,,,60,RANDOM_DIRECTION_THEORETICAL,,,,
1493,143.0,1350.0,0.0,-0.750621829106219,-1120.678390855585,,0.09578030810448761,,,,,,,60,ORACLE_DIRECTION_TRADE_ALL,,,,
143,143.0,0.0,0.0,0.15324849296718018,228.8,inf,1.0,,,,,,,60,ORACLE_DIRECTION_PLUS_NO_TRADE,,,,
1470,80.0,1389.0,1.0,-0.8581879928794838,-1261.536349532841,0.09211705763799075,0.05442176870748299,159.0,-0.8886382659882724,-0.8279918536016061,-0.8781879928794835,-0.9081879928794839,-0.9581879928794834,120,ALWAYS_CONTINUATION,0.0,,,
1470,68.0,1402.0,0.0,-0.8797278911564627,-1293.2,0.07760342368045647,0.04625850340136054,176.0,-0.9063890450784614,-0.8502668014240198,-0.8997278911564623,-0.9297278911564628,-0.9797278911564624,120,ALWAYS_REVERSAL,0.0,,,
1470,,,,-0.868957942017973,-1277.3681747664205,,,,,,,,,120,RANDOM_DIRECTION_THEORETICAL,,,,
1470,148.0,1322.0,0.0,-0.7379158840359462,-1084.736349532841,,0.10068027210884353,,,,,,,120,ORACLE_DIRECTION_TRADE_ALL,,,,
148,148.0,0.0,0.0,0.16108843537414966,236.8,inf,1.0,,,,,,,120,ORACLE_DIRECTION_PLUS_NO_TRADE,,,,
28,5.0,23.0,0.0,-0.5357142857142858,-15.000000000000002,0.34782608695652173,0.17857142857142858,10.0,-0.9071428571428571,-0.16428571428571423,-0.5557142857142857,-0.5857142857142857,-0.6357142857142859,15,LIGHTGBM_TRAIN_ONLY_THRESHOLD,0.0,44.0,24.0,0.5454545454545454
52,6.0,46.0,0.0,-0.7,-36.4,0.20869565217391303,0.11538461538461539,15.0,-0.8999999999999999,-0.44999999999999996,-0.7200000000000002,-0.7499999999999998,-0.8000000000000002,30,LIGHTGBM_TRAIN_ONLY_THRESHOLD,0.0,43.0,18.0,0.4186046511627907
31,4.0,27.0,0.0,-0.6645161290322581,-20.6,0.23703703703703705,0.12903225806451613,10.0,-0.9161290322580645,-0.3290322580645161,-0.684516129032258,-0.7145161290322583,-0.7645161290322584,60,LIGHTGBM_TRAIN_ONLY_THRESHOLD,1.0,42.0,22.0,0.5238095238095238
30,10.0,20.0,0.0,-0.13333333333333328,-3.9999999999999987,0.8,0.3333333333333333,7.0,-0.5666666666666667,0.3,-0.15333333333333332,-0.18333333333333338,-0.2333333333333334,120,LIGHTGBM_TRAIN_ONLY_THRESHOLD,2.0,57.0,30.0,0.5263157894736842
