trades,tp,sl,timeout,mean_r,total_r,pf,tp_rate,max_consecutive_losses,ci_low,ci_high,mean_r_cost_002,mean_r_cost_005,mean_r_cost_010,checkpoint_seconds,symbol
28,5,23,0,-0.5357142857142858,-15.000000000000002,0.34782608695652173,0.17857142857142858,10,-0.9071428571428571,-0.16428571428571423,-0.5557142857142857,-0.5857142857142857,-0.6357142857142859,15,USDJPY
1,0,1,0,-1.0,-1.0,0.0,0.0,1,-1.0,-1.0,-1.02,-1.05,-1.1,30,EURUSD
51,6,45,0,-0.6941176470588235,-35.4,0.21333333333333332,0.11764705882352941,15,-0.8980392156862744,-0.4392156862745098,-0.7141176470588237,-0.7441176470588233,-0.7941176470588237,30,USDJPY
1,0,1,0,-1.0,-1.0,0.0,0.0,1,-1.0,-1.0,-1.02,-1.05,-1.1,60,USDCAD
30,4,26,0,-0.6533333333333334,-19.6,0.24615384615384617,0.13333333333333333,9,-0.9133333333333333,-0.30666666666666664,-0.6733333333333333,-0.7033333333333335,-0.7533333333333336,60,USDJPY
30,10,20,0,-0.13333333333333328,-3.9999999999999987,0.8,0.3333333333333333,7,-0.5666666666666667,0.3,-0.15333333333333332,-0.18333333333333338,-0.2333333333333334,120,USDJPY
