trades,tp,sl,timeout,mean_r,total_r,pf,tp_rate,max_consecutive_losses,ci_low,ci_high,mean_r_cost_002,mean_r_cost_005,mean_r_cost_010,checkpoint_seconds,fold
7,0,7,0,-1.0,-7.0,0.0,0.0,7,-1.0,-1.0,-1.0199999999999998,-1.05,-1.0999999999999999,15,1
10,3,7,0,-0.21999999999999997,-2.1999999999999997,0.6857142857142858,0.3,3,-1.0,0.5599999999999999,-0.24,-0.27,-0.32000000000000006,15,2
3,0,3,0,-1.0,-3.0,0.0,0.0,3,-1.0,-1.0,-1.02,-1.05,-1.1,15,3
8,2,6,0,-0.35,-2.8,0.5333333333333333,0.25,4,-1.0,0.625,-0.37,-0.4,-0.45000000000000007,15,4
29,3,26,0,-0.7310344827586207,-21.2,0.18461538461538465,0.10344827586206896,13,-1.0,-0.3724137931034483,-0.7510344827586206,-0.7810344827586209,-0.831034482758621,30,1
10,2,8,0,-0.4800000000000001,-4.800000000000001,0.4,0.2,7,-1.0,0.30000000000000004,-0.5,-0.53,-0.5800000000000001,30,2
2,0,2,0,-1.0,-2.0,0.0,0.0,2,-1.0,-1.0,-1.02,-1.05,-1.1,30,3
11,1,10,0,-0.7636363636363637,-8.4,0.16,0.09090909090909091,10,-1.0,-0.2909090909090909,-0.7836363636363636,-0.8136363636363637,-0.8636363636363636,30,4
21,2,19,0,-0.7523809523809524,-15.8,0.16842105263157894,0.09523809523809523,10,-1.0,-0.38095238095238093,-0.7723809523809523,-0.8023809523809526,-0.8523809523809525,60,1
3,2,1,0,0.7333333333333334,2.2,3.2,0.6666666666666666,1,-1.0,1.6000000000000003,0.7133333333333334,0.6833333333333332,0.6333333333333333,60,2
1,0,1,0,-1.0,-1.0,0.0,0.0,1,-1.0,-1.0,-1.02,-1.05,-1.1,60,3
6,0,6,0,-1.0,-6.0,0.0,0.0,6,-1.0,-1.0,-1.0199999999999998,-1.05,-1.0999999999999999,60,4
5,1,4,0,-0.48,-2.4,0.4,0.2,2,-1.0,0.56,-0.5,-0.53,-0.5800000000000001,120,1
12,5,7,0,0.08333333333333333,1.0,1.1428571428571428,0.4166666666666667,7,-0.5666666666666668,0.7333333333333334,0.06333333333333331,0.03333333333333325,-0.016666666666666757,120,2
2,1,1,0,0.30000000000000004,0.6000000000000001,1.6,0.5,1,-1.0,1.6,0.28,0.25,0.19999999999999996,120,3
11,3,8,0,-0.2909090909090909,-3.1999999999999997,0.6000000000000001,0.2727272727272727,5,-1.0,0.41818181818181815,-0.3109090909090909,-0.3409090909090909,-0.390909090909091,120,4
