checkpoint_seconds,feature,mean_abs_shap,status
60,num__extreme_update_rate,0.023602146228569692,DESCRIPTIVE_ONLY
60,num__path_contraction_ratio,0.06172878614540937,DESCRIPTIVE_ONLY
60,num__path_expansion_ratio,0.020764068831847306,DESCRIPTIVE_ONLY
60,num__decision_spread_atr,0.790954503833644,DESCRIPTIVE_ONLY
60,num__spread_vs_t0_ratio,0.031674512925802235,DESCRIPTIVE_ONLY
60,num__spread_vs_postshock_mean,0.05610576785276536,DESCRIPTIVE_ONLY
60,num__spread_contraction_from_t0,0.02712273674240992,DESCRIPTIVE_ONLY
60,num__tick_count_postshock,0.021422683050922802,DESCRIPTIVE_ONLY
60,num__tick_rate_recent_5s,0.007811949393352217,DESCRIPTIVE_ONLY
60,num__tick_rate_recent_10s,0.007810668860617452,DESCRIPTIVE_ONLY
60,num__tick_activity_vs_t0,0.04756681281558653,DESCRIPTIVE_ONLY
60,num__activity_decay,0.06980295991331253,DESCRIPTIVE_ONLY
60,num__activity_acceleration,0.0197277311021348,DESCRIPTIVE_ONLY
60,num__checkpoint_quote_lag_ms,0.06058132363987703,DESCRIPTIVE_ONLY
60,num__spread_atr_t0,0.6758714569167057,DESCRIPTIVE_ONLY
60,num__tick_activity_ratio,0.008913513285074347,DESCRIPTIVE_ONLY
60,num__atr14_m5,0.7763240381568154,DESCRIPTIVE_ONLY
60,num__pre_return_5m_dir_atr_action,0.04881695820828963,DESCRIPTIVE_ONLY
60,num__m5_ema20_slope_dir_atr_action,0.05770124707878898,DESCRIPTIVE_ONLY
60,num__m15_alignment_dir_action,0.0775957211911053,DESCRIPTIVE_ONLY
60,num__pre_extension_15m_dir_atr_action,0.06903291824185921,DESCRIPTIVE_ONLY
60,num__day_range_position_dir_action,0.03450491041714106,DESCRIPTIVE_ONLY
60,num__detection_efficiency,0.0007386238334452214,DESCRIPTIVE_ONLY
60,num__severity,0.0723227954922236,DESCRIPTIVE_ONLY
60,num__confirmation_retention_action,0.0482365797828712,DESCRIPTIVE_ONLY
60,num__spread_efficiency_interaction,0.1313105311137791,DESCRIPTIVE_ONLY
60,num__flow_efficiency_interaction,0.02195154202190937,DESCRIPTIVE_ONLY
60,cat__action_CONTINUATION,0.0,DESCRIPTIVE_ONLY
60,cat__action_REVERSAL,0.0,DESCRIPTIVE_ONLY
60,cat__shock_direction_LONG,0.003919889468190887,DESCRIPTIVE_ONLY
60,cat__shock_direction_SHORT,0.0,DESCRIPTIVE_ONLY
30,num__postshock_return_atr_action,0.019527428692006736,DESCRIPTIVE_ONLY
30,num__postshock_mfe_to_decision_atr,0.03059427741274669,DESCRIPTIVE_ONLY
30,num__postshock_mae_to_decision_atr,0.02262890080792641,DESCRIPTIVE_ONLY
30,num__postshock_range_atr,0.013477429374998143,DESCRIPTIVE_ONLY
30,num__retracement_from_peak_pct,0.04406626526314997,DESCRIPTIVE_ONLY
30,num__retracement_from_trough_pct,0.018061642405197777,DESCRIPTIVE_ONLY
30,num__current_location_in_postshock_range,0.0046616558443164985,DESCRIPTIVE_ONLY
30,num__new_extreme_count,0.019973965084670895,DESCRIPTIVE_ONLY
30,num__origin_recross_count,0.016883129206379566,DESCRIPTIVE_ONLY
30,num__time_since_last_extreme_ms,0.04937604398770249,DESCRIPTIVE_ONLY
30,num__distance_from_last_extreme_atr,0.024551149166874193,DESCRIPTIVE_ONLY
30,num__net_move_over_path_length,0.03317796818385853,DESCRIPTIVE_ONLY
30,num__shock_direction_tick_ratio,0.03081161721691418,DESCRIPTIVE_ONLY
30,num__direction_consistency,0.007597398906177715,DESCRIPTIVE_ONLY
30,num__realized_abs_move_atr,0.021075381051309995,DESCRIPTIVE_ONLY
30,num__realized_volatility,0.0342235259255805,DESCRIPTIVE_ONLY
30,num__recent_5s_acceleration_action,0.03958709406573895,DESCRIPTIVE_ONLY
30,num__recent_10s_acceleration_action,0.03796190407439421,DESCRIPTIVE_ONLY
30,num__peak_update_interval_ms,0.043871319436943376,DESCRIPTIVE_ONLY
30,num__extreme_update_rate,0.035711864783985026,DESCRIPTIVE_ONLY
30,num__path_contraction_ratio,0.1158188434367124,DESCRIPTIVE_ONLY
30,num__path_expansion_ratio,0.017105566270506953,DESCRIPTIVE_ONLY
30,num__decision_spread_atr,0.9553260674551423,DESCRIPTIVE_ONLY
30,num__spread_vs_t0_ratio,0.03561420136592481,DESCRIPTIVE_ONLY
30,num__spread_vs_postshock_mean,0.011223013928559507,DESCRIPTIVE_ONLY
30,num__spread_contraction_from_t0,0.033815217683414195,DESCRIPTIVE_ONLY
30,num__tick_count_postshock,0.015384808512871443,DESCRIPTIVE_ONLY
30,num__tick_rate_recent_5s,0.030884826662142907,DESCRIPTIVE_ONLY
30,num__tick_rate_recent_10s,0.051811341263327905,DESCRIPTIVE_ONLY
30,num__tick_activity_vs_t0,0.03755034477867674,DESCRIPTIVE_ONLY
30,num__activity_decay,0.03182084795782874,DESCRIPTIVE_ONLY
30,num__activity_acceleration,0.014109392951595575,DESCRIPTIVE_ONLY
30,num__checkpoint_quote_lag_ms,0.044588520385167286,DESCRIPTIVE_ONLY
30,num__spread_atr_t0,0.7352857079908441,DESCRIPTIVE_ONLY
30,num__tick_activity_ratio,0.0001427631331356486,DESCRIPTIVE_ONLY
30,num__atr14_m5,0.7055393368570649,DESCRIPTIVE_ONLY
30,num__pre_return_5m_dir_atr_action,0.040866075409924325,DESCRIPTIVE_ONLY
30,num__m5_ema20_slope_dir_atr_action,0.05518430702565188,DESCRIPTIVE_ONLY
30,num__m15_alignment_dir_action,0.012250773722701962,DESCRIPTIVE_ONLY
30,num__pre_extension_15m_dir_atr_action,0.07521446508520888,DESCRIPTIVE_ONLY
30,num__day_range_position_dir_action,0.027176732813707957,DESCRIPTIVE_ONLY
30,num__detection_efficiency,0.01887872680376679,DESCRIPTIVE_ONLY
30,num__severity,0.013301245131619305,DESCRIPTIVE_ONLY
30,num__confirmation_retention_action,0.09068378269798555,DESCRIPTIVE_ONLY
30,num__spread_efficiency_interaction,0.06584303946185832,DESCRIPTIVE_ONLY
30,num__flow_efficiency_interaction,0.04010638249453293,DESCRIPTIVE_ONLY
30,cat__action_CONTINUATION,0.0545332832674677,DESCRIPTIVE_ONLY
30,cat__action_REVERSAL,0.0009699242199618525,DESCRIPTIVE_ONLY
30,cat__shock_direction_LONG,0.011944811089681462,DESCRIPTIVE_ONLY
30,cat__shock_direction_SHORT,0.0019702418484792475,DESCRIPTIVE_ONLY
15,num__postshock_return_atr_action,0.04111027220752395,DESCRIPTIVE_ONLY
15,num__postshock_mfe_to_decision_atr,0.014867939205993256,DESCRIPTIVE_ONLY
15,num__postshock_mae_to_decision_atr,0.05299459858653925,DESCRIPTIVE_ONLY
15,num__postshock_range_atr,0.016652969789404188,DESCRIPTIVE_ONLY
15,num__retracement_from_peak_pct,0.03195145816802842,DESCRIPTIVE_ONLY
15,num__retracement_from_trough_pct,0.009625064996970998,DESCRIPTIVE_ONLY
15,num__current_location_in_postshock_range,0.0047173934833216104,DESCRIPTIVE_ONLY
15,num__new_extreme_count,0.005211998439699952,DESCRIPTIVE_ONLY
15,num__origin_recross_count,0.01242224083912009,DESCRIPTIVE_ONLY
15,num__time_since_last_extreme_ms,0.03722002664141851,DESCRIPTIVE_ONLY
15,num__distance_from_last_extreme_atr,0.02219675288064041,DESCRIPTIVE_ONLY
15,num__net_move_over_path_length,0.06678112043351561,DESCRIPTIVE_ONLY
15,num__shock_direction_tick_ratio,0.0371144011719732,DESCRIPTIVE_ONLY
15,num__direction_consistency,0.009656732442771388,DESCRIPTIVE_ONLY
15,num__realized_abs_move_atr,0.03256928523084242,DESCRIPTIVE_ONLY
15,num__realized_volatility,0.010932540875007021,DESCRIPTIVE_ONLY
15,num__recent_5s_acceleration_action,0.06372369543995732,DESCRIPTIVE_ONLY
15,num__recent_10s_acceleration_action,0.11195938075336861,DESCRIPTIVE_ONLY
15,num__peak_update_interval_ms,0.08934050341422681,DESCRIPTIVE_ONLY
15,num__extreme_update_rate,0.06582152495649368,DESCRIPTIVE_ONLY
15,num__path_contraction_ratio,0.0886224066032482,DESCRIPTIVE_ONLY
