trades,tp,sl,timeout,mean_r,total_r,pf,tp_rate,max_consecutive_losses,ci_low,ci_high,mean_r_cost_002,mean_r_cost_005,mean_r_cost_010,checkpoint_seconds,session
3,1,2,0,-0.1333333333333333,-0.3999999999999999,0.8,0.3333333333333333,2,-1.0,1.6000000000000003,-0.15333333333333332,-0.18333333333333335,-0.2333333333333334,15,LONDON
18,3,15,0,-0.5666666666666668,-10.200000000000001,0.32000000000000006,0.16666666666666666,8,-1.0,-0.1333333333333333,-0.5866666666666667,-0.6166666666666667,-0.6666666666666667,15,NEW_YORK
1,0,1,0,-1.0,-1.0,0.0,0.0,1,-1.0,-1.0,-1.02,-1.05,-1.1,15,OTHER
4,1,3,0,-0.35,-1.4,0.5333333333333333,0.25,2,-1.0,0.9500000000000001,-0.37,-0.4,-0.45000000000000007,15,OVERLAP
2,0,2,0,-1.0,-2.0,0.0,0.0,2,-1.0,-1.0,-1.02,-1.05,-1.1,15,TOKYO
6,1,5,0,-0.5666666666666667,-3.4,0.32,0.16666666666666666,4,-1.0,0.30000000000000004,-0.5866666666666667,-0.6166666666666667,-0.6666666666666666,30,LONDON
28,2,26,0,-0.8142857142857142,-22.799999999999997,0.12307692307692308,0.07142857142857142,19,-1.0,-0.5357142857142857,-0.8342857142857144,-0.8642857142857144,-0.9142857142857146,30,NEW_YORK
4,3,1,0,0.9500000000000001,3.8000000000000003,4.800000000000001,0.75,1,-0.35,1.6,0.93,0.8999999999999999,0.85,30,OTHER
10,0,10,0,-1.0,-10.0,0.0,0.0,10,-1.0,-1.0,-1.02,-1.0500000000000003,-1.1,30,OVERLAP
4,0,4,0,-1.0,-4.0,0.0,0.0,4,-1.0,-1.0,-1.02,-1.05,-1.1,30,TOKYO
4,1,3,0,-0.35,-1.4,0.5333333333333333,0.25,2,-1.0,0.9500000000000001,-0.37,-0.4,-0.45000000000000007,60,LONDON
16,2,14,0,-0.675,-10.8,0.2285714285714286,0.125,8,-1.0,-0.18749999999999997,-0.6950000000000001,-0.7250000000000001,-0.7750000000000001,60,NEW_YORK
2,0,2,0,-1.0,-2.0,0.0,0.0,2,-1.0,-1.0,-1.02,-1.05,-1.1,60,OTHER
8,1,7,0,-0.675,-5.4,0.2285714285714286,0.125,6,-1.0,-0.024999999999999967,-0.6950000000000001,-0.7250000000000001,-0.7750000000000001,60,OVERLAP
1,0,1,0,-1.0,-1.0,0.0,0.0,1,-1.0,-1.0,-1.02,-1.05,-1.1,60,TOKYO
4,1,3,0,-0.35,-1.4,0.5333333333333333,0.25,2,-1.0,0.9500000000000001,-0.37,-0.4,-0.45000000000000007,120,LONDON
14,6,8,0,0.11428571428571432,1.6000000000000005,1.2,0.42857142857142855,3,-0.44749999999999984,0.857142857142857,0.0942857142857143,0.06428571428571428,0.014285714285714235,120,NEW_YORK
2,2,0,0,1.6,3.2,,1.0,0,1.6,1.6,1.58,1.55,1.5,120,OTHER
9,1,8,0,-0.7111111111111111,-6.4,0.2,0.1111111111111111,6,-1.0,-0.1333333333333333,-0.7311111111111112,-0.7611111111111112,-0.8111111111111112,120,OVERLAP
1,0,1,0,-1.0,-1.0,0.0,0.0,1,-1.0,-1.0,-1.02,-1.05,-1.1,120,TOKYO
