episode_id,event_id,market_cluster_id,symbol,shock_direction,t0_msc,checkpoint_seconds,checkpoint_target_msc,status,decision_quote_msc,decision_processing_msc,feature_max_source_msc,atr_source_msc,checkpoint_quote_lag_ms,decision_bid,decision_ask,decision_mid,atr_t0,atr_decision,postshock_return_atr,postshock_mfe_to_decision_atr,postshock_mae_to_decision_atr,postshock_range_atr,retracement_from_peak_pct,retracement_from_trough_pct,current_location_in_postshock_range,new_extreme_count,origin_recross_count,time_since_last_extreme_ms,distance_from_last_extreme_atr,net_move_over_path_length,shock_direction_tick_ratio,direction_consistency,realized_abs_move_atr,realized_volatility,recent_5s_acceleration,recent_10s_acceleration,peak_update_interval_ms,extreme_update_rate,path_contraction_ratio,path_expansion_ratio,decision_spread_atr,spread_vs_t0_ratio,spread_vs_postshock_mean,spread_contraction_from_t0,tick_count_postshock,tick_rate_recent_5s,tick_rate_recent_10s,tick_activity_vs_t0,activity_decay,activity_acceleration,schema_version,session,spread_atr_t0,tick_activity_ratio,atr14_m5,pre_return_5m_dir_atr,m5_ema20_slope_dir_atr,m15_alignment_dir,pre_extension_15m_dir_atr,day_range_position_dir,detection_efficiency,severity,confirmation_retention,spread_efficiency_interaction,flow_efficiency_interaction,week,fold
ts15n_delayed_decision_r2_202503_USDJPY_mh_1,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,LONG,1740999587465,15,1740999602465,ELIGIBLE,1740999602553,1740999602831,1740999602553,1740999600000,88,150.097,150.116,150.1065,0.0901722664,0.0895528188,-0.223331886815,0.0,0.251248372667,0.251248372667,0.888888888888,0.111111111112,0.111111111112,8,0,1626,0.027916485852,0.298507462686,0.458333333333,-0.083333333333,0.748161820832,0.161433581689,-0.083749457555,-0.128415834919,1689.625,0.530222693531,0.726190476192,0.335820895522,0.212165292474,1.117647058824,1.015590200446,-0.022333188682,48,3.8,3.2,1.6,1.1875,0.6,tickshock-delayed-decision-v1,LONDON,0.188528032749,2.0,0.0901722664,0.316061701962,-0.251291872349,,-0.350575884966,-0.80664652568,1.0,2.8216307377,0.909090909088,0.188528032749,0.316061701962,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_1,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,LONG,1740999587465,30,1740999617465,STALE_DECISION,1740999618579,1740999620018,1740999618579,1740999600000,1114,150.087,150.104,150.0955,0.0901722664,0.0895528188,-0.346164424563,0.0,0.346164424563,0.346164424563,1.0,0.0,0.0,15,0,0,0.0,0.210884353741,0.451612903226,-0.096774193548,1.64148936809,0.253779128903,0.027916485852,-0.083749457556,1969.5333,0.482098090892,0.422535211269,0.210884353741,0.189832103793,1.000000000002,0.917585606502,-0.0,93,2.0,2.4,1.2,0.833333333333,-0.4,tickshock-delayed-decision-v1,LONDON,0.188528032749,2.0,0.0901722664,0.316061701962,-0.251291872349,,-0.350575884966,-0.80664652568,1.0,2.8216307377,0.909090909088,0.188528032749,0.316061701962,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_1,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,LONG,1740999587465,60,1740999647465,ELIGIBLE,1740999647471,1740999647595,1740999647471,1740999600000,6,150.11,150.127,150.1185,0.0901722664,0.0895528188,-0.089332754726,0.022333188682,0.346164424563,0.368497613245,0.30303030303,0.69696969697,0.69696969697,17,6,17213,0.111665943407,0.034482758621,0.479166666667,-0.041666666667,2.590649887054,0.329556450715,0.066999566045,-0.100499349067,3437.3529,0.283305002833,0.593220338985,0.14224137931,0.189832103793,1.0,0.944080215966,0.0,144,2.2,2.0,1.0,1.1,0.2,tickshock-delayed-decision-v1,LONDON,0.188528032749,2.0,0.0901722664,0.316061701962,-0.251291872349,,-0.350575884966,-0.80664652568,1.0,2.8216307377,0.909090909088,0.188528032749,0.316061701962,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_1,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,LONG,1740999587465,120,1740999707465,STALE_DECISION,1740999709018,1740999712463,1740999709018,1740999600000,1553,150.093,150.111,150.102,0.0901722664,0.0895528188,-0.273581561349,0.083749457556,0.346164424563,0.429913882119,0.83116883117,0.16883116883,0.16883116883,20,8,56097,0.072582863214,0.062420382166,0.478087649402,-0.043824701195,4.382888278749,0.425101261673,0.00558329717,-0.039083080193,5999.1,0.164537280034,0.219512195123,0.098089171974,0.200998698134,1.058823529412,1.025419881979,-0.011166594341,251,0.8,1.1,0.55,0.727272727273,-0.3,tickshock-delayed-decision-v1,LONDON,0.188528032749,2.0,0.0901722664,0.316061701962,-0.251291872349,,-0.350575884966,-0.80664652568,1.0,2.8216307377,0.909090909088,0.188528032749,0.316061701962,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_2,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,LONG,1741001029236,15,1741001044236,STALE_DECISION,1741001045137,1741001048831,1741001045137,1741000800000,901,150.097,150.113,150.105,0.0913767326,0.0913767326,-0.049246672243,0.032831114829,0.114908901902,0.147740016731,0.555555555554,0.444444444446,0.444444444446,7,2,8798,0.065662229659,0.096774193547,0.459459459459,-0.081081081081,0.508882279854,0.135697528438,0.098493344487,0.010943704943,2022.2857,0.44022388529,0.45901639344,0.290322580644,0.175099279089,1.066666666667,0.973684210526,-0.010943704943,37,2.8,2.6,2.6,1.076923076923,0.2,tickshock-delayed-decision-v1,LONDON,0.164155574145,1.0,0.0913767326,0.519825984794,-0.485252740552,,0.548902306846,-0.698884758364,1.0,2.722990072821,2.000000000057,0.164155574145,0.519825984794,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_2,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,LONG,1741001029236,30,1741001059236,ELIGIBLE,1741001059494,1741001066785,1741001059494,1741000800000,258,150.091,150.106,150.0985,0.0913767326,0.0913767326,-0.120380754373,0.032831114829,0.186042984032,0.218874098861,0.7,0.3,0.3,10,2,3056,0.065662229658,0.134146341463,0.428571428571,-0.142857142857,0.897383805331,0.16722754643,0.038302967301,-0.005471852471,2851.3,0.330491109789,0.666666666665,0.243902439024,0.164155574145,1.0,0.912162162162,0.0,63,2.8,2.1,2.1,1.333333333333,0.7,tickshock-delayed-decision-v1,LONDON,0.164155574145,1.0,0.0913767326,0.519825984794,-0.485252740552,,0.548902306846,-0.698884758364,1.0,2.722990072821,2.000000000057,0.164155574145,0.519825984794,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_2,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,LONG,1741001029236,60,1741001089236,ELIGIBLE,1741001089733,1741001092083,1741001089733,1741000800000,497,150.081,150.098,150.0895,0.0913767326,0.0913767326,-0.218874098861,0.032831114829,0.218874098861,0.25170521369,1.0,0.0,0.0,12,2,0,0.0,0.153846153846,0.443396226415,-0.11320754717,1.422681642598,0.198349934923,0.005471852471,-0.049246672244,4896.0,0.19835694332,0.22727272727,0.176923076923,0.186042984032,1.133333333336,1.027366020526,-0.021887409886,106,0.6,1.2,1.2,0.5,-0.6,tickshock-delayed-decision-v1,LONDON,0.164155574145,1.0,0.0913767326,0.519825984794,-0.485252740552,,0.548902306846,-0.698884758364,1.0,2.722990072821,2.000000000057,0.164155574145,0.519825984794,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_2,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,USDJPY,LONG,1741001029236,120,1741001149236,ELIGIBLE,1741001149613,1741001150927,1741001149613,1741001100000,377,150.087,150.106,150.0965,0.0913767326,0.0887426803,-0.146490955233,0.033805605054,0.281713375448,0.315518980502,0.571428571429,0.428571428571,0.428571428571,14,2,34246,0.135222420215,0.044982698962,0.451923076923,-0.096153846154,3.256606620179,0.349869412378,0.101416815161,-0.05634267509,8473.7143,0.116301286791,0.519999999997,0.096885813149,0.214102165341,1.266666666668,1.09201436861,-0.045074140072,208,1.4,1.4,1.4,1.0,0.0,tickshock-delayed-decision-v1,LONDON,0.164155574145,1.0,0.0913767326,0.519825984794,-0.485252740552,,0.548902306846,-0.698884758364,1.0,2.722990072821,2.000000000057,0.164155574145,0.519825984794,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_3,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,SHORT,1741002079487,15,1741002094487,ELIGIBLE,1741002094559,1741002094897,1741002094559,1741002000000,72,150.218,150.233,150.2255,0.0855756809,0.0855756809,-0.093484502976,0.0,0.105170065848,0.105170065848,0.111111111109,0.888888888891,0.888888888891,5,0,3028,0.011685562872,0.380952380954,0.35,-0.3,0.245396820312,0.088224064967,-0.040899470053,-0.052585032924,2394.8,0.331740976645,0.799999999997,0.428571428572,0.175283443081,1.000000000002,0.958466453674,-0.0,20,1.6,1.3,1.3,1.230769230769,0.3,tickshock-delayed-decision-v1,LONDON,0.175283443081,1.0,0.0855756809,-0.245396820313,-0.082902315956,,-0.911091512132,0.498141263941,1.0,3.536901788223,-1.0,0.175283443081,-0.245396820313,2025-W09,
ts15n_delayed_decision_r2_202503_USDJPY_mh_3,ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,USDJPY,SHORT,1741002079487,30,1741002109487,STALE_DECISION,1741002110787,1741002110918,1741002110787,1741002000000,1300,150.22,150.235,150.2275,0.0855756809,0.0855756809,-0.116855628721,0.0,0.134383973028,0.134383973028,0.130434782606,0.869565217394,0.869565217394,7,0,6948,0.017528344308,0.217391304348,0.378378378378,-0.243243243243,0.537535892114,0.1380183211,0.017528344308,-0.005842781437,4028.8571,0.223642172524,0.391304347829,0.25,0.175283443081,1.000000000002,0.934343434344,-0.0,37,1.4,1.4,1.4,1.0,0.0,tickshock-delayed-decision-v1,LONDON,0.175283443081,1.0,0.0855756809,-0.245396820313,-0.082902315956,,-0.911091512132,0.498141263941,1.0,3.536901788223,-1.0,0.175283443081,-0.245396820313,2025-W09,
