checkpoint_seconds,total_episodes,eligible_episodes,eligible_market_clusters,continuation_tp,reversal_tp,both_tp,both_sl,timeout_involved,oracle_trade_count,oracle_tp_count,oracle_expectancy,oracle_total_r,oracle_pf,oracle_positive_rate,oracle_ci_low,oracle_ci_high,remaining_mfe_median,consumed_move_median,status_ELIGIBLE,status_STALE_DECISION,oracle_feasibility
15,2696,1545,1450,70,74,0,1401,0,144,144,0.14912621359223302,230.4,inf,0.09320388349514563,0.12480688792170823,0.17292161885245902,0.0,0.135228770404,1545,1151,ORACLE_FEASIBILITY_PRESENT
30,2696,1530,1439,85,62,0,1383,0,147,147,0.15372549019607842,235.2,inf,0.09607843137254903,0.13043621731737295,0.17823854395549688,0.0,0.178619866022,1530,1166,ORACLE_FEASIBILITY_PRESENT
60,2696,1493,1413,71,72,0,1349,1,143,143,0.15324849296718018,228.8,inf,0.09578030810448761,0.12967037854387317,0.17777777777777778,0.0,0.238302056784,1493,1203,ORACLE_FEASIBILITY_PRESENT
120,2696,1470,1397,80,68,0,1321,1,148,148,0.16108843537414966,236.8,inf,0.10068027210884353,0.13531649066026813,0.18632760721873323,0.0,0.319272951142,1470,1226,ORACLE_FEASIBILITY_PRESENT
