source,checkpoint_seconds,oof_episodes,direction_correct,tp,mean_r,ci_low,ci_high
STEP15M_FROZEN,0,1620,26,26,-0.584,-0.896,-0.168
STEP15N,15,1545,,144,0.14912621359223302,0.12480688792170823,0.17292161885245902
STEP15N,30,1530,,147,0.15372549019607842,0.13043621731737295,0.17823854395549688
STEP15N,60,1493,,143,0.15324849296718018,0.12967037854387317,0.17777777777777778
STEP15N,120,1470,,148,0.16108843537414966,0.13531649066026813,0.18632760721873323
