episode_id,checkpoint_seconds,market_cluster_id,symbol,session,week,fold,path_class,continuation_r,reversal_r,oracle_r,remaining_mfe,consumed_move
ts15n_delayed_decision_r2_202503_AUDUSD_mh_106,30,3341,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.272456333722
ts15n_delayed_decision_r2_202503_AUDUSD_mh_106,60,3341,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.06811408343
ts15n_delayed_decision_r2_202503_AUDUSD_mh_106,120,3341,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.231587883663
ts15n_delayed_decision_r2_202503_AUDUSD_mh_107,30,3357,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.09599117284
ts15n_delayed_decision_r2_202503_AUDUSD_mh_107,60,3357,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.397677716052
ts15n_delayed_decision_r2_202503_AUDUSD_mh_107,120,3357,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.726790308646
ts15n_delayed_decision_r2_202503_AUDUSD_mh_108,120,3360,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.072552037057
ts15n_delayed_decision_r2_202503_AUDUSD_mh_109,60,3372,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.138098835597
ts15n_delayed_decision_r2_202503_AUDUSD_mh_11,15,734,AUDUSD,OTHER,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.741764937413
ts15n_delayed_decision_r2_202503_AUDUSD_mh_11,30,734,AUDUSD,OTHER,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.519235456189
ts15n_delayed_decision_r2_202503_AUDUSD_mh_11,60,734,AUDUSD,OTHER,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.165604029282
ts15n_delayed_decision_r2_202503_AUDUSD_mh_11,120,734,AUDUSD,OTHER,2025-W09,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.745218131767
ts15n_delayed_decision_r2_202503_AUDUSD_mh_110,30,3375,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.288849598238
ts15n_delayed_decision_r2_202503_AUDUSD_mh_110,60,3375,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.057769919648
ts15n_delayed_decision_r2_202503_AUDUSD_mh_111,30,3378,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.313558698965
ts15n_delayed_decision_r2_202503_AUDUSD_mh_111,60,3378,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.313558698965
ts15n_delayed_decision_r2_202503_AUDUSD_mh_111,120,3378,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.333156117651
ts15n_delayed_decision_r2_202503_AUDUSD_mh_112,30,3383,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.139348893781
ts15n_delayed_decision_r2_202503_AUDUSD_mh_112,120,3383,AUDUSD,TOKYO,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.784385407911
ts15n_delayed_decision_r2_202503_AUDUSD_mh_114,15,3392,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.0
ts15n_delayed_decision_r2_202503_AUDUSD_mh_114,30,3392,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.417633642331
ts15n_delayed_decision_r2_202503_AUDUSD_mh_114,60,3392,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.512550379225
ts15n_delayed_decision_r2_202503_AUDUSD_mh_114,120,3392,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.569500480187
ts15n_delayed_decision_r2_202503_AUDUSD_mh_115,15,3399,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.263944977833
ts15n_delayed_decision_r2_202503_AUDUSD_mh_115,30,3399,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.243641517999
ts15n_delayed_decision_r2_202503_AUDUSD_mh_116,15,3415,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.134979433895
ts15n_delayed_decision_r2_202503_AUDUSD_mh_116,120,3415,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.804183091688
ts15n_delayed_decision_r2_202503_AUDUSD_mh_117,30,3430,AUDUSD,LONDON,2025-W10,,BOTH_SL,-1.0,-1.0,0.0,0.0,0.223433452866
