checkpoint_seconds,feature,importance_mean,importance_std
120,postshock_return_atr_action,0.07593169126316131,0.0065089278800146404
120,postshock_mfe_to_decision_atr,0.009255679991196053,0.013709475061695816
120,postshock_mae_to_decision_atr,0.013609197406961293,0.008299057273005951
120,postshock_range_atr,0.0072115686164978985,0.0009786553536648601
120,retracement_from_peak_pct,0.033733531730474,0.0056364755546341894
120,retracement_from_trough_pct,0.005276960479727255,0.0031320358982156985
120,current_location_in_postshock_range,0.0008915925510412315,0.0003816429592175251
120,new_extreme_count,0.0028168559511276615,0.0019688820201724084
120,origin_recross_count,0.029412743319749968,0.0064307660054558746
120,time_since_last_extreme_ms,0.032406858577513284,0.005253429971453855
120,distance_from_last_extreme_atr,0.03155187108128106,0.0025715860834931116
120,net_move_over_path_length,0.030921571501902313,0.004225633097398806
120,shock_direction_tick_ratio,0.038089365508301797,0.005415943145573163
120,direction_consistency,0.0031464316778707646,0.0011227874082606246
120,realized_abs_move_atr,0.00720386195207634,0.00338881995227259
120,realized_volatility,0.009174565876248297,0.006476211806827878
120,recent_5s_acceleration_action,0.04143863285339326,0.006175640783090911
120,recent_10s_acceleration_action,0.06950246738137464,0.01576716510843261
120,peak_update_interval_ms,0.037641045494183324,0.005788089380005089
120,extreme_update_rate,0.02301184149142086,0.003731885497326746
120,path_contraction_ratio,0.041546833904465806,0.010848615581778064
120,path_expansion_ratio,0.029992709449667632,0.004994269613792261
120,decision_spread_atr,0.4220710817118768,0.03639024449255198
120,spread_vs_t0_ratio,0.008697341305580909,0.0017455442655080037
120,spread_vs_postshock_mean,0.014641089566723631,0.002554463157805099
120,spread_contraction_from_t0,0.021247055170101458,0.005420254346053714
120,tick_count_postshock,0.05521487457170684,0.009702454346242282
120,tick_rate_recent_5s,0.0028054615293711116,0.0012477525408414753
120,tick_rate_recent_10s,0.004231468540700156,0.004270998385068254
120,tick_activity_vs_t0,0.003547370674545536,0.0012724313660540927
120,activity_decay,0.06508200408061637,0.008586190091980878
120,activity_acceleration,0.008109163863855583,0.00303552809089636
120,checkpoint_quote_lag_ms,0.053027956204382456,0.003910233105907737
120,spread_atr_t0,0.16305590694000022,0.024861868726735528
120,tick_activity_ratio,0.0,0.0
120,atr14_m5,0.1815773610691998,0.039422027464039416
120,pre_return_5m_dir_atr_action,0.07246053587022987,0.010830952653064973
120,m5_ema20_slope_dir_atr_action,0.05548245663452802,0.008710028080625707
120,m15_alignment_dir_action,0.027999837554239404,0.0077439891661120145
120,pre_extension_15m_dir_atr_action,0.07889749482850264,0.009469869631468765
120,day_range_position_dir_action,0.04289092704928095,0.004276737063678726
120,detection_efficiency,0.016340060309394146,0.009610111082307016
120,severity,0.04678752341876373,0.012859290281986208
120,confirmation_retention_action,0.06796559927678261,0.017411861025988705
120,spread_efficiency_interaction,0.016406832615808442,0.017789043352909015
120,flow_efficiency_interaction,0.03768161444130473,0.0056149366540244544
120,action,0.0005220609964073474,0.0003905408815155966
120,shock_direction,0.001960381977593384,0.001802002413530006
60,postshock_return_atr_action,0.023424819663394693,0.003689903453799921
60,postshock_mfe_to_decision_atr,0.02445386278400181,0.008037396089696683
60,postshock_mae_to_decision_atr,0.03456287990435558,0.0031543494728891995
60,postshock_range_atr,0.01794989339765065,0.0021118002083511207
60,retracement_from_peak_pct,0.01673095069973083,0.0037041070796783896
60,retracement_from_trough_pct,0.009252323255817641,0.003524696518242659
60,current_location_in_postshock_range,0.0004333310182707883,6.475678808528175e-05
60,new_extreme_count,0.005820174533943035,0.0019733105044559833
60,origin_recross_count,0.003394307532588048,0.002389784625518065
60,time_since_last_extreme_ms,0.018617556102288234,0.004336761287652743
60,distance_from_last_extreme_atr,0.016895482190723964,0.0038353198455179064
60,net_move_over_path_length,0.02628482770805718,0.002614914546636763
60,shock_direction_tick_ratio,0.04467290985211474,0.012779147452405794
60,direction_consistency,0.012953799631694051,0.004281503009043171
60,realized_abs_move_atr,0.01402539060631669,0.0050859851087992625
60,realized_volatility,0.024470658017779166,0.0038853219574303253
60,recent_5s_acceleration_action,0.048281951956007,0.004362804827672447
60,recent_10s_acceleration_action,0.05599242700195126,0.003342865028129869
60,peak_update_interval_ms,0.019033172832053948,0.005747363327371091
60,extreme_update_rate,0.022267598762105913,0.0064005431002389325
60,path_contraction_ratio,0.040980324125635126,0.009606109341610491
60,path_expansion_ratio,0.030038852438778196,0.0055080690448400605
60,decision_spread_atr,0.3447185217316368,0.028241613113282715
60,spread_vs_t0_ratio,0.04027303863252396,0.00732000869351809
60,spread_vs_postshock_mean,0.051733440752189885,0.00910461370513817
60,spread_contraction_from_t0,0.01652979376235706,0.004201175661484452
60,tick_count_postshock,0.004359749347721653,0.0047892436050520695
60,tick_rate_recent_5s,0.000887318849496821,0.0012308356668123872
60,tick_rate_recent_10s,0.0008238782316057458,0.0023222988168703513
60,tick_activity_vs_t0,0.011453775003535038,0.006949821675770441
60,activity_decay,0.03732412724050378,0.007307189417359148
60,activity_acceleration,0.006850143308558931,0.0032085434013600657
60,checkpoint_quote_lag_ms,0.07780247627190204,0.0073318654709064466
60,spread_atr_t0,0.275281229926181,0.028740122256947758
60,tick_activity_ratio,0.0028994525927120264,0.0015765592342257433
60,atr14_m5,0.2639210627771398,0.027169665261543307
60,pre_return_5m_dir_atr_action,0.08325655827699033,0.010532967720913054
60,m5_ema20_slope_dir_atr_action,0.0515198719847962,0.011033035800116229
60,m15_alignment_dir_action,0.07273033768823892,0.016669342933378493
60,pre_extension_15m_dir_atr_action,0.11803230563328562,0.0073200454886681145
60,day_range_position_dir_action,0.03406279372516963,0.008831973711408111
