trades,tp,sl,timeout,mean_r,total_r,pf,tp_rate,max_consecutive_losses,ci_low,ci_high,mean_r_cost_002,mean_r_cost_005,mean_r_cost_010,checkpoint_seconds,week
12,1,11,0,-0.7833333333333333,-9.4,0.14545454545454548,0.08333333333333333,10,-1.0,-0.3499999999999999,-0.8033333333333332,-0.8333333333333335,-0.8833333333333333,15,2025-W10
6,2,4,0,-0.1333333333333333,-0.7999999999999998,0.8,0.3333333333333333,2,-1.0,0.7333333333333334,-0.15333333333333332,-0.18333333333333335,-0.2333333333333334,15,2025-W11
5,1,4,0,-0.48,-2.4,0.4,0.2,3,-1.0,0.56,-0.5,-0.53,-0.5800000000000001,15,2025-W12
5,1,4,0,-0.48,-2.4,0.4,0.2,3,-1.0,0.56,-0.5,-0.53,-0.5800000000000001,15,2025-W13
31,3,28,0,-0.7483870967741936,-23.2,0.17142857142857146,0.0967741935483871,13,-1.0,-0.496774193548387,-0.7683870967741935,-0.7983870967741937,-0.8483870967741939,30,2025-W10
10,2,8,0,-0.48,-4.8,0.4,0.2,5,-1.0,0.3,-0.5,-0.53,-0.5800000000000001,30,2025-W11
4,1,3,0,-0.35,-1.4,0.5333333333333333,0.25,3,-1.0,0.9500000000000001,-0.37,-0.4,-0.45000000000000007,30,2025-W12
7,0,7,0,-1.0,-7.0,0.0,0.0,7,-1.0,-1.0,-1.0199999999999998,-1.05,-1.0999999999999999,30,2025-W13
21,2,19,0,-0.7523809523809524,-15.8,0.16842105263157894,0.09523809523809523,10,-1.0,-0.38095238095238093,-0.7723809523809523,-0.8023809523809526,-0.8523809523809525,60,2025-W10
4,2,2,0,0.30000000000000004,1.2000000000000002,1.6,0.5,1,-1.0,1.6,0.28,0.24999999999999994,0.19999999999999996,60,2025-W11
3,0,3,0,-1.0,-3.0,0.0,0.0,3,-1.0,-1.0,-1.02,-1.05,-1.1,60,2025-W12
3,0,3,0,-1.0,-3.0,0.0,0.0,3,-1.0,-1.0,-1.02,-1.05,-1.1,60,2025-W13
7,2,5,0,-0.2571428571428571,-1.7999999999999998,0.64,0.2857142857142857,2,-1.0,0.48571428571428577,-0.27714285714285714,-0.3071428571428572,-0.3571428571428572,120,2025-W10
12,5,7,0,0.08333333333333337,1.0000000000000004,1.1428571428571428,0.4166666666666667,6,-0.5666666666666668,0.7333333333333334,0.06333333333333335,0.033333333333333326,-0.01666666666666672,120,2025-W11
6,2,4,0,-0.1333333333333333,-0.7999999999999998,0.8,0.3333333333333333,2,-1.0,0.7333333333333334,-0.15333333333333332,-0.18333333333333335,-0.2333333333333334,120,2025-W12
5,1,4,0,-0.48,-2.4,0.4,0.2,3,-1.0,0.56,-0.5,-0.53,-0.5800000000000001,120,2025-W13
