checkpoint_seconds,model,scope,fold,threshold,training_rows,training_selected
15,LOGISTIC,ALL_NO_SYMBOL,1,inf,1236,0
15,LOGISTIC,ALL_NO_SYMBOL,2,0.9185897740949748,1706,35
15,LOGISTIC,ALL_NO_SYMBOL,3,0.9525006884954459,2178,22
15,LOGISTIC,ALL_NO_SYMBOL,4,0.9542842773276808,2636,27
15,LIGHTGBM,ALL_NO_SYMBOL,1,0.6826800780154769,1236,124
15,LIGHTGBM,ALL_NO_SYMBOL,2,0.6622961843830188,1706,171
15,LIGHTGBM,ALL_NO_SYMBOL,3,0.6825051254756681,2178,218
15,LIGHTGBM,ALL_NO_SYMBOL,4,0.702167628771885,2636,264
15,LIGHTGBM,ALL_WITH_SYMBOL,1,0.677539204392702,1236,124
15,LIGHTGBM,ALL_WITH_SYMBOL,2,0.666045657270723,1706,171
15,LIGHTGBM,ALL_WITH_SYMBOL,3,0.6704034216714981,2178,218
15,LIGHTGBM,ALL_WITH_SYMBOL,4,0.6969414816265519,2636,264
15,LIGHTGBM,USDJPY_ONLY,1,0.4473295826897347,584,175
15,LIGHTGBM,USDJPY_ONLY,2,0.5250274262785182,768,154
15,LIGHTGBM,USDJPY_ONLY,3,0.5110963449511984,980,196
15,LIGHTGBM,USDJPY_ONLY,4,0.5251756098537367,1172,235
30,LOGISTIC,ALL_NO_SYMBOL,1,inf,1222,0
30,LOGISTIC,ALL_NO_SYMBOL,2,inf,1694,0
30,LOGISTIC,ALL_NO_SYMBOL,3,inf,2154,0
30,LOGISTIC,ALL_NO_SYMBOL,4,inf,2608,0
30,LIGHTGBM,ALL_NO_SYMBOL,1,0.5058775818042097,1222,245
30,LIGHTGBM,ALL_NO_SYMBOL,2,0.6938941255772635,1694,170
30,LIGHTGBM,ALL_NO_SYMBOL,3,0.7026873991029575,2154,216
30,LIGHTGBM,ALL_NO_SYMBOL,4,0.7090136553806305,2608,261
30,LIGHTGBM,ALL_WITH_SYMBOL,1,0.4916832183644686,1222,245
30,LIGHTGBM,ALL_WITH_SYMBOL,2,0.6847209919088612,1694,170
30,LIGHTGBM,ALL_WITH_SYMBOL,3,0.700692610939474,2154,216
30,LIGHTGBM,ALL_WITH_SYMBOL,4,0.7111012347273701,2608,261
30,LIGHTGBM,USDJPY_ONLY,1,0.4510834742173199,570,171
30,LIGHTGBM,USDJPY_ONLY,2,0.43019899209794926,762,229
30,LIGHTGBM,USDJPY_ONLY,3,0.4329580365032385,946,284
30,LIGHTGBM,USDJPY_ONLY,4,0.5527463255197694,1128,226
60,LOGISTIC,ALL_NO_SYMBOL,1,inf,1190,0
60,LOGISTIC,ALL_NO_SYMBOL,2,inf,1648,0
60,LOGISTIC,ALL_NO_SYMBOL,3,inf,2104,0
60,LOGISTIC,ALL_NO_SYMBOL,4,inf,2544,0
60,LIGHTGBM,ALL_NO_SYMBOL,1,0.5038900294453977,1190,238
60,LIGHTGBM,ALL_NO_SYMBOL,2,0.6576087422211134,1648,165
60,LIGHTGBM,ALL_NO_SYMBOL,3,0.6855156303879557,2104,211
60,LIGHTGBM,ALL_NO_SYMBOL,4,0.6885270985858905,2544,255
60,LIGHTGBM,ALL_WITH_SYMBOL,1,0.5102044069141376,1190,238
60,LIGHTGBM,ALL_WITH_SYMBOL,2,0.6753838333533303,1648,165
60,LIGHTGBM,ALL_WITH_SYMBOL,3,0.6841262853526644,2104,211
60,LIGHTGBM,ALL_WITH_SYMBOL,4,0.688340413130037,2544,255
60,LIGHTGBM,USDJPY_ONLY,1,0.43860212303340584,596,179
60,LIGHTGBM,USDJPY_ONLY,2,0.40817290395829314,786,236
60,LIGHTGBM,USDJPY_ONLY,3,0.5021129073321448,988,198
60,LIGHTGBM,USDJPY_ONLY,4,0.5154797669686124,1172,235
120,LOGISTIC,ALL_NO_SYMBOL,1,inf,1182,0
120,LOGISTIC,ALL_NO_SYMBOL,2,inf,1626,0
120,LOGISTIC,ALL_NO_SYMBOL,3,inf,2072,0
120,LOGISTIC,ALL_NO_SYMBOL,4,inf,2498,0
120,LIGHTGBM,ALL_NO_SYMBOL,1,0.6690852946108355,1182,119
120,LIGHTGBM,ALL_NO_SYMBOL,2,0.6657762756378782,1626,163
120,LIGHTGBM,ALL_NO_SYMBOL,3,0.6885546804056231,2072,208
120,LIGHTGBM,ALL_NO_SYMBOL,4,0.6768587375432478,2498,250
120,LIGHTGBM,ALL_WITH_SYMBOL,1,0.6586815012181909,1182,119
120,LIGHTGBM,ALL_WITH_SYMBOL,2,0.6617311209171628,1626,163
120,LIGHTGBM,ALL_WITH_SYMBOL,3,0.682289221957906,2072,208
120,LIGHTGBM,ALL_WITH_SYMBOL,4,0.6817755052885981,2498,250
120,LIGHTGBM,USDJPY_ONLY,1,0.40971522265110866,576,173
120,LIGHTGBM,USDJPY_ONLY,2,0.4194992405233445,762,229
120,LIGHTGBM,USDJPY_ONLY,3,0.5101287722392546,950,190
120,LIGHTGBM,USDJPY_ONLY,4,0.5110100439239794,1122,225
