checkpoint_seconds,week,episodes,clusters,oracle_expectancy,oracle_total_r,both_sl
15,2025-W09,410,387,0.2965853658536586,121.60000000000001,334
15,2025-W10,459,424,0.1150326797385621,52.800000000000004,426
15,2025-W11,298,281,0.09664429530201342,28.8,280
15,2025-W12,315,295,0.040634920634920635,12.8,307
15,2025-W13,63,63,0.22857142857142856,14.4,54
30,2025-W09,411,389,0.31143552311435524,128.0,331
30,2025-W10,448,412,0.1392857142857143,62.400000000000006,409
30,2025-W11,300,286,0.096,28.8,282
30,2025-W12,300,282,0.03200000000000001,9.600000000000001,294
30,2025-W13,71,70,0.09014084507042254,6.4,67
60,2025-W09,408,389,0.3215686274509804,131.20000000000002,325
60,2025-W10,429,400,0.11561771561771562,49.6,398
60,2025-W11,304,287,0.08947368421052633,27.200000000000003,287
60,2025-W12,276,262,0.03478260869565218,9.600000000000001,270
60,2025-W13,76,75,0.1473684210526316,11.200000000000001,69
120,2025-W09,396,375,0.2747474747474748,108.80000000000001,327
120,2025-W10,425,401,0.17317647058823532,73.60000000000001,379
120,2025-W11,282,268,0.0851063829787234,24.0,267
120,2025-W12,290,277,0.0496551724137931,14.4,281
120,2025-W13,77,76,0.2077922077922078,16.0,67
