checkpoint_seconds,feature,importance_gain
120,num__postshock_return_atr_action,623.8359189033508
120,num__postshock_mfe_to_decision_atr,362.0810375213623
120,num__postshock_mae_to_decision_atr,538.649492263794
120,num__postshock_range_atr,272.40852904319763
120,num__retracement_from_peak_pct,682.8959562778473
120,num__retracement_from_trough_pct,234.55801010131836
120,num__current_location_in_postshock_range,26.62839937210083
120,num__new_extreme_count,102.0777587890625
120,num__origin_recross_count,366.5265120267868
120,num__time_since_last_extreme_ms,713.5350774526596
120,num__distance_from_last_extreme_atr,607.2482604980469
120,num__net_move_over_path_length,587.6766492724419
120,num__shock_direction_tick_ratio,861.6687092781067
120,num__direction_consistency,155.78510212898254
120,num__realized_abs_move_atr,205.49894857406616
120,num__realized_volatility,315.32423973083496
120,num__recent_5s_acceleration_action,847.7005944252014
120,num__recent_10s_acceleration_action,717.1722691059113
120,num__peak_update_interval_ms,706.9152934551239
120,num__extreme_update_rate,516.3192601203918
120,num__path_contraction_ratio,636.5219994783401
120,num__path_expansion_ratio,502.8607587814331
120,num__decision_spread_atr,16323.560754355043
120,num__spread_vs_t0_ratio,208.987595140934
120,num__spread_vs_postshock_mean,244.43373012542725
120,num__spread_contraction_from_t0,220.14748084545135
120,num__tick_count_postshock,534.4603223800659
120,num__tick_rate_recent_5s,70.93691825866699
120,num__tick_rate_recent_10s,231.6454086303711
120,num__tick_activity_vs_t0,157.8011087179184
120,num__activity_decay,643.3363809585571
120,num__activity_acceleration,171.90141010284424
120,num__checkpoint_quote_lag_ms,756.3500126600266
120,num__spread_atr_t0,4298.041049003601
120,num__tick_activity_ratio,0.0
120,num__atr14_m5,3879.130261540413
120,num__pre_return_5m_dir_atr_action,845.5931799411774
120,num__m5_ema20_slope_dir_atr_action,502.94513750076294
120,num__m15_alignment_dir_action,247.58291864395142
120,num__pre_extension_15m_dir_atr_action,802.7925585508347
120,num__day_range_position_dir_action,649.0895566940308
120,num__detection_efficiency,248.22552156448364
120,num__severity,538.3891398906708
120,num__confirmation_retention_action,574.9900743961334
120,num__spread_efficiency_interaction,660.9599442481995
120,num__flow_efficiency_interaction,504.340727686882
120,cat__action_CONTINUATION,24.744199752807617
120,cat__action_REVERSAL,0.0
120,cat__shock_direction_LONG,15.303099632263184
120,cat__shock_direction_SHORT,19.50200080871582
60,num__postshock_return_atr_action,339.2029092311859
60,num__postshock_mfe_to_decision_atr,473.15058583021164
60,num__postshock_mae_to_decision_atr,384.8227367401123
60,num__postshock_range_atr,455.8236391544342
60,num__retracement_from_peak_pct,284.6231007575989
60,num__retracement_from_trough_pct,175.89662790298462
60,num__current_location_in_postshock_range,5.704390048980713
60,num__new_extreme_count,83.45084977149963
60,num__origin_recross_count,155.0163116455078
60,num__time_since_last_extreme_ms,264.51679134368896
60,num__distance_from_last_extreme_atr,230.9720597267151
60,num__net_move_over_path_length,265.87428963184357
60,num__shock_direction_tick_ratio,1116.722267150879
60,num__direction_consistency,255.50957772135735
60,num__realized_abs_move_atr,333.70365953445435
60,num__realized_volatility,474.97919952869415
60,num__recent_5s_acceleration_action,407.5110332965851
60,num__recent_10s_acceleration_action,463.8778305053711
60,num__peak_update_interval_ms,515.8276898860931
60,num__extreme_update_rate,309.1140127182007
60,num__path_contraction_ratio,616.9528130292892
60,num__path_expansion_ratio,472.8466191291809
60,num__decision_spread_atr,15197.094923883677
60,num__spread_vs_t0_ratio,435.02766609191895
60,num__spread_vs_postshock_mean,921.0784854888916
60,num__spread_contraction_from_t0,260.11597526073456
60,num__tick_count_postshock,486.0084800720215
60,num__tick_rate_recent_5s,77.59427905082703
60,num__tick_rate_recent_10s,44.113790968898684
60,num__tick_activity_vs_t0,418.4809515476227
60,num__activity_decay,583.7578303813934
