entry_time,exit_time,month,bucket_type,entry_open_positions_after,exit_reason,sl_mode,tp_mode,r,net_money,holding_seconds,risk_money,risk_percent_of_equity,risk_distance_pips,risk_distance_atr,reward_distance_atr,spread_to_risk,spread_to_reward,spread_atr,atr_ratio,range_position,up_pressure,down_pressure,candidate_score,total_open_risk_percent,free_margin_after_entry,lot
2025.01.02 17:59:00,2025.01.02 18:03:23,202501,EXPANSION_PULLBACK,1,TP,HYBRID,FIXED_R,1.35,1.08,263,0.8,0.8,12.554999999999794,0.9,1.215,0.12743926722414492,0.0943994572030703,0.11469534050173043,1.4029038601406028,0.8092105263158147,0.6445066480056048,0.3554933519943952,8.689999999999998,0.8008008008008007,90.0,0.01
2025.02.03 02:17:00,2025.02.03 02:39:17,202502,EXPANSION_PULLBACK,1,TP,HYBRID,FIXED_R,1.351064,1.27,1337,0.94,0.9299564701226751,14.612142857142931,0.9000000000000001,1.2150000000000003,0.11634159456417925,0.08617895893642906,0.10470743510776133,1.7628696073679322,0.8987043580683028,0.7584869059165852,0.24151309408341481,8.3775,0.9309695949291868,91.08,0.01
2025.02.03 02:25:00,2025.02.03 03:04:10,202502,EXPANSION_PULLBACK,2,TP,HYBRID,FIXED_R,1.338583,1.7,2350,1.27,1.2504923198109492,19.652571428571264,1.2551824817518014,1.694496350364932,0.08141428239120935,0.060306875845340245,0.10218978102184012,1.6702065852009456,0.9221052631578832,0.7863554757630173,0.2136445242369826,7.7275,2.178198304750641,81.56,0.01
2025.02.03 03:02:00,2025.02.03 03:47:00,202502,EXPANSION_PULLBACK,2,TIMEOUT,HYBRID,FIXED_R,-0.033333,-0.03,2700,0.9,0.8742107819329772,14.00142857142902,0.9,1.215,0.12855831037649296,0.09522837805666144,0.11570247933884366,1.5528166189878294,0.9042750929368207,0.6514598540145952,0.3485401459854049,8.515,2.110279101429544,82.95,0.01
2025.02.27 17:23:00,2025.02.27 17:30:39,202502,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.0,-1.22,459,1.22,1.1728513747356277,18.237142857145727,1.2830150753771437,1.732070351759144,0.08224972583431532,0.06092572284023356,0.10552763819106346,1.5305484785847896,0.6922110552764089,0.5659863945578302,0.4340136054421698,8.3675,1.1739799846035412,94.02,0.01
2025.02.27 17:33:00,2025.02.27 17:53:39,202502,EXPANSION_PULLBACK,1,TP,HYBRID,FIXED_R,1.351648,1.23,1239,0.91,0.8852140077821012,13.594285714285093,0.9106220095693776,1.2293397129186598,0.1103404791928429,0.08173368829099473,0.1004784688994347,1.5804448309434151,0.6105527638191246,0.5399853264856974,0.4600146735143026,8.219999999999999,0.8860759493670886,92.8,0.01
2025.02.27 17:54:00,2025.02.27 18:04:59,202502,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.017391,-1.17,659,1.15,1.1054503508603286,17.24399999999946,1.1089389067524305,1.4970675241157814,0.08698677800966613,0.06443465037753046,0.09646302250795552,1.591330647003431,0.8015075376884566,0.5738423028785972,0.4261576971214029,8.875,1.1065139998075626,94.03,0.01
2025.02.27 18:15:00,2025.02.27 18:42:27,202502,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.0,-1.55,1647,1.55,1.5069025860392766,23.17714285714203,1.4518120805369155,1.959946308724836,0.06471893491130867,0.047939951786154573,0.09395973154372027,1.562950725093737,0.8994974874372049,0.5638297872340464,0.4361702127659536,8.5825,1.5083690151810043,92.86,0.01
2025.02.28 10:49:00,2025.02.28 11:02:57,202502,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.0,-0.78,837,0.78,0.7699141249629848,11.847857142856812,0.9,1.215,0.12660517272551688,0.09378160942630881,0.11394465545296521,1.4855415617128287,0.952593917710199,0.7757475083056408,0.2242524916943592,8.514999999999999,0.7706748345025196,91.31,0.01
2025.03.05 03:00:00,2025.03.05 03:26:42,202503,EXPANSION_PULLBACK,1,TP,HYBRID,FIXED_R,1.373832,1.47,1602,1.07,1.0643588978414404,15.9948571428572,1.1687265135700027,1.577780793319504,0.10003215319221936,0.0740978912534958,0.11691022964524296,1.3392396879067823,0.9481081081081052,0.5605345911949675,0.4394654088050325,7.9675,1.065524795857399,90.53,0.01
2025.03.05 03:39:00,2025.03.05 04:10:23,202503,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.03125,-0.99,1883,0.96,0.9411764705882353,14.393142857142038,0.9650574712643607,1.302827586206887,0.10421629347319103,0.07719725442458594,0.10057471264378225,1.4123137798670538,0.6528239202657776,0.5972674040338375,0.4027325959661625,8.467500000000001,0.9421000981354268,92.0,0.01
2025.03.06 17:49:00,2025.03.06 17:53:45,202503,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.058252,-1.09,285,1.03,1.0197010197010197,15.319285714285336,0.9000000000000001,1.215,0.12402667039683078,0.09187160770135613,0.11162400335714771,1.3961902111422626,0.9756592292089238,0.6910928616550822,0.30890713834491773,6.799999999999999,1.0210150674068201,91.01,0.01
2025.03.06 17:59:00,2025.03.06 18:39:35,202503,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.016393,-1.24,2435,1.22,1.22097678142514,18.021142857142536,1.091245674740492,1.4731816608996642,0.0832355645748695,0.06165597375916259,0.09083044982690926,1.3443423653913122,0.7602397602397739,0.5830815709969805,0.4169184290030195,7.5,1.2221999599278703,89.92,0.01
2025.04.03 14:09:00,2025.04.03 14:18:49,202504,DISCOUNT_RECLAIM,1,SL,HYBRID,FIXED_R,-1.0,-0.9,589,0.9,0.9120389136603161,13.197857142857567,0.9,1.215,0.12880878930558806,0.0954139180041393,0.11592791037502925,1.1030814281493113,0.3786246893123414,0.6567164179104397,0.34328358208956034,6.4925,0.9131493506493507,88.68,0.01
2025.04.04 05:29:00,2025.04.04 05:31:18,202504,EXPANSION_PULLBACK,1,SL,HYBRID,FIXED_R,-1.036585,-0.85,138,0.82,0.8386173041521784,12.00214285714305,0.9,1.215,0.13330952806038934,0.09874779856325137,0.11997857525435042,1.3220155958187476,0.7791907514450861,0.5974665728360349,0.4025334271639651,7.300000000000001,0.8395617897000103,87.78,0.01
