exit_reason,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
SL,19,0,19,0.0,-1.0236285789473685,0.0,-19.448943,0.0,-1.0236285789473685,-22.479999999999997
TIMEOUT,14,9,5,64.28571428571429,0.17303514285714286,3.0943746941640886,2.422492,0.3976842222222223,-0.23133320000000004,3.89
TP,25,25,0,100.0,1.3597833599999998,inf,33.994583999999996,1.3597833599999998,0.0,38.669999999999995
