entry_open_positions_after,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
1,50,28,22,56.00000000000001,0.20942912000000002,1.535014732062842,10.471456000000002,1.0729904285714285,-0.8896489090909092,13.080000000000002
2,8,6,2,75.0,0.812084625,7.287108802293162,6.496677,1.2550016666666666,-0.5166665,7.0
