up_pressure,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0.52-0.60,18,9,9,50.0,-0.02964544444444444,0.9420996648599463,-0.5336179999999999,0.9647254444444443,-1.0240163333333332,-1.0799999999999994
0.60-0.65,11,9,2,81.81818181818183,0.5603291818181818,3.9292451597235383,6.163621,0.9186431111111111,-1.0520835000000002,7.809999999999999
0.65-0.75,21,11,10,52.38095238095239,0.36391395238095237,2.221559029286306,7.642193,1.2634810000000003,-0.6256098000000001,9.06
0.75-1.0,8,5,3,62.5,0.46199212500000003,2.220104535954578,3.6959370000000002,1.3450268,-1.0097323333333332,4.29
