month,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
202501,1,1,0,100.0,1.35,inf,1.35,1.35,0.0,1.08
202502,8,3,5,37.5,-0.0011786249999999887,0.9976722679698741,-0.00942899999999991,1.3470983333333333,-0.8101448,-0.5499999999999998
202503,4,1,3,25.0,-0.43301575000000003,0.44233047157099636,-1.7320630000000001,1.373832,-1.0352983333333334,-1.85
202504,18,10,8,55.55555555555556,0.08871800000000002,1.2069432304507417,1.5969240000000005,0.9313648999999999,-0.964590625,2.830000000000002
202505,11,8,3,72.72727272727273,0.757307909090909,6.521236885186143,8.330386999999998,1.2298971250000001,-0.50293,9.450000000000001
202506,4,3,1,75.0,0.9780952500000001,33.449849461295386,3.9123810000000003,1.344316,-0.120567,4.47
202507,5,3,2,60.0,-0.025288600000000015,0.9392381108902194,-0.12644300000000008,0.6515053333333333,-1.0404795,-0.13000000000000012
202508,3,3,0,100.0,0.9830393333333333,inf,2.949118,0.9830393333333333,0.0,3.63
202509,2,1,1,50.0,0.17916100000000001,1.3540563293440628,0.35832200000000003,1.37037,-1.012048,1.0100000000000002
202510,2,1,1,50.0,0.16946800000000006,1.3356130947488913,0.3389360000000001,1.348837,-1.009901,0.1399999999999999
