event,reason,bucket_type,count
entry_blocked,averaging_down_blocked,EXPANSION_PULLBACK,22
entry_blocked,same_quality_bar_entry_blocked,EXPANSION_PULLBACK,19
entry_blocked,additional_entry_loss_streak_throttle,EXPANSION_PULLBACK,18
entry_blocked,additional_entry_open_profit_r_too_low,EXPANSION_PULLBACK,13
entry_blocked,max_open_positions,EXPANSION_PULLBACK,10
entry_blocked,additional_entry_atr_ratio_too_low,EXPANSION_PULLBACK,8
entry_blocked,additional_entry_not_expansion_pullback,DISCOUNT_RECLAIM,5
entry_blocked,additional_entry_wide_risk_needs_pressure,EXPANSION_PULLBACK,3
entry_blocked,cooldown_bars_blocked,EXPANSION_PULLBACK,2
entry_blocked,additional_entry_extended_range_needs_pressure,EXPANSION_PULLBACK,2
