spread_to_risk,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0.04-0.06,2,1,1,50.0,-0.13488099999999997,0.7330925749113234,-0.26976199999999995,0.740933,-1.010695,-0.45999999999999996
0.06-0.08,14,9,5,64.28571428571429,0.3060205,2.171643264541733,4.284287,0.882326111111111,-0.7313296,6.43
0.08-0.10,11,6,5,54.54545454545454,0.13436427272727278,1.2913545002623756,1.4780070000000005,1.0918148333333335,-1.0145764,3.1300000000000003
0.10+,31,18,13,58.06451612903226,0.37018067741935484,2.0561615677826017,11.475601,1.2411658333333333,-0.8357987692307692,10.98
