range_position,trades,wins,losses,winrate,expectancy_r,pf,total_r,avg_win_r,avg_loss_r,net_money
0.25-0.45,4,3,1,75.0,0.6205417500000001,3.4821670000000005,2.4821670000000005,1.1607223333333334,-1.0,4.08
0.55-0.75,8,6,2,75.0,0.632915625,3.4927138461538463,5.063325,1.1824291666666666,-1.015625,5.05
0.75-0.92,33,17,16,51.515151515151516,0.1243149696969697,1.2951030545915556,4.102394,1.0590563529411767,-0.86884775,4.600000000000001
0.92-1.0,13,8,5,61.53846153846154,0.4092497692307692,2.4485553917384446,5.320247,1.12413025,-0.734559,6.35
