session,morphology,max_ema13_distance_pips,max_adx,min_upper_wick_share,max_upper_wick_share,min_lower_wick_share,max_lower_wick_share,min_close_location,max_close_location,max_ret1,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
ny,bear_dip,18.0,18.0,0.45,1.0,0.0,0.1,0.0,0.45,0.0,38,0.149551100725618,-0.16736842105263153,0.42105263157894735,11,0.1508786969567081,0.8824242424242622,0.9090909090909091,0.5054891675135536
ny,bear_dip,18.0,18.0,0.45,1.0,0.0,0.1,0.0,0.4,0.0,38,0.149551100725618,-0.16736842105263153,0.42105263157894735,11,0.1508786969567081,0.8824242424242622,0.9090909090909091,0.5054891675135536
ny,bear_dip,18.0,18.0,0.45,1.0,0.0,0.1,0.0,0.35,0.0,38,0.149551100725618,-0.16736842105263153,0.42105263157894735,11,0.1508786969567081,0.8824242424242622,0.9090909090909091,0.5054891675135536
ny,bear_dip,22.0,18.0,0.45,1.0,0.0,0.1,0.0,0.45,0.0,38,0.149551100725618,-0.16736842105263153,0.42105263157894735,11,0.1508786969567081,0.8824242424242622,0.9090909090909091,0.5054891675135536
ny,bear_dip,22.0,18.0,0.45,1.0,0.0,0.1,0.0,0.4,0.0,38,0.149551100725618,-0.16736842105263153,0.42105263157894735,11,0.1508786969567081,0.8824242424242622,0.9090909090909091,0.5054891675135536
ny,bear_dip,22.0,18.0,0.45,1.0,0.0,0.1,0.0,0.35,0.0,38,0.149551100725618,-0.16736842105263153,0.42105263157894735,11,0.1508786969567081,0.8824242424242622,0.9090909090909091,0.5054891675135536
ny,bear_dip,15.0,18.0,0.45,1.0,0.0,0.1,0.0,0.45,0.0,37,0.1456155454433649,-0.20144144144144133,0.40540540540540543,10,0.13716245177882555,0.8640000000000218,0.9,0.48621447233775694
ny,bear_dip,15.0,18.0,0.45,1.0,0.0,0.1,0.0,0.4,0.0,37,0.1456155454433649,-0.20144144144144133,0.40540540540540543,10,0.13716245177882555,0.8640000000000218,0.9,0.48621447233775694
ny,bear_dip,15.0,18.0,0.45,1.0,0.0,0.1,0.0,0.35,0.0,37,0.1456155454433649,-0.20144144144144133,0.40540540540540543,10,0.13716245177882555,0.8640000000000218,0.9,0.48621447233775694
ny,bear_dip,10.0,18.0,0.45,1.0,0.0,0.15,0.0,0.45,0.0,44,0.17316443241913665,-0.17333333333333403,0.4090909090909091,13,0.17869415807560138,0.7369230769231041,0.8461538461538461,0.43665153450248745
ny,bear_dip,10.0,18.0,0.45,1.0,0.0,0.15,0.0,0.4,0.0,44,0.17316443241913665,-0.17333333333333403,0.4090909090909091,13,0.17869415807560138,0.7369230769231041,0.8461538461538461,0.43665153450248745
ny,bear_dip,10.0,18.0,0.45,1.0,0.0,0.15,0.0,0.35,0.0,44,0.17316443241913665,-0.17333333333333403,0.4090909090909091,13,0.17869415807560138,0.7369230769231041,0.8461538461538461,0.43665153450248745
ny,bear_dip,18.0,18.0,0.45,1.0,0.0,0.15,0.0,0.45,0.0,50,0.19677776411265527,-0.08693333333333615,0.46,17,0.2123064914791206,0.6619607843137443,0.8235294117647058,0.42520418027351936
ny,bear_dip,18.0,18.0,0.45,1.0,0.0,0.15,0.0,0.4,0.0,50,0.19677776411265527,-0.08693333333333615,0.46,17,0.2123064914791206,0.6619607843137443,0.8235294117647058,0.42520418027351936
