run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpUseM15Wave1Quality,InpM15Wave1QualityMode,InpM15Wave1QualityCombineMode,InpUseM15SwingAnchorBias,InpM15SwingAnchorMode,InpM15AnchorBreakUseClose,InpM15AnchorBreakMinAtr,InpM15AnchorLookbackBars,InpM15AnchorMinSwingStrength,InpM15RequirePullbackAfterBiasFlip,InpM15BiasFlipMaxAgeBars,InpM15AnchorFlipRequireHighMediumM5Pattern,InpM15AnchorFlipRequireCorrectiveExhaustion,InpM15AnchorRangeMode,InpUseTruePostAnchorBreakPullback,InpPostAnchorPullbackMode,InpPostAnchorPullbackTF,InpPostAnchorPullbackMaxBars,InpPostAnchorPullbackMinBars,InpPostAnchorRetestMaxDistanceAtr,InpPostAnchorAllowCloseBackInsideAtr,InpPostAnchorRequireM5Reconfirm,InpExitMode,InpMaxHoldBars,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution,daily_or_dd_stopped,passed_2025_gate
q1_base,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_base.ini,fx_session_reversal_m15_anchor_first_break_q1_base,16385,15,5,0,false,0,0,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,USDJPY:61|GBPJPY:14|EURJPY:11|EURUSD:11|GBPUSD:6|AUDJPY:4,SHORT:65|LONG:42,london_newyork_overlap:38|new_york:27|london:21|tokyo:21,False,False
q1_light,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_light.ini,fx_session_reversal_m15_anchor_first_break_q1_light,16385,15,5,0,true,2,3,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0,USDJPY:11|GBPJPY:4|EURJPY:2|EURUSD:1,SHORT:12|LONG:6,london:6|new_york:6|london_newyork_overlap:5|tokyo:1,False,False
q1_anchor_diag_first_break,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_diag_first_break,anchor_diag_first_break,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_diag_first_break.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_diag_first_break.ini,fx_session_reversal_m15_anchor_first_break_q1_anchor_diag_first_break,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,1,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,USDJPY:61|GBPJPY:14|EURJPY:11|EURUSD:11|GBPUSD:6|AUDJPY:4,SHORT:65|LONG:42,london_newyork_overlap:38|new_york:27|london:21|tokyo:21,False,False
q1_anchor_flip_first_break,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_flip_first_break,anchor_flip_first_break_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_flip_first_break.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_flip_first_break.ini,fx_session_reversal_m15_anchor_first_break_q1_anchor_flip_first_break,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30,35,11,0.3142857142857143,-47.15000000000001,236.47000000000003,-283.61999999999995,0.8337564346661028,-2.0209000000000006,-0.057740000000000014,0.8304514526859801,80.33,0.8033,-0.5869538155110172,2,0.05714285714285714,7,0.2,26,0.7428571428571429,0.5838828571428571,0.5136571428571428,0.4857142857142857,0.2571428571428571,0.22857142857142856,0.2,0.0,USDJPY:24|GBPJPY:4|EURJPY:3|EURUSD:3|AUDJPY:1,SHORT:26|LONG:9,london_newyork_overlap:14|london:10|tokyo:8|new_york:3,False,False
q1_anchor_flip_first_break_fresh,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_flip_first_break_fresh,anchor_flip_first_break_fresh_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_flip_first_break_fresh.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_flip_first_break_fresh.ini,fx_session_reversal_m15_anchor_first_break_q1_anchor_flip_first_break_fresh,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,12,false,false,0,false,0,5,24,1,0.25,0.10,true,1,30,35,11,0.3142857142857143,-47.15000000000001,236.47000000000003,-283.61999999999995,0.8337564346661028,-2.0209000000000006,-0.057740000000000014,0.8304514526859801,80.33,0.8033,-0.5869538155110172,2,0.05714285714285714,7,0.2,26,0.7428571428571429,0.5838828571428571,0.5136571428571428,0.4857142857142857,0.2571428571428571,0.22857142857142856,0.2,0.0,USDJPY:24|GBPJPY:4|EURJPY:3|EURUSD:3|AUDJPY:1,SHORT:26|LONG:9,london_newyork_overlap:14|london:10|tokyo:8|new_york:3,False,False
q1_anchor_pullback_diag,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_pullback_diag,anchor_flip_true_pullback_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_pullback_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_pullback_diag.ini,fx_session_reversal_m15_anchor_first_break_q1_anchor_pullback_diag,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,1,true,0.05,96,2,false,24,false,false,0,true,1,5,24,1,0.25,0.10,false,1,30,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,USDJPY:61|GBPJPY:14|EURJPY:11|EURUSD:11|GBPUSD:6|AUDJPY:4,SHORT:65|LONG:42,london_newyork_overlap:38|new_york:27|london:21|tokyo:21,False,False
q1_anchor_pullback_required,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_pullback_required,anchor_flip_true_pullback_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_pullback_required.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_pullback_required.ini,fx_session_reversal_m15_anchor_first_break_q1_anchor_pullback_required,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30,21,4,0.19047619047619047,-99.4,77.21000000000001,-176.60999999999996,0.4371779627427667,-4.2818,-0.20389523809523807,0.42351293857877587,112.27000000000001,1.1227,-0.8853656364122205,0,0.0,2,0.09523809523809523,19,0.9047619047619048,0.4792333333333333,0.4888714285714286,0.3333333333333333,0.19047619047619047,0.14285714285714285,0.09523809523809523,0.0,USDJPY:14|EURJPY:2|EURUSD:2|GBPJPY:2|AUDJPY:1,SHORT:15|LONG:6,london:8|tokyo:7|london_newyork_overlap:6,False,False
q1_anchor_pullback_m5_reconfirm,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_pullback_m5_reconfirm,anchor_flip_true_pullback_m5_reconfirm,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_pullback_m5_reconfirm.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_anchor_pullback_m5_reconfirm.ini,fx_session_reversal_m15_anchor_first_break_q1_anchor_pullback_m5_reconfirm,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,true,1,30,19,3,0.15789473684210525,-105.72000000000001,64.34,-170.06,0.37833705750911445,-4.5874,-0.24144210526315787,0.36321488062187673,105.72000000000001,1.0572000000000001,-1.0,0,0.0,2,0.10526315789473684,17,0.8947368421052632,0.4149263157894737,0.5249789473684211,0.3157894736842105,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.0,USDJPY:13|EURJPY:2|EURUSD:2|GBPJPY:2,SHORT:13|LONG:6,london:8|london_newyork_overlap:6|tokyo:5,False,False
q1_light_or_anchor_pullback,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_pullback,required_light_OR_anchor_true_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_light_or_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_light_or_anchor_pullback.ini,fx_session_reversal_m15_anchor_first_break_q1_light_or_anchor_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,false,0,true,3,5,24,1,0.25,0.10,false,1,30,32,7,0.21875,-146.97999999999996,153.4,-300.37999999999994,0.5106864638125043,-6.3412,-0.1981625,0.49526402088606586,206.50999999999996,2.0650999999999997,-0.7117330879860538,2,0.0625,4,0.125,26,0.8125,0.5486812499999999,0.5489875,0.4375,0.28125,0.15625,0.09375,0.0,USDJPY:20|GBPJPY:6|EURJPY:3|EURUSD:2|AUDJPY:1,SHORT:21|LONG:11,london:9|london_newyork_overlap:9|tokyo:8|new_york:6,False,False
q1_light_or_anchor_pullback_m5pattern,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_pullback_m5pattern,required_light_OR_anchor_true_pullback_m5pattern,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_light_or_anchor_pullback_m5pattern.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_first_q1_light_or_anchor_pullback_m5pattern.ini,fx_session_reversal_m15_anchor_first_break_q1_light_or_anchor_pullback_m5pattern,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,true,false,0,true,3,5,24,1,0.25,0.10,false,1,30,32,7,0.21875,-146.97999999999996,153.4,-300.37999999999994,0.5106864638125043,-6.3412,-0.1981625,0.49526402088606586,206.50999999999996,2.0650999999999997,-0.7117330879860538,2,0.0625,4,0.125,26,0.8125,0.5486812499999999,0.5489875,0.4375,0.28125,0.15625,0.09375,0.0,USDJPY:20|GBPJPY:6|EURJPY:3|EURUSD:2|AUDJPY:1,SHORT:21|LONG:11,london:9|london_newyork_overlap:9|tokyo:8|new_york:6,False,False
