period_id,variant,anchor_flip_entry_bucket,m15_bias_flip_direction,m15_bias_flip_age_bucket2,anchor_flip_pullback_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_flip_first_break,anchor_flip_entry_direction,LONG,fresh_0_4,true_post_anchor_pullback,42,14,0.3333333333333333,-13.779999999999989,286.66,-300.4399999999999,0.954133936892558,-0.6131000000000004,-0.014597619047619057,0.9518192534381141,76.82,0.7682,-0.1793803696953917,0,0.0,8,0.19047619047619047,34,0.8095238095238095,0.5768928571428572,0.5170119047619048,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.023809523809523808,USDJPY:25|EURUSD:8|GBPUSD:5|EURJPY:2|AUDJPY:1|GBPJPY:1,LONG:42,london_newyork_overlap:18|tokyo:10|london:9|new_york:5
full2025_validation,anchor_flip_first_break,anchor_flip_entry_direction,LONG,normal_5_12,true_post_anchor_pullback,3,0,0.0,-28.96,0,-28.96,0.0,-1.2234,-0.4078,0.0,28.96,0.2896,-1.0,0,0.0,0,0.0,3,1.0,0.3077666666666667,0.5493,0.0,0.0,0.0,0.0,0.0,USDJPY:2|EURJPY:1,LONG:3,london:2|london_newyork_overlap:1
full2025_validation,anchor_flip_first_break,anchor_flip_entry_direction,SHORT,fresh_0_4,true_post_anchor_pullback,66,16,0.24242424242424243,-249.44000000000005,393.38,-642.8199999999999,0.6119598021219004,-10.611299999999998,-0.1607772727272727,0.6100277834945462,318.72,3.1872000000000003,-0.7826305220883535,7,0.10606060606060606,11,0.16666666666666666,48,0.7272727272727273,0.5993772727272726,0.5537924242424241,0.5151515151515151,0.30303030303030304,0.21212121212121213,0.13636363636363635,0.0,USDJPY:38|EURUSD:9|GBPJPY:8|EURJPY:5|AUDJPY:4|GBPUSD:2,SHORT:66,london_newyork_overlap:28|london:18|tokyo:11|new_york:9
full2025_validation,anchor_flip_first_break,anchor_flip_entry_direction,SHORT,normal_5_12,true_post_anchor_pullback,11,5,0.45454545454545453,42.269999999999996,126.86,-84.59,1.499704456791583,1.8463999999999996,0.16785454545454542,1.5212432600287948,33.949999999999996,0.33949999999999997,1.2450662739322533,1,0.09090909090909091,4,0.36363636363636365,6,0.5454545454545454,0.8420363636363638,0.49632727272727273,0.7272727272727273,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,USDJPY:7|EURJPY:2|EURUSD:1|GBPJPY:1,SHORT:11,london_newyork_overlap:6|london:4|tokyo:1
full2025_validation,anchor_flip_first_break_fresh,anchor_flip_entry_direction,LONG,fresh_0_4,true_post_anchor_pullback,42,14,0.3333333333333333,-13.779999999999989,286.66,-300.4399999999999,0.954133936892558,-0.6131000000000004,-0.014597619047619057,0.9518192534381141,76.82,0.7682,-0.1793803696953917,0,0.0,8,0.19047619047619047,34,0.8095238095238095,0.5768928571428572,0.5170119047619048,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.023809523809523808,USDJPY:25|EURUSD:8|GBPUSD:5|EURJPY:2|AUDJPY:1|GBPJPY:1,LONG:42,london_newyork_overlap:18|tokyo:10|london:9|new_york:5
full2025_validation,anchor_flip_first_break_fresh,anchor_flip_entry_direction,LONG,normal_5_12,true_post_anchor_pullback,3,0,0.0,-28.96,0,-28.96,0.0,-1.2234,-0.4078,0.0,28.96,0.2896,-1.0,0,0.0,0,0.0,3,1.0,0.3077666666666667,0.5493,0.0,0.0,0.0,0.0,0.0,USDJPY:2|EURJPY:1,LONG:3,london:2|london_newyork_overlap:1
full2025_validation,anchor_flip_first_break_fresh,anchor_flip_entry_direction,SHORT,fresh_0_4,true_post_anchor_pullback,66,16,0.24242424242424243,-249.44000000000005,393.38,-642.8199999999999,0.6119598021219004,-10.611299999999998,-0.1607772727272727,0.6100277834945462,318.72,3.1872000000000003,-0.7826305220883535,7,0.10606060606060606,11,0.16666666666666666,48,0.7272727272727273,0.5993772727272726,0.5537924242424241,0.5151515151515151,0.30303030303030304,0.21212121212121213,0.13636363636363635,0.0,USDJPY:38|EURUSD:9|GBPJPY:8|EURJPY:5|AUDJPY:4|GBPUSD:2,SHORT:66,london_newyork_overlap:28|london:18|tokyo:11|new_york:9
full2025_validation,anchor_flip_first_break_fresh,anchor_flip_entry_direction,SHORT,normal_5_12,true_post_anchor_pullback,11,5,0.45454545454545453,42.269999999999996,126.86,-84.59,1.499704456791583,1.8463999999999996,0.16785454545454542,1.5212432600287948,33.949999999999996,0.33949999999999997,1.2450662739322533,1,0.09090909090909091,4,0.36363636363636365,6,0.5454545454545454,0.8420363636363638,0.49632727272727273,0.7272727272727273,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,USDJPY:7|EURJPY:2|EURUSD:1|GBPJPY:1,SHORT:11,london_newyork_overlap:6|london:4|tokyo:1
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,LONG,fresh_0_4,flip_without_true_pullback,6,3,0.5,33.56,60.65,-27.09,2.238833517903285,1.5451,0.25751666666666667,2.23430260424988,18.48,0.1848,1.816017316017316,0,0.0,2,0.3333333333333333,4,0.6666666666666666,0.6421333333333333,0.6383,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,USDJPY:3|GBPUSD:2|EURUSD:1,LONG:6,london_newyork_overlap:2|new_york:2|london:1|tokyo:1
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,LONG,fresh_0_4,true_post_anchor_pullback,9,1,0.1111111111111111,-72.13,7.36,-79.49,0.09259026292615424,-3.2141,-0.35712222222222223,0.09303572436367741,72.13,0.7212999999999999,-1.0,0,0.0,0,0.0,9,1.0,0.32732222222222224,0.5682111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,EURUSD:5|USDJPY:4,LONG:9,london_newyork_overlap:5|tokyo:2|london:1|new_york:1
full2025_validation,anchor_pullback_diag,anchor_flip_entry_direction,LONG,normal_5_12,flip_without_true_pullback,2,0,0.0,-20.82,0,-20.82,0.0,-0.9559,-0.47795,0.0,20.82,0.2082,-1.0,0,0.0,0,0.0,2,1.0,0.21415,0.6084,0.0,0.0,0.0,0.0,0.0,USDJPY:2,LONG:2,london:1|london_newyork_overlap:1
