period_id,variant,m15_wave1_quality_bucket,m15_wave1_quality_high,anchor_aligned_bucket,anchor_flip_entry_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_diag_first_break,none,false,anchor_aligned,anchor_flip_entry_direction,56,14,0.25,-216.40000000000003,300.68,-517.0799999999999,0.5814960934478225,-9.683800000000002,-0.17292500000000002,0.580340969170632,243.99000000000004,2.4399000000000006,-0.8869215951473421,5,0.08928571428571429,9,0.16071428571428573,42,0.75,0.5588714285714288,0.5993749999999997,0.48214285714285715,0.26785714285714285,0.19642857142857142,0.14285714285714285,0.017857142857142856,USDJPY:35|EURUSD:9|AUDJPY:4|EURJPY:3|GBPUSD:3|GBPJPY:2,SHORT:39|LONG:17,london_newyork_overlap:23|london:16|new_york:9|tokyo:8
full2025_validation,anchor_diag_first_break,none,false,anchor_aligned,no_anchor_flip_entry,161,38,0.2360248447204969,-480.83,922.7199999999996,-1403.5500000000006,0.6574186883260298,-21.286100000000005,-0.13221180124223605,0.6581106388993291,538.14,5.3814,-0.8935035492622737,17,0.10559006211180125,29,0.18012422360248448,115,0.7142857142857143,0.6433304347826084,0.5662180124223604,0.5403726708074534,0.35403726708074534,0.2857142857142857,0.14906832298136646,0.0,USDJPY:93|EURUSD:20|GBPUSD:18|EURJPY:13|GBPJPY:11|AUDJPY:6,SHORT:98|LONG:63,london_newyork_overlap:63|new_york:47|london:29|tokyo:22
full2025_validation,anchor_diag_first_break,none,false,anchor_not_aligned,no_anchor_flip_entry,101,25,0.24752475247524752,-447.66000000000014,424.03,-871.6899999999998,0.48644586951783325,-19.3508,-0.1915920792079208,0.49754886687023525,453.29000000000013,4.5329000000000015,-0.9875796951179157,11,0.10891089108910891,11,0.10891089108910891,79,0.7821782178217822,0.5445287128712871,0.5593752475247524,0.43564356435643564,0.2871287128712871,0.2079207920792079,0.07920792079207921,0.0,USDJPY:56|EURUSD:15|EURJPY:11|GBPJPY:10|AUDJPY:5|GBPUSD:4,LONG:55|SHORT:46,london_newyork_overlap:44|london:27|new_york:20|tokyo:10
full2025_validation,anchor_flip_first_break,none,false,anchor_aligned,anchor_flip_entry_direction,122,35,0.28688524590163933,-249.90999999999997,806.8999999999999,-1056.8099999999997,0.7635241907249175,-10.601399999999998,-0.0868967213114754,0.762838050965189,275.59999999999997,2.756,-0.9067851959361394,8,0.06557377049180328,23,0.1885245901639344,91,0.7459016393442623,0.6063450819672132,0.5358385245901638,0.5081967213114754,0.3114754098360656,0.23770491803278687,0.1721311475409836,0.00819672131147541,USDJPY:72|EURUSD:18|EURJPY:10|GBPJPY:10|GBPUSD:7|AUDJPY:5,SHORT:77|LONG:45,london_newyork_overlap:53|london:33|tokyo:22|new_york:14
full2025_validation,anchor_flip_first_break_fresh,none,false,anchor_aligned,anchor_flip_entry_direction,122,35,0.28688524590163933,-249.90999999999997,806.8999999999999,-1056.8099999999997,0.7635241907249175,-10.601399999999998,-0.0868967213114754,0.762838050965189,275.59999999999997,2.756,-0.9067851959361394,8,0.06557377049180328,23,0.1885245901639344,91,0.7459016393442623,0.6063450819672132,0.5358385245901638,0.5081967213114754,0.3114754098360656,0.23770491803278687,0.1721311475409836,0.00819672131147541,USDJPY:72|EURUSD:18|EURJPY:10|GBPJPY:10|GBPUSD:7|AUDJPY:5,SHORT:77|LONG:45,london_newyork_overlap:53|london:33|tokyo:22|new_york:14
full2025_validation,anchor_pullback_diag,none,false,anchor_aligned,anchor_flip_entry_direction,56,14,0.25,-216.40000000000003,300.68,-517.0799999999999,0.5814960934478225,-9.683800000000002,-0.17292500000000002,0.580340969170632,243.99000000000004,2.4399000000000006,-0.8869215951473421,5,0.08928571428571429,9,0.16071428571428573,42,0.75,0.5588714285714288,0.5993749999999997,0.48214285714285715,0.26785714285714285,0.19642857142857142,0.14285714285714285,0.017857142857142856,USDJPY:35|EURUSD:9|AUDJPY:4|EURJPY:3|GBPUSD:3|GBPJPY:2,SHORT:39|LONG:17,london_newyork_overlap:23|london:16|new_york:9|tokyo:8
full2025_validation,anchor_pullback_diag,none,false,anchor_aligned,no_anchor_flip_entry,161,38,0.2360248447204969,-480.83,922.7199999999996,-1403.5500000000006,0.6574186883260298,-21.286100000000005,-0.13221180124223605,0.6581106388993291,538.14,5.3814,-0.8935035492622737,17,0.10559006211180125,29,0.18012422360248448,115,0.7142857142857143,0.6433304347826084,0.5662180124223604,0.5403726708074534,0.35403726708074534,0.2857142857142857,0.14906832298136646,0.0,USDJPY:93|EURUSD:20|GBPUSD:18|EURJPY:13|GBPJPY:11|AUDJPY:6,SHORT:98|LONG:63,london_newyork_overlap:63|new_york:47|london:29|tokyo:22
full2025_validation,anchor_pullback_diag,none,false,anchor_not_aligned,no_anchor_flip_entry,101,25,0.24752475247524752,-447.66000000000014,424.03,-871.6899999999998,0.48644586951783325,-19.3508,-0.1915920792079208,0.49754886687023525,453.29000000000013,4.5329000000000015,-0.9875796951179157,11,0.10891089108910891,11,0.10891089108910891,79,0.7821782178217822,0.5445287128712871,0.5593752475247524,0.43564356435643564,0.2871287128712871,0.2079207920792079,0.07920792079207921,0.0,USDJPY:56|EURUSD:15|EURJPY:11|GBPJPY:10|AUDJPY:5|GBPUSD:4,LONG:55|SHORT:46,london_newyork_overlap:44|london:27|new_york:20|tokyo:10
full2025_validation,anchor_pullback_m5_reconfirm,none,false,anchor_aligned,anchor_flip_entry_direction,64,17,0.265625,-132.02,396.77000000000004,-528.7900000000001,0.7503356720059002,-6.016800000000004,-0.09401250000000007,0.7314264288392524,133.26,1.3326,-0.990694882185202,2,0.03125,10,0.15625,52,0.8125,0.5259671875000003,0.49981250000000005,0.421875,0.28125,0.1875,0.15625,0.0,USDJPY:36|EURUSD:13|EURJPY:7|GBPJPY:4|GBPUSD:3|AUDJPY:1,SHORT:36|LONG:28,london_newyork_overlap:33|london:18|tokyo:12|new_york:1
full2025_validation,anchor_pullback_required,none,false,anchor_aligned,anchor_flip_entry_direction,73,21,0.2876712328767123,-55.75000000000001,481.07000000000005,-536.82,0.8961476845124996,-2.6655,-0.03651369863013699,0.8816842516434593,112.27000000000001,1.1227,-0.4965707669012203,1,0.0136986301369863,12,0.1643835616438356,60,0.821917808219178,0.577105479452055,0.4670780821917808,0.4657534246575342,0.2876712328767123,0.2054794520547945,0.1643835616438356,0.0,USDJPY:41|EURUSD:15|EURJPY:7|GBPJPY:5|GBPUSD:3|AUDJPY:2,SHORT:42|LONG:31,london_newyork_overlap:35|london:19|tokyo:15|new_york:4
