run_id,period_id,variant,entry_time,symbol,direction,old_latest_break_time,first_break_time,break_time_diff_bars,break_time_diff_bucket,old_flip_age,first_break_flip_age,old_gate_pass,first_break_gate_pass,trade_taken_old_only,trade_taken_new_only,trade_taken_both,trade_rejected_both,result_r,mfe_r
q1_base,q1_quick,base,2025.01.06 16:05:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-0.7889,0.2463
q1_base,q1_quick,base,2025.01.06 16:25:01,EURJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-0.4871,0.6199
q1_base,q1_quick,base,2025.01.06 16:20:00,GBPUSD,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0000,0.2456
q1_base,q1_quick,base,2025.01.06 16:20:00,EURUSD,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0056,0.1831
q1_base,q1_quick,base,2025.01.07 03:15:00,USDJPY,LONG,,,,missing,-1,-1,false,false,false,false,false,true,-0.3027,0.4592
q1_base,q1_quick,base,2025.01.07 19:05:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,0.0766,1.2153
q1_base,q1_quick,base,2025.01.08 16:05:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0564,0.2051
q1_base,q1_quick,base,2025.01.10 16:35:00,GBPJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,1.3072,1.3072
q1_base,q1_quick,base,2025.01.10 17:05:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,1.3029,1.3029
q1_base,q1_quick,base,2025.01.10 19:15:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-0.5654,0.0654
q1_base,q1_quick,base,2025.01.13 10:05:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0357,0.0655
q1_base,q1_quick,base,2025.01.14 16:10:01,EURUSD,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0000,0.5963
q1_base,q1_quick,base,2025.01.14 16:05:00,GBPUSD,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-0.6117,0.0241
q1_base,q1_quick,base,2025.01.15 10:05:00,GBPUSD,LONG,,,,missing,-1,-1,false,false,false,false,false,true,-0.1674,0.0928
q1_base,q1_quick,base,2025.01.15 16:15:00,EURJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,1.2990,1.2990
q1_base,q1_quick,base,2025.01.16 19:35:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-0.5705,0.9597
q1_base,q1_quick,base,2025.01.21 03:05:00,GBPJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0055,0.5246
q1_base,q1_quick,base,2025.01.21 03:05:00,EURJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,-1.0200,0.4867
q1_base,q1_quick,base,2025.01.23 19:05:00,EURUSD,LONG,,,,missing,-1,-1,false,false,false,false,false,true,0.1296,0.6185
q1_base,q1_quick,base,2025.01.23 19:05:00,USDJPY,SHORT,,,,missing,-1,-1,false,false,false,false,false,true,0.0840,0.5574
