period_id,variant,m5_pattern_quality_group,anchor_aligned_bucket,anchor_flip_entry_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_diag_first_break,high_quality,anchor_aligned,anchor_flip_entry_direction,55,13,0.23636363636363636,-248.19000000000005,268.89000000000004,-517.0799999999999,0.5200162450684616,-10.986699999999999,-0.1997581818181818,0.5238782426306804,248.19000000000005,2.4819000000000004,-1.0,5,0.09090909090909091,8,0.14545454545454545,42,0.7636363636363637,0.5453436363636366,0.5953109090909089,0.4727272727272727,0.2545454545454545,0.18181818181818182,0.12727272727272726,0.01818181818181818,USDJPY:34|EURUSD:9|AUDJPY:4|EURJPY:3|GBPUSD:3|GBPJPY:2,SHORT:38|LONG:17,london_newyork_overlap:22|london:16|new_york:9|tokyo:8
full2025_validation,anchor_diag_first_break,high_quality,anchor_aligned,no_anchor_flip_entry,159,38,0.2389937106918239,-452.1599999999999,922.7199999999996,-1374.8800000000006,0.6711276620505057,-20.04660000000001,-0.12607924528301892,0.6714786949346698,509.4699999999999,5.0947,-0.8875105501795983,16,0.10062893081761007,29,0.18238993710691823,114,0.7169811320754716,0.6444364779874211,0.5651320754716983,0.5408805031446541,0.3522012578616352,0.2830188679245283,0.1509433962264151,0.0,USDJPY:92|EURUSD:20|GBPUSD:17|EURJPY:13|GBPJPY:11|AUDJPY:6,SHORT:98|LONG:61,london_newyork_overlap:62|new_york:47|london:28|tokyo:22
full2025_validation,anchor_diag_first_break,high_quality,anchor_not_aligned,no_anchor_flip_entry,101,25,0.24752475247524752,-447.66000000000014,424.03,-871.6899999999998,0.48644586951783325,-19.3508,-0.1915920792079208,0.49754886687023525,453.29000000000013,4.5329000000000015,-0.9875796951179157,11,0.10891089108910891,11,0.10891089108910891,79,0.7821782178217822,0.5445287128712871,0.5593752475247524,0.43564356435643564,0.2871287128712871,0.2079207920792079,0.07920792079207921,0.0,USDJPY:56|EURUSD:15|EURJPY:11|GBPJPY:10|AUDJPY:5|GBPUSD:4,LONG:55|SHORT:46,london_newyork_overlap:44|london:27|new_york:20|tokyo:10
full2025_validation,anchor_diag_first_break,low_quality,anchor_aligned,anchor_flip_entry_direction,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
full2025_validation,anchor_diag_first_break,low_quality,anchor_aligned,no_anchor_flip_entry,2,0,0.0,-28.669999999999998,0,-28.669999999999998,0.0,-1.2395,-0.61975,0.0,28.669999999999998,0.28669999999999995,-1.0,1,0.5,0,0.0,1,0.5,0.5554,0.6525500000000001,0.5,0.5,0.5,0.0,0.0,GBPUSD:1|USDJPY:1,LONG:2,london:1|london_newyork_overlap:1
full2025_validation,anchor_flip_first_break,high_quality,anchor_aligned,anchor_flip_entry_direction,118,33,0.2796610169491525,-260.84,770.88,-1031.7199999999998,0.7471794672973289,-10.9986,-0.09320847457627118,0.7478709576850693,281.16999999999996,2.8116999999999996,-0.9276949887968133,8,0.06779661016949153,22,0.1864406779661017,88,0.7457627118644068,0.6004025423728815,0.5329127118644066,0.5,0.2966101694915254,0.23728813559322035,0.1694915254237288,0.00847457627118644,USDJPY:69|EURUSD:18|GBPJPY:10|EURJPY:9|GBPUSD:7|AUDJPY:5,SHORT:73|LONG:45,london_newyork_overlap:51|london:32|tokyo:21|new_york:14
full2025_validation,anchor_flip_first_break,low_quality,anchor_aligned,anchor_flip_entry_direction,4,2,0.5,10.929999999999996,36.019999999999996,-25.09,1.435631725787166,0.39720000000000005,0.09930000000000001,1.3683917640511964,25.09,0.2509,0.435631725787166,0,0.0,1,0.25,3,0.75,0.78165,0.62215,0.75,0.75,0.25,0.25,0.0,USDJPY:3|EURJPY:1,SHORT:4,london_newyork_overlap:2|london:1|tokyo:1
full2025_validation,anchor_flip_first_break_fresh,high_quality,anchor_aligned,anchor_flip_entry_direction,118,33,0.2796610169491525,-260.84,770.88,-1031.7199999999998,0.7471794672973289,-10.9986,-0.09320847457627118,0.7478709576850693,281.16999999999996,2.8116999999999996,-0.9276949887968133,8,0.06779661016949153,22,0.1864406779661017,88,0.7457627118644068,0.6004025423728815,0.5329127118644066,0.5,0.2966101694915254,0.23728813559322035,0.1694915254237288,0.00847457627118644,USDJPY:69|EURUSD:18|GBPJPY:10|EURJPY:9|GBPUSD:7|AUDJPY:5,SHORT:73|LONG:45,london_newyork_overlap:51|london:32|tokyo:21|new_york:14
full2025_validation,anchor_flip_first_break_fresh,low_quality,anchor_aligned,anchor_flip_entry_direction,4,2,0.5,10.929999999999996,36.019999999999996,-25.09,1.435631725787166,0.39720000000000005,0.09930000000000001,1.3683917640511964,25.09,0.2509,0.435631725787166,0,0.0,1,0.25,3,0.75,0.78165,0.62215,0.75,0.75,0.25,0.25,0.0,USDJPY:3|EURJPY:1,SHORT:4,london_newyork_overlap:2|london:1|tokyo:1
full2025_validation,anchor_pullback_diag,high_quality,anchor_aligned,anchor_flip_entry_direction,55,13,0.23636363636363636,-248.19000000000005,268.89000000000004,-517.0799999999999,0.5200162450684616,-10.986699999999999,-0.1997581818181818,0.5238782426306804,248.19000000000005,2.4819000000000004,-1.0,5,0.09090909090909091,8,0.14545454545454545,42,0.7636363636363637,0.5453436363636366,0.5953109090909089,0.4727272727272727,0.2545454545454545,0.18181818181818182,0.12727272727272726,0.01818181818181818,USDJPY:34|EURUSD:9|AUDJPY:4|EURJPY:3|GBPUSD:3|GBPJPY:2,SHORT:38|LONG:17,london_newyork_overlap:22|london:16|new_york:9|tokyo:8
