period_id,variant,required_light_bucket,anchor_aligned_bucket,anchor_flip_entry_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,anchor_diag_first_break,required_light_pass,anchor_aligned,anchor_flip_entry_direction,2,2,1.0,62.0,62.0,0,inf,2.615,1.3075,inf,0.0,0.0,inf,0,0.0,2,1.0,0,0.0,1.3075,0.72185,1.0,1.0,1.0,1.0,0.0,USDJPY:2,SHORT:2,london:1|london_newyork_overlap:1
full2025_validation,anchor_diag_first_break,required_light_pass,anchor_aligned,no_anchor_flip_entry,3,1,0.3333333333333333,3.4399999999999977,30.65,-27.21,1.1264241087835354,0.13750000000000018,0.04583333333333339,1.115672583494574,27.21,0.2721,0.12642410878353538,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.7792333333333333,0.6506666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,USDJPY:2|EURJPY:1,SHORT:3,london_newyork_overlap:1|new_york:1|tokyo:1
full2025_validation,anchor_diag_first_break,required_light_pass,anchor_not_aligned,no_anchor_flip_entry,11,5,0.45454545454545453,46.31,107.95,-61.64,1.7512978585334198,2.2285,0.20259090909090907,1.8048322438513489,27.83,0.2783,1.6640316205533598,1,0.09090909090909091,3,0.2727272727272727,7,0.6363636363636364,0.6656545454545454,0.42077272727272724,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.0,USDJPY:5|GBPJPY:3|EURUSD:2|EURJPY:1,LONG:6|SHORT:5,new_york:5|london:4|london_newyork_overlap:2
full2025_validation,anchor_diag_first_break,required_light_reject,anchor_aligned,anchor_flip_entry_direction,54,12,0.2222222222222222,-278.40000000000003,238.67999999999998,-517.0799999999999,0.4615920167092133,-12.2988,-0.22775555555555554,0.4670168231103255,278.40000000000003,2.7840000000000003,-1.0,5,0.09259259259259259,7,0.12962962962962962,42,0.7777777777777778,0.5311444444444446,0.5948388888888888,0.46296296296296297,0.24074074074074073,0.16666666666666666,0.1111111111111111,0.018518518518518517,USDJPY:33|EURUSD:9|AUDJPY:4|EURJPY:3|GBPUSD:3|GBPJPY:2,SHORT:37|LONG:17,london_newyork_overlap:22|london:15|new_york:9|tokyo:8
full2025_validation,anchor_diag_first_break,required_light_reject,anchor_aligned,no_anchor_flip_entry,158,37,0.23417721518987342,-484.2699999999999,892.0699999999996,-1376.3400000000006,0.6481465335600209,-21.423600000000008,-0.13559240506329118,0.6492046208133091,541.5799999999999,5.415799999999999,-0.8941799918756231,17,0.10759493670886076,28,0.17721518987341772,113,0.7151898734177216,0.6407499999999997,0.5646145569620253,0.5379746835443038,0.35443037974683544,0.2848101265822785,0.14556962025316456,0.0,USDJPY:91|EURUSD:20|GBPUSD:18|EURJPY:12|GBPJPY:11|AUDJPY:6,SHORT:95|LONG:63,london_newyork_overlap:62|new_york:46|london:29|tokyo:21
full2025_validation,anchor_diag_first_break,required_light_reject,anchor_not_aligned,no_anchor_flip_entry,90,20,0.2222222222222222,-493.9700000000002,316.08000000000004,-810.0499999999998,0.3901981359175361,-21.579299999999996,-0.23976999999999996,0.3962802044544662,499.6000000000002,4.996000000000002,-0.9887309847878303,10,0.1111111111111111,8,0.08888888888888889,72,0.8,0.5297244444444444,0.5763155555555556,0.4222222222222222,0.26666666666666666,0.18888888888888888,0.06666666666666667,0.0,USDJPY:51|EURUSD:13|EURJPY:10|GBPJPY:7|AUDJPY:5|GBPUSD:4,LONG:49|SHORT:41,london_newyork_overlap:42|london:23|new_york:15|tokyo:10
full2025_validation,anchor_flip_first_break,required_light_pass,anchor_aligned,anchor_flip_entry_direction,4,2,0.5,40.26,62.0,-21.740000000000002,2.851885924563017,1.7040000000000002,0.42600000000000005,2.870472008781559,21.740000000000002,0.2174,1.8518859245630173,0,0.0,2,0.5,2,0.5,0.8124750000000001,0.6932,0.75,0.5,0.5,0.5,0.0,USDJPY:3|GBPJPY:1,SHORT:4,tokyo:2|london:1|london_newyork_overlap:1
full2025_validation,anchor_flip_first_break,required_light_reject,anchor_aligned,anchor_flip_entry_direction,118,33,0.2796610169491525,-290.16999999999985,744.9,-1035.07,0.7196614721709643,-12.305399999999995,-0.10428305084745759,0.7189912788506994,320.5999999999999,3.205999999999999,-0.9050842170929505,8,0.06779661016949153,21,0.17796610169491525,89,0.7542372881355932,0.5993576271186439,0.5305042372881354,0.5,0.3050847457627119,0.2288135593220339,0.16101694915254236,0.00847457627118644,USDJPY:69|EURUSD:18|EURJPY:10|GBPJPY:9|GBPUSD:7|AUDJPY:5,SHORT:73|LONG:45,london_newyork_overlap:52|london:32|tokyo:20|new_york:14
full2025_validation,anchor_flip_first_break_fresh,required_light_pass,anchor_aligned,anchor_flip_entry_direction,4,2,0.5,40.26,62.0,-21.740000000000002,2.851885924563017,1.7040000000000002,0.42600000000000005,2.870472008781559,21.740000000000002,0.2174,1.8518859245630173,0,0.0,2,0.5,2,0.5,0.8124750000000001,0.6932,0.75,0.5,0.5,0.5,0.0,USDJPY:3|GBPJPY:1,SHORT:4,tokyo:2|london:1|london_newyork_overlap:1
full2025_validation,anchor_flip_first_break_fresh,required_light_reject,anchor_aligned,anchor_flip_entry_direction,118,33,0.2796610169491525,-290.16999999999985,744.9,-1035.07,0.7196614721709643,-12.305399999999995,-0.10428305084745759,0.7189912788506994,320.5999999999999,3.205999999999999,-0.9050842170929505,8,0.06779661016949153,21,0.17796610169491525,89,0.7542372881355932,0.5993576271186439,0.5305042372881354,0.5,0.3050847457627119,0.2288135593220339,0.16101694915254236,0.00847457627118644,USDJPY:69|EURUSD:18|EURJPY:10|GBPJPY:9|GBPUSD:7|AUDJPY:5,SHORT:73|LONG:45,london_newyork_overlap:52|london:32|tokyo:20|new_york:14
