comparison,feature,left_n,right_n,left_mean,right_mean,left_median,right_median,standardized_difference,p_value
CONT_SUCCESS_VS_FAIL,f01,696,9294,0.1052463849527485,-0.0107763363874372,0.091882398997,-0.034937414745,0.0590336369179889,0.4365663829055761
CONT_SUCCESS_VS_FAIL,f02,696,9294,0.0265532990903031,-0.0095316402475995,-0.139930890041,-0.015743516549,0.0131790477056642,0.7837973814533682
CONT_SUCCESS_VS_FAIL,f03,696,9294,0.0105004536379511,-0.0022331906620789,-0.013688675531,0.000689259605,0.0276450542448416,0.8643276544197966
CONT_SUCCESS_VS_FAIL,f04,696,9294,-0.0065673310367097,-0.0006525329703354,-0.0035867653425,0.0022954852825,-0.0204251167236871,0.3997761131507915
CONT_SUCCESS_VS_FAIL,f05,696,9294,-0.0488505747126436,-0.0131267484398536,-1.0,-1.0,-0.0357329007728475,0.3633006774546258
CONT_SUCCESS_VS_FAIL,f06,696,9294,0.0229885057471264,0.0182913707768452,1.0,1.0,0.0046963335919938,0.9048545379933718
CONT_SUCCESS_VS_FAIL,f07,696,9294,-0.0948275862068965,-0.0161394448030987,-1.0,-1.0,-0.0788404360021036,0.0452121265591988
CONT_SUCCESS_VS_FAIL,f08,696,9294,0.0632183908045977,0.055950075317409,1.0,1.0,0.0072784881079781,0.8530490857586389
CONT_SUCCESS_VS_FAIL,f09,696,9294,0.0316091954022988,0.0163546374004734,1.0,1.0,0.015253496490726,0.6978662787929852
CONT_SUCCESS_VS_FAIL,f10,696,9294,2.797946154022989e-05,2.8240324082203567e-06,-3.399747e-06,-3.499226e-06,0.0704063115222131,0.4269162077214063
CONT_SUCCESS_VS_FAIL,f11,696,9294,6.0556787790229895e-05,4.450639656445021e-06,1.8421974e-05,3.337174e-06,0.0956900096771068,0.0355499040358469
CONT_SUCCESS_VS_FAIL,f12,696,9294,7.676000215948276e-05,-9.248901847966423e-06,7.3349409e-05,3.487158e-06,0.1033209895835538,0.0563852337522116
CONT_SUCCESS_VS_FAIL,f13,696,9294,0.0001852775257499,0.000172702964824,0.000155242296,0.0001413462915,0.0224571372471596,0.4635105692254052
CONT_SUCCESS_VS_FAIL,f14,696,9294,0.2394077434149382,0.280247296413616,0.2031377318335,0.236842105263,-0.2134931506393484,7.309752854508871e-07
CONT_SUCCESS_VS_FAIL,f15,696,9294,0.4733177986580373,0.5034092145442147,0.4743710164375,0.49885583524,-0.0997170424702024,0.0109353217819168
CONT_SUCCESS_VS_FAIL,f16,696,9294,0.033259572058612,0.0116182136438327,0.0337115322549999,0.000254151883,0.930135480317364,1.647336622718202e-149
CONT_SUCCESS_VS_FAIL,f17,696,9294,0.0717735768671207,0.026813421620947,0.076318598259,0.00056516002,0.9054337330618452,4.051925385998949e-132
