path,bytes,sha256,under_50_mb
reports/share/tick_shock/step15g/step15g_both_neither_cases.csv,5651984,93EC19C933B03A490AB446615CF5649E219D2111F2D83E8D3244D0B06616C4A2,true
reports/share/tick_shock/step15g/step15g_candidate_registry.csv,168,5B8ACAE4389CC7CB95CF6740C5E261D190F3CFFC7204759B7760BA7C73B175E3,true
reports/share/tick_shock/step15g/step15g_data_dictionary.md,1894,A0C7C4EB5DECE1FE6FA13BF6C24E8036F515DAA9BE823B2D5E3528D77638B8C5,true
reports/share/tick_shock/step15g/step15g_episode_labels_compact.csv,25561690,8B1A2FA9DFF91B01E9B380FD700121823E6BBC9A6E1A5CAD79911393E7875D1B,true
reports/share/tick_shock/step15g/step15g_feature_contrast.csv,19052,40C2E02CF3BA453A63B83A6E6FC1D98E38F69C20DFFE5448C4C9B16659DE9591,true
reports/share/tick_shock/step15g/step15g_first_passage_summary.csv,1374,AD8716E0032B2993A84323C40EAAC98477082B5283841876A2813697FDBE8FE7,true
reports/share/tick_shock/step15g/step15g_oof_predictions.csv,5548175,1EC58B8480CE3651D91A2D4DDC6FA08B7491AA0F17B79308CA25D6059390DFFA,true
reports/share/tick_shock/step15g/step15g_policy_results.csv,1259,17504A61362E40B37454F5DCD92A2E4A966189BD1CC97D5D4B9BE9B77532BE41,true
reports/share/tick_shock/step15g/step15g_profitable_continuation_cases.csv,455195,CB9D2FD7F928B23764202147108852A146AAE23D7E0CAD848D01B16A16351671,true
reports/share/tick_shock/step15g/step15g_profitable_reversal_cases.csv,401734,DF6BA997F5E7D744E0C9D4E51E8497DCF7FA412D005D7920F05F2B48BA543E16,true
