run_id,stage,count
"full2025_h_one_symbol","symbols_scanned","445734"
"full2025_h_one_symbol","parent_flips_detected","4536"
"full2025_h_one_symbol","valid_parent_wave1","4536"
"full2025_h_one_symbol","parent_wave2_started","3967"
"full2025_h_one_symbol","parent_wave2_invalidated","71"
"full2025_h_one_symbol","child_countertrend_confirmed","7869"
"full2025_h_one_symbol","child_trend_flips_detected","2839"
"full2025_h_one_symbol","first_flip_signals","2839"
"full2025_h_one_symbol","signals_consumed","2839"
"full2025_h_one_symbol","trades_taken","154"
"full2025_h_one_symbol","expired_signals","0"
