entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,base_strength,quote_strength,strength_diff,strength_rank_base,strength_rank_quote,pair_momentum_h1,pair_momentum_h4,strength_alignment,pair_alignment,entry_type,pullback_depth_atr,overextended_flag,room_to_1r,room_to_2r,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.03 18:00:00,2025.01.03 18:37:16,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,0.69423,-1.04965,1.74388,1,5,1.31669,0.56718,true,true,strength_momentum,0.9242,false,3.6000,3.6000,no_follow_through,157.40900000,157.27700000,157.28900000,157.55300000,0.12000000,-1.1000,-26.86,0.00,0.00,-26.86,0.320,1.200,2,0.12000000,16.00,2.469,DEAL_REASON_SL,28
2025.01.03 19:00:00,2025.01.03 21:36:22,currency_strength_momentum_room_to_2r,GBPUSD,LONG,GBP,USD,0.80740,-0.07328,0.88068,2,3,1.59625,-0.40168,true,true,strength_momentum,1.0450,false,11.6250,11.6250,other,1.24187000,1.24312000,1.24083000,1.24312000,0.00104000,1.2019,28.75,0.00,0.00,28.75,0.230,1.200,10,0.00104500,20.00,2.241,DEAL_REASON_TP,30
2025.01.03 20:00:00,2025.01.03 22:46:16,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,-0.95188,0.20702,-1.15889,5,3,-0.43900,-0.83332,true,true,strength_momentum,0.3398,false,5.3577,5.3577,no_follow_through,157.16000000,157.31900000,157.29700000,156.99500000,0.13700000,-1.1606,-28.30,0.00,0.00,-28.30,0.280,1.200,11,0.13742857,19.00,1.962,DEAL_REASON_SL,31
2025.01.03 20:00:00,2025.01.06 01:00:00,currency_strength_momentum_room_to_2r,EURUSD,LONG,EUR,USD,0.43331,-0.95188,1.38519,2,5,0.63952,0.69269,true,true,strength_momentum,0.3964,false,7.6837,7.6837,other,1.02990000,1.03004000,1.02892000,1.03108000,0.00098000,0.1429,3.36,0.00,-1.43,1.93,0.240,1.200,20,0.00098143,18.00,2.403,DEAL_REASON_EXPERT,32
2025.01.06 12:00:00,2025.01.06 12:06:52,currency_strength_momentum_room_to_2r,GBPUSD,LONG,GBP,USD,4.05474,-2.35137,6.40611,2,4,3.36168,1.65722,true,true,strength_momentum,0.4499,true,2.5446,2.5446,overextended_entry,1.24766000,1.24665000,1.24665000,1.24887000,0.00101000,-1.0000,-24.24,0.00,0.00,-24.24,0.240,1.200,0,0.00101143,20.00,7.637,DEAL_REASON_SL,36
2025.01.06 12:45:00,2025.01.06 12:54:31,currency_strength_momentum_room_to_2r,GBPUSD,LONG,GBP,USD,4.05474,-2.35137,6.40611,2,4,3.36168,1.65722,true,true,strength_momentum,0.0282,true,2.4340,2.4340,overextended_entry,1.24765000,1.24659000,1.24659000,1.24893000,0.00106000,-1.0000,-23.32,0.00,0.00,-23.32,0.220,1.200,0,0.00106429,20.00,7.626,DEAL_REASON_SL,38
2025.01.06 14:00:00,2025.01.06 14:02:10,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,-4.12495,-2.46454,-1.66041,5,4,-2.16292,0.96127,true,true,strength_momentum,2.9127,true,3.7987,3.7987,other,157.19400000,157.01400000,157.34300000,157.01500000,0.14900000,1.2081,28.66,0.00,0.00,28.66,0.250,1.200,0,0.14907143,17.00,2.239,DEAL_REASON_TP,40
2025.01.06 14:15:00,2025.01.06 14:36:06,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,-4.12495,-3.28974,-0.83521,5,4,-2.16292,0.96127,true,true,strength_momentum,2.7798,true,2.7870,2.7870,other,157.09900000,156.89700000,157.26800000,156.89700000,0.16900000,1.1953,28.32,0.00,0.00,28.32,0.220,1.200,1,0.16857143,16.00,1.313,DEAL_REASON_TP,42
2025.01.06 20:15:04,2025.01.06 20:28:52,currency_strength_momentum_room_to_2r,EURJPY,LONG,EUR,JPY,2.90521,-1.77661,4.68182,2,4,0.99053,2.61995,true,true,strength_momentum,0.0331,false,2.0422,2.0422,no_follow_through,163.67100000,163.50500000,163.50500000,163.87000000,0.16600000,-1.0000,-24.34,0.00,0.00,-24.34,0.230,1.200,0,0.16614286,30.00,5.635,DEAL_REASON_SL,45
2025.01.06 18:00:00,2025.01.06 23:00:00,currency_strength_momentum_room_to_2r,EURUSD,LONG,EUR,USD,4.12756,-3.61223,7.73979,1,5,2.61258,3.17726,true,true,strength_momentum,0.0921,false,2.0000,2.0000,no_follow_through,1.03946000,1.03870000,1.03739000,1.04195000,0.00207000,-0.3671,-8.36,0.00,0.00,-8.36,0.110,1.200,20,0.00207286,18.00,9.107,DEAL_REASON_EXPERT,44
2025.01.06 22:45:00,2025.01.07 01:05:34,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,-0.42842,-1.49317,1.06475,4,5,1.03713,0.55468,true,true,strength_momentum,0.8014,false,3.5699,3.5699,other,157.62300000,157.73900000,157.53000000,157.73400000,0.09300000,1.2473,30.15,0.00,1.96,32.11,0.410,1.200,9,0.09271429,16.00,1.736,DEAL_REASON_TP,47
2025.01.07 10:00:00,2025.01.07 11:19:44,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,-3.77465,-2.80529,-0.96936,5,4,-1.04577,0.32074,true,true,strength_momentum,1.7107,false,9.9841,9.9841,no_follow_through,157.48800000,157.61400000,157.61400000,157.33700000,0.12600000,-1.0000,-23.98,0.00,0.00,-23.98,0.300,1.200,5,0.12585714,19.00,2.084,DEAL_REASON_SL,50
2025.01.07 13:45:00,2025.01.07 14:09:37,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,-3.86642,-1.28932,-2.57711,5,4,-2.26022,-0.03266,true,true,strength_momentum,0.1176,false,12.7281,12.7281,no_follow_through,157.68100000,157.79700000,157.79500000,157.54400000,0.11400000,-1.0175,-24.26,0.00,0.00,-24.26,0.330,1.200,1,0.11392857,16.00,4.271,DEAL_REASON_SL,52
2025.01.07 16:45:00,2025.01.07 17:00:01,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,0.44552,-1.27584,1.72136,3,5,-0.56041,2.00689,true,true,strength_momentum,0.7235,false,5.1538,5.1538,other,157.80600000,158.00700000,157.68900000,157.94600000,0.11700000,1.7179,40.71,0.00,0.00,40.71,0.320,1.200,1,0.11692857,16.00,2.577,DEAL_REASON_TP,54
2025.01.07 17:15:00,2025.01.07 17:20:20,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,0.15729,0.95409,-0.79680,4,2,-0.35857,-0.56236,true,true,strength_momentum,2.2004,true,8.8692,8.8692,overextended_entry,1.03673000,1.03782000,1.03780000,1.03545000,0.00107000,-1.0187,-23.98,0.00,0.00,-23.98,0.220,1.200,0,0.00107071,18.00,1.874,DEAL_REASON_SL,56
2025.01.07 17:30:00,2025.01.07 17:42:09,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,0.15729,0.95409,-0.79680,4,2,-0.35857,-0.56236,true,true,strength_momentum,1.0320,false,9.3509,9.3509,other,1.03790000,1.03653000,1.03904000,1.03653000,0.00114000,1.2018,28.77,0.00,0.00,28.77,0.210,1.200,0,0.00113857,18.00,1.922,DEAL_REASON_TP,58
2025.01.07 17:45:00,2025.01.07 18:01:06,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,0.15729,0.95409,-0.79680,4,2,-0.35857,-0.56236,true,true,strength_momentum,1.9648,false,7.5041,7.5041,no_follow_through,1.03632000,1.03755000,1.03753000,1.03487000,0.00121000,-1.0165,-24.60,0.00,0.00,-24.60,0.200,1.200,1,0.00120571,18.00,1.737,DEAL_REASON_SL,60
2025.01.07 18:00:00,2025.01.07 18:31:36,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,2.51545,-1.86726,4.38271,1,5,1.90596,2.00689,true,true,strength_momentum,0.3246,false,2.4757,2.4757,no_follow_through,157.95100000,157.72000000,157.76600000,158.17300000,0.18500000,-1.2486,-29.29,0.00,0.00,-29.29,0.200,1.200,2,0.18485714,16.00,5.434,DEAL_REASON_SL,61
2025.01.07 18:15:00,2025.01.07 18:31:36,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,-0.78437,2.51545,-3.29982,4,1,-2.54509,-0.56236,true,true,strength_momentum,1.3671,false,7.3280,7.3280,no_follow_through,1.03640000,1.03777000,1.03765000,1.03491000,0.00125000,-1.0960,-26.03,0.00,0.00,-26.03,0.190,1.200,1,0.00124571,18.00,4.633,DEAL_REASON_SL,64
2025.01.07 18:45:00,2025.01.07 19:23:02,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,-0.78437,2.51545,-3.29982,4,1,-2.54509,-0.56236,true,true,strength_momentum,0.0779,false,7.9308,7.9308,other,1.03755000,1.03589000,1.03885000,1.03600000,0.00130000,1.2769,29.88,0.00,0.00,29.88,0.180,1.200,2,0.00129571,18.00,4.693,DEAL_REASON_TP,67
2025.01.07 19:30:00,2025.01.07 20:49:00,currency_strength_momentum_room_to_2r,EURUSD,SHORT,EUR,USD,-1.39284,2.70649,-4.09934,5,1,-3.25259,-0.56236,true,true,strength_momentum,0.0107,true,6.1143,6.1143,other,1.03683000,1.03516000,1.03823000,1.03516000,0.00140000,1.1929,28.39,0.00,0.00,28.39,0.170,1.200,5,0.00139571,18.00,5.444,DEAL_REASON_TP,69
