entry_time,exit_time,strategy,symbol,direction,entry_type,range_position,regime_type,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,zscore,rsi,range_low,range_high,range_mid,distance_to_range_mid_r,distance_to_opposite_boundary_r,room_to_mean,room_to_range_mid,room_to_opposite_boundary,h1_adx_low,h4_adx_low,h1_ma_slope_small,h4_ma_slope_small,range_width_ok,price_middle,strong_trend_break,target_too_far,exit_reason,position_id
2025.01.02 19:00:00,2025.01.02 19:26:27,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,target_too_far,157.65300000,157.84600000,157.84500000,156.89200000,0.19200000,-1.0052,-24.45,0.00,0.00,-24.45,0.200,3.964,1,0.25300000,16.00,9.460,2.4597,75.49,156.01500000,157.76900000,156.89200000,3.9656,8.5357,0.59450000,0.76100000,1.63800000,true,true,true,true,true,false,false,true,DEAL_REASON_SL,2
2025.01.02 19:45:00,2025.01.03 01:45:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.53500000,157.56300000,157.83900000,156.89200000,0.30400000,-0.0921,-2.13,0.00,-1.34,-3.47,0.120,2.115,24,0.23221429,18.00,8.401,1.4014,66.92,156.01500000,157.76900000,156.89200000,2.1175,5.0055,0.39753125,0.64300000,1.52000000,true,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,4
2025.01.06 03:00:00,2025.01.06 09:00:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,157.58300000,157.65300000,157.87500000,157.13400000,0.29200000,-0.2397,-5.77,0.00,0.00,-5.77,0.130,1.538,24,0.11457143,20.00,8.449,1.4491,62.72,156.42600000,157.84100000,157.13350000,1.5374,3.9573,0.29806250,0.44950000,1.15700000,true,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,6
2025.01.06 15:00:00,2025.01.06 15:10:05,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,stop_outside_range_hit,156.79600000,156.55200000,156.55200000,157.28500000,0.24400000,-1.0000,-24.94,0.00,0.00,-24.94,0.160,2.004,0,0.20578571,18.00,9.675,-2.6745,18.86,156.61400000,157.95500000,157.28450000,2.0042,4.7552,0.77434375,0.48850000,1.15900000,true,true,true,true,true,false,false,false,DEAL_REASON_SL,8
2025.01.06 15:45:00,2025.01.06 16:01:25,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,target_too_far,156.67900000,156.53300000,156.53400000,157.28500000,0.14500000,-1.0069,-24.25,0.00,0.00,-24.25,0.260,4.179,1,0.26642857,16.00,8.836,-1.8359,26.31,156.61400000,157.95500000,157.28450000,4.1779,8.8043,0.77231250,0.60550000,1.27600000,true,true,true,true,true,false,false,true,DEAL_REASON_SL,10
2025.01.07 04:00:00,2025.01.07 10:00:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,158.30900000,157.50700000,158.45000000,157.32000000,0.14100000,5.6879,137.48,0.00,0.00,137.48,0.270,7.014,24,0.13600000,16.00,8.024,2.0237,84.37,156.23000000,158.40900000,157.31950000,7.0277,14.7656,0.56243750,0.98950000,2.07900000,false,true,true,true,true,false,false,true,DEAL_REASON_EXPERT,12
2025.01.07 17:30:00,2025.01.07 23:30:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,weak_trend,other,158.16500000,157.97900000,158.46000000,157.32000000,0.29500000,0.6305,15.31,0.00,0.00,15.31,0.130,2.864,24,0.16850000,18.00,5.594,2.5945,67.14,156.23000000,158.40900000,157.31950000,2.8705,6.5693,0.47312500,0.84550000,1.93500000,false,false,true,true,true,false,false,false,DEAL_REASON_EXPERT,14
2025.01.08 12:00:00,2025.01.08 13:27:01,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,stop_outside_range_hit,158.15500000,158.45300000,158.45000000,157.32400000,0.29500000,-1.0102,-24.45,0.00,0.00,-24.45,0.130,2.817,5,0.10821429,18.00,6.405,0.4052,56.96,156.23000000,158.41800000,157.32400000,2.8125,6.5152,0.03571875,0.83100000,1.92500000,false,true,true,true,true,false,false,false,DEAL_REASON_SL,16
2025.01.08 16:45:00,2025.01.08 22:45:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,other,158.36100000,158.35800000,158.58500000,157.50200000,0.22400000,0.0134,0.32,0.00,0.00,0.32,0.170,3.835,24,0.13621429,18.00,6.711,0.7106,49.77,156.45900000,158.54400000,157.50150000,3.8394,8.4962,0.11003125,0.85950000,1.90200000,true,true,false,true,true,false,false,true,DEAL_REASON_EXPERT,18
2025.01.09 10:15:00,2025.01.09 13:47:15,new_range_boundary_reversion_to_mid_with_boundary_only,EURJPY,LONG,lower_boundary_reversion,lower_boundary,weak_trend,bad_regime,162.86000000,162.56700000,162.57000000,163.57600000,0.29000000,-1.0103,-24.06,0.00,0.00,-24.06,0.130,2.469,14,0.15371429,30.00,2.847,-0.8468,54.93,162.61600000,164.53600000,163.57600000,2.4680,5.7770,0.09471875,0.71600000,1.67600000,false,false,false,true,true,false,false,false,DEAL_REASON_SL,20
2025.01.10 11:30:00,2025.01.10 12:50:27,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,157.75100000,158.06100000,157.52600000,158.05600000,0.22500000,1.3778,33.34,0.00,0.00,33.34,0.170,1.356,5,0.13671429,16.00,8.507,-2.5073,20.20,157.56700000,158.54400000,158.05550000,1.3532,3.5242,0.48725000,0.30450000,0.79300000,false,true,true,true,true,false,false,false,DEAL_REASON_TP,22
2025.01.10 17:45:00,2025.01.10 23:45:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,157.53300000,157.71100000,157.39400000,158.21900000,0.13900000,1.2806,31.60,0.00,0.00,31.60,0.280,4.935,24,0.30864286,17.00,8.665,-1.6649,41.77,157.56700000,158.87100000,158.21900000,4.9392,9.6336,0.47375000,0.68600000,1.33800000,true,true,true,true,true,false,false,true,DEAL_REASON_EXPERT,24
2025.01.14 17:00:00,2025.01.14 17:39:34,new_range_boundary_reversion_to_mid_with_boundary_only,EURUSD,SHORT,upper_boundary_reversion,upper_boundary,weak_trend,bad_regime,1.02672000,1.02813000,1.02812000,1.02273000,0.00140000,-1.0071,-25.38,0.00,0.00,-25.38,0.180,2.850,2,0.00124071,18.00,4.621,1.6214,55.86,1.01771000,1.02775000,1.02273000,2.8455,6.4256,0.00104813,0.00399000,0.00901000,false,true,true,false,true,false,false,false,DEAL_REASON_SL,26
2025.01.14 17:45:00,2025.01.14 23:45:00,new_range_boundary_reversion_to_mid_with_boundary_only,USDJPY,SHORT,upper_boundary_reversion,upper_boundary,range,no_mean_reversion,158.00900000,158.03300000,158.21200000,157.53000000,0.20300000,-0.1182,-2.89,0.00,0.00,-2.89,0.190,2.360,24,0.19107143,16.00,7.215,1.2151,46.25,156.90400000,158.15500000,157.52950000,2.3583,5.4347,0.18768750,0.47950000,1.10500000,false,true,true,true,true,false,false,false,DEAL_REASON_EXPERT,28
2025.01.16 05:15:01,2025.01.16 11:15:00,new_range_boundary_reversion_to_mid_with_boundary_only,AUDJPY,LONG,lower_boundary_reversion,lower_boundary,range,other,96.82400000,96.89000000,96.53000000,97.26200000,0.29400000,0.2245,5.43,0.00,0.00,5.43,0.130,1.490,24,0.15678571,28.00,6.811,-1.8114,14.56,96.57700000,97.94600000,97.26150000,1.4879,3.8159,0.43300000,0.43750000,1.12200000,false,true,false,true,true,false,false,false,DEAL_REASON_EXPERT,30
2025.01.20 13:30:00,2025.01.20 13:54:43,new_range_boundary_reversion_to_mid_with_boundary_only,GBPJPY,SHORT,upper_boundary_reversion,upper_boundary,range,target_too_far,190.73000000,190.92000000,190.91900000,190.09000000,0.18900000,-1.0053,-24.29,0.00,0.00,-24.29,0.200,3.386,1,0.19578571,38.00,7.275,1.2754,56.59,189.31900000,190.86000000,190.08950000,3.3936,7.4761,0.27693750,0.64050000,1.41100000,false,true,true,true,true,false,false,true,DEAL_REASON_SL,33
