entry_time,exit_time,strategy,symbol,direction,label,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.07 03:15:00,2025.01.07 04:04:12,volatility_breakout,USDJPY,LONG,h1_trend_m15_compression_breakout,158.27400000,158.13400000,158.13600000,158.44600000,0.13800000,-1.0145,-24.79,0.00,0.00,-24.79,0.280,1.250,3,0.11964286,16.00,5.709,DEAL_REASON_SL,2
2025.01.07 23:15:00,2025.01.08 01:05:17,volatility_breakout,USDJPY,LONG,h1_trend_m15_compression_breakout,157.98700000,158.12800000,157.88000000,158.12100000,0.10700000,1.3178,32.10,0.00,1.72,33.82,0.360,1.250,7,0.09307143,16.00,3.546,DEAL_REASON_TP,4
2025.01.13 03:30:00,2025.01.13 03:37:11,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,157.63000000,157.48500000,157.74400000,157.48800000,0.11400000,1.2719,31.30,0.00,0.00,31.30,0.340,1.250,0,0.09878571,16.00,2.885,DEAL_REASON_TP,6
2025.01.13 03:45:00,2025.01.13 04:18:25,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,157.42200000,157.55200000,157.55200000,157.26000000,0.13000000,-1.0000,-24.75,0.00,0.00,-24.75,0.300,1.250,2,0.11292857,18.00,3.232,DEAL_REASON_SL,8
2025.01.13 06:45:02,2025.01.13 07:03:28,volatility_breakout,GBPUSD,SHORT,h1_trend_m15_compression_breakout,1.21299000,1.21433000,1.21427000,1.21139000,0.00128000,-1.0469,-25.46,0.00,0.00,-25.46,0.190,1.250,1,0.00111500,20.00,6.233,DEAL_REASON_SL,10
2025.01.16 03:00:00,2025.01.16 03:08:10,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,156.18000000,156.02300000,156.30500000,156.02300000,0.12500000,1.2560,31.19,0.00,0.00,31.19,0.310,1.250,0,0.10900000,16.00,3.312,DEAL_REASON_TP,12
2025.01.16 03:15:00,2025.01.16 03:25:19,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,156.11000000,155.94100000,156.24400000,155.94300000,0.13400000,1.2612,31.43,0.00,0.00,31.43,0.290,1.250,0,0.11628571,18.00,3.294,DEAL_REASON_TP,14
2025.01.21 16:00:00,2025.01.21 16:49:27,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,155.48200000,155.63200000,155.62400000,155.30500000,0.14200000,-1.0563,-26.02,0.00,0.00,-26.02,0.270,1.250,3,0.12342857,17.00,4.464,DEAL_REASON_SL,16
2025.01.24 19:00:00,2025.01.24 20:02:48,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,155.57700000,155.79800000,155.79600000,155.30400000,0.21900000,-1.0091,-24.11,0.00,0.00,-24.11,0.170,1.250,4,0.19014286,19.00,5.122,DEAL_REASON_SL,18
2025.01.30 02:15:00,2025.01.30 02:41:08,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,154.98900000,154.83400000,155.11200000,154.83600000,0.12300000,1.2602,31.03,0.00,0.00,31.03,0.310,1.250,1,0.10664286,16.00,3.329,DEAL_REASON_TP,20
2025.01.30 14:45:00,2025.01.30 15:19:00,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,154.21000000,154.04300000,154.34400000,154.04300000,0.13400000,1.2463,30.36,0.00,0.00,30.36,0.280,1.250,2,0.11635714,20.00,2.853,DEAL_REASON_TP,22
2025.01.30 22:30:00,2025.01.30 22:36:54,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,154.04400000,154.15800000,154.15400000,153.90600000,0.11000000,-1.0364,-25.88,0.00,0.00,-25.88,0.350,1.250,0,0.09578571,16.00,4.406,DEAL_REASON_SL,24
2025.02.03 12:00:00,2025.02.03 12:08:05,volatility_breakout,GBPJPY,SHORT,h1_trend_m15_compression_breakout,190.52100000,190.82200000,190.82200000,190.14500000,0.30100000,-1.0000,-23.43,0.00,0.00,-23.43,0.120,1.250,0,0.26171429,38.00,3.053,DEAL_REASON_SL,27
2025.02.03 11:45:00,2025.02.03 13:25:34,volatility_breakout,EURJPY,SHORT,h1_trend_m15_compression_breakout,158.84300000,158.51700000,159.10100000,158.52000000,0.25800000,1.2636,29.61,0.00,0.00,29.61,0.140,1.250,6,0.22435714,30.00,1.934,DEAL_REASON_TP,26
2025.02.03 13:30:01,2025.02.03 14:22:31,volatility_breakout,GBPJPY,SHORT,h1_trend_m15_compression_breakout,190.31900000,190.62200000,190.61900000,189.94500000,0.30000000,-1.0100,-23.59,0.00,0.00,-23.59,0.120,1.250,3,0.26050000,38.00,4.115,DEAL_REASON_SL,31
2025.02.03 13:30:01,2025.02.03 14:26:40,volatility_breakout,EURJPY,SHORT,h1_trend_m15_compression_breakout,158.39500000,158.66300000,158.66200000,158.06200000,0.26700000,-1.0037,-24.34,0.00,0.00,-24.34,0.140,1.250,3,0.23200000,30.00,3.720,DEAL_REASON_SL,30
2025.02.03 17:15:00,2025.02.03 17:22:03,volatility_breakout,EURJPY,SHORT,h1_trend_m15_compression_breakout,158.09200000,158.35900000,158.33600000,157.78700000,0.24400000,-1.0943,-25.98,0.00,0.00,-25.98,0.150,1.250,0,0.21185714,30.00,3.007,DEAL_REASON_SL,34
2025.02.04 02:00:00,2025.02.04 03:53:34,volatility_breakout,USDJPY,LONG,h1_trend_m15_compression_breakout,155.28100000,155.10500000,155.10700000,155.49900000,0.17400000,-1.0115,-24.96,0.00,0.00,-24.96,0.220,1.250,7,0.15164286,22.00,4.491,DEAL_REASON_SL,36
2025.02.04 08:30:00,2025.02.04 08:38:02,volatility_breakout,USDJPY,LONG,h1_trend_m15_compression_breakout,155.37600000,155.22700000,155.23000000,155.55900000,0.14600000,-1.0205,-24.96,0.00,0.00,-24.96,0.260,1.250,0,0.12735714,21.00,3.950,DEAL_REASON_SL,38
2025.02.04 09:15:00,2025.02.04 10:22:05,volatility_breakout,GBPJPY,LONG,h1_trend_m15_compression_breakout,192.82900000,193.15200000,192.57200000,193.15000000,0.25700000,1.2568,29.13,0.00,0.00,29.13,0.140,1.250,4,0.22314286,38.00,4.513,DEAL_REASON_TP,40
2025.02.10 16:00:00,2025.02.10 16:35:51,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,151.86000000,151.69200000,151.98700000,151.70100000,0.12700000,1.3228,33.23,0.00,0.00,33.23,0.300,1.250,2,0.11042857,16.00,3.948,DEAL_REASON_TP,42
2025.02.14 08:45:00,2025.02.14 09:25:15,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,152.47300000,152.60900000,152.60900000,152.30300000,0.13600000,-1.0000,-24.06,0.00,0.00,-24.06,0.270,1.250,2,0.11792857,16.00,4.087,DEAL_REASON_SL,44
2025.02.17 02:00:00,2025.02.17 02:19:21,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,152.00200000,152.10700000,152.10600000,151.87300000,0.10400000,-1.0096,-24.85,0.00,0.00,-24.85,0.360,1.250,1,0.09000000,16.00,2.511,DEAL_REASON_SL,46
2025.02.21 17:00:00,2025.02.21 17:29:36,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,149.78600000,149.60600000,149.92900000,149.60700000,0.14300000,1.2587,31.28,0.00,0.00,31.28,0.260,1.250,1,0.12442857,17.00,3.215,DEAL_REASON_TP,48
2025.02.21 17:30:00,2025.02.21 18:31:29,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,149.62100000,149.41700000,149.78300000,149.41800000,0.16200000,1.2593,31.40,0.00,0.00,31.40,0.230,1.250,4,0.14128571,16.00,6.016,DEAL_REASON_TP,50
2025.02.26 02:15:00,2025.02.26 02:22:05,volatility_breakout,USDJPY,SHORT,h1_trend_m15_compression_breakout,148.67600000,148.81600000,148.81000000,148.50800000,0.13400000,-1.0448,-25.40,0.00,0.00,-25.40,0.270,1.250,0,0.11657143,16.00,2.865,DEAL_REASON_SL,52
2025.02.28 02:00:00,2025.02.28 02:05:03,volatility_breakout,USDJPY,LONG,h1_trend_m15_compression_breakout,150.10100000,149.94900000,149.95300000,150.28600000,0.14800000,-1.0270,-25.34,0.00,0.00,-25.34,0.250,1.250,0,0.12892857,18.00,3.514,DEAL_REASON_SL,54
