episode_id,anchor_event_id,market_cluster_id,symbol,shock_direction,checkpoint_seconds,target_msc,quote_msc,processing_msc,target_lag_ms,quote_age_ms,availability,bid,ask,mid,signed_log_return,absolute_log_return,shock_direction_move,long_spread_only_move,short_spread_only_move,mfe,mae,time_to_mfe_ms,time_to_mae_ms,spread,point_multiple,pip_multiple,entry_spread_multiple,initial_shock_multiple,pre_m1_vol_multiple,primary_inference,schema_version
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","5","1740999592250","1740999592287","1740999593275","37","988","AVAILABLE","150.1080000000","150.1280000000","150.1180000000","-0.000056620521","0.000056620521","-0.0085000000","-0.0270000000","-0.0100000000","0.0000000000","0.0125000000","0","2469","0.0200000000","-8.5000000000","-0.8500000000","-0.5000000000","-1.7000000000","-0.3130012994","ELIGIBLE","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","10","1740999597250","1740999597446","1740999597628","196","182","AVAILABLE","150.1070000000","150.1260000000","150.1165000000","-0.000066612710","0.000066612710","-0.0100000000","-0.0280000000","-0.0080000000","0.0000000000","0.0135000000","0","6024","0.0190000000","-10.0000000000","-1.0000000000","-0.5882352941","-2.0000000000","-0.3682386626","ELIGIBLE","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","30","1740999617250","1740999618579","1740999620018","1329","1439","STALE","150.0870000000","150.1040000000","150.0955000000","-0.000206513847","0.000206513847","-0.0310000000","-0.0480000000","0.0140000000","0.0000000000","0.0310000000","0","31329","0.0170000000","-31.0000000000","-3.1000000000","-1.8235294118","-6.2000000000","-1.1416197063","EXCLUDED","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","60","1740999647250","1740999647471","1740999647595","221","124","AVAILABLE","150.1100000000","150.1270000000","150.1185000000","-0.000053289813","0.000053289813","-0.0080000000","-0.0250000000","-0.0090000000","0.0020000000","0.0310000000","43008","31329","0.0170000000","-8.0000000000","-0.8000000000","-0.4705882353","-1.6000000000","-0.2945889677","ELIGIBLE","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","120","1740999707250","1740999709018","1740999712463","1768","3445","STALE","150.0930000000","150.1110000000","150.1020000000","-0.000163209023","0.000163209023","-0.0245000000","-0.0420000000","0.0070000000","0.0075000000","0.0310000000","65671","31329","0.0180000000","-24.5000000000","-2.4500000000","-1.4411764706","-4.9000000000","-0.9022282974","EXCLUDED","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","180","1740999767250","1740999767464","1740999768406","214","942","AVAILABLE","150.0840000000","150.1010000000","150.0925000000","-0.000226501322","0.000226501322","-0.0340000000","-0.0510000000","0.0170000000","0.0075000000","0.0595000000","65671","150246","0.0170000000","-34.0000000000","-3.4000000000","-2.0000000000","-6.8000000000","-1.2521115455","ELIGIBLE","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","300","1740999887250","1740999887323","1740999887713","73","390","AVAILABLE","150.0680000000","150.0880000000","150.0780000000","-0.000323113081","0.000323113081","-0.0485000000","-0.0670000000","0.0300000000","0.0075000000","0.0595000000","65671","150246","0.0200000000","-48.5000000000","-4.8500000000","-2.8529411765","-9.7000000000","-1.7861865701","ELIGIBLE","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","600","1741000187250","1741000187299","1741000192840","49","5541","STALE","150.0000000000","150.0190000000","150.0095000000","-0.000779646600","0.000779646600","-0.1170000000","-0.1350000000","0.0990000000","0.0075000000","0.1230000000","65671","506867","0.0190000000","-117.0000000000","-11.7000000000","-6.8823529412","-23.4000000000","-4.3099285325","EXCLUDED","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_1","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","1","USDJPY","LONG","900","1741000487250","1741000487586","1741000491812","336","4226","STALE","149.9530000000","149.9700000000","149.9615000000","-0.001099677539","0.001099677539","-0.1650000000","-0.1820000000","0.1480000000","0.0075000000","0.1790000000","65671","813351","0.0170000000","-165.0000000000","-16.5000000000","-9.7058823529","-33.0000000000","-6.0790768569","EXCLUDED","tickshock-medium-horizon-response-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_mh_2","ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9","8","USDJPY","LONG","5","1741001034000","1741001034092","1741001034868","92","776","AVAILABLE","150.0970000000","150.1120000000","150.1045000000","-0.000033309573","0.000033309573","-0.0050000000","-0.0200000000","-0.0100000000","0.0030000000","0.0060000000","2214","4874","0.0150000000","-5.0000000000","-0.5000000000","-0.3333333333","-5.0000000000","-0.2143796271","ELIGIBLE","tickshock-medium-horizon-response-v1"
