event_id,detector_version,market_cluster_id,representative,event_msc,symbol,time_bucket,trigger_horizon_ms,estimator,volatility_regime,matched,control_id,time_difference_ms,unmatched_reason
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","TAIL_V1_PERSISTENT","1","1","1740999587250","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1740999442750_50","144500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2","TAIL_V1_PERSISTENT","2","1","1740999625000","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1740999442750_50","182250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3","TAIL_V1_PERSISTENT","3","1","1740999661250","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1740999442750_50","218500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4","TAIL_V1_PERSISTENT","4","1","1740999760750","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1740999442750_50","318000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5","TAIL_V1_PERSISTENT","5","1","1740999845000","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1740999442750_50","402250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7","TAIL_V1_PERSISTENT","6","1","1741000198250","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741000060000_123","138250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8","TAIL_V1_PERSISTENT","7","1","1741000392750","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741000060000_123","332750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9","TAIL_V1_PERSISTENT","8","1","1741001029000","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741000879750_549","149250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10","TAIL_V1_PERSISTENT","9","1","1741001732500","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741001590500_769","142000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11","TAIL_V1_PERSISTENT","10","1","1741001791750","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741001590500_769","201250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12","TAIL_V1_PERSISTENT","11","1","1741002078000","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741001917250_783","160750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13","TAIL_V1_PERSISTENT","12","1","1741002364750","USDJPY","2","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741002211500_825","153250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15","TAIL_V1_PERSISTENT","13","1","1741013614250","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741013407500_1478","206750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013930500_18","TAIL_V1_PERSISTENT","14","1","1741013930500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741013809750_1575","120750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013937500_19","TAIL_V1_PERSISTENT","15","1","1741013937500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741013810250_1577","127250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014178500_20","TAIL_V1_PERSISTENT","16","1","1741014178500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741013810250_1577","368250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014453500_21","TAIL_V1_PERSISTENT","17","1","1741014453500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014328500_1608","125000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22","TAIL_V1_PERSISTENT","18","1","1741014606000","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","272750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714250_23","TAIL_V1_PERSISTENT","19","1","1741014714250","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","381000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014782000_25","TAIL_V1_PERSISTENT","20","1","1741014782000","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","448750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014791750_26","TAIL_V1_PERSISTENT","21","1","1741014791750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","458500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014870250_27","TAIL_V1_PERSISTENT","22","1","1741014870250","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","537000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015012750_28","TAIL_V1_PERSISTENT","23","1","1741015012750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","679500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015032750_29","TAIL_V1_PERSISTENT","24","1","1741015032750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","699500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015137500_30","TAIL_V1_PERSISTENT","25","1","1741015137500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","804250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015143750_32","TAIL_V1_PERSISTENT","26","1","1741015143750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","810500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015188250_33","TAIL_V1_PERSISTENT","27","1","1741015188250","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","855000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015205000_34","TAIL_V1_PERSISTENT","28","1","1741015205000","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","871750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015247250_36","TAIL_V1_PERSISTENT","29","1","1741015247250","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","914000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015356500_37","TAIL_V1_PERSISTENT","30","1","1741015356500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","1023250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015358750_38","TAIL_V1_PERSISTENT","31","1","1741015358750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","1025500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015603500_39","TAIL_V1_PERSISTENT","32","1","1741015603500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","1270250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015656750_40","TAIL_V1_PERSISTENT","33","1","1741015656750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741014333250_1611","1323500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016050750_41","TAIL_V1_PERSISTENT","34","1","1741016050750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741015925500_1924","125250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016191500_43","TAIL_V1_PERSISTENT","35","1","1741016191500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741015925500_1924","266000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016211500_44","TAIL_V1_PERSISTENT","36","1","1741016211500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741015925500_1924","286000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016313250_45","TAIL_V1_PERSISTENT","37","1","1741016313250","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741015925500_1924","387750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016524750_46","TAIL_V1_PERSISTENT","38","1","1741016524750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741015925500_1924","599250",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47","TAIL_V1_PERSISTENT","39","1","1741016712500","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741015925500_1924","787000",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016960750_49","TAIL_V1_PERSISTENT","40","1","1741016960750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741016837250_1937","123500",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017127000_50","TAIL_V1_PERSISTENT","41","1","1741017127000","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741016837250_1937","289750",""
"ts15h_detection_time_continuation_r1_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017467750_51","TAIL_V1_PERSISTENT","42","1","1741017467750","USDJPY","3","250","1","NORMAL","true","USDJPY_TAIL_V1_PERSISTENT_ctrl_h0_1741017347000_2124","120750",""
