"mode","failure_type","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"new_range_boundary_reversion_fixedR","other","218","1","4754.39","INF","206.043","0.9452","INF"
"new_range_boundary_reversion_fixedR","stop_outside_range_hit","180","0","-4600.46","0","-197.2058","-1.0956","0"
"new_range_boundary_reversion_fixedR","no_mean_reversion","52","0.0385","-376.65","0.0007","-16.6087","-0.3194","0"
"new_range_boundary_reversion_fixedR","bad_regime","50","0","-1029.31","0","-45.0399","-0.9008","0"
"new_range_boundary_reversion_to_mid","other","119","1","2996.48","INF","129.2177","1.0859","INF"
"new_range_boundary_reversion_to_mid","target_too_far","53","0","-1488.77","0","-61.0283","-1.1515","0"
"new_range_boundary_reversion_to_mid","no_mean_reversion","26","0.0385","-206.16","0.0002","-9.0577","-0.3484","0"
"new_range_boundary_reversion_to_mid","stop_outside_range_hit","67","0","-1683.87","0","-72.8315","-1.087","0"
"new_range_boundary_reversion_to_mid","bad_regime","33","0","-714.82","0","-31.1785","-0.9448","0"
"new_range_boundary_reversion_to_mid_with_trend_filter","other","120","1","3292.88","INF","144.4764","1.204","INF"
"new_range_boundary_reversion_to_mid_with_trend_filter","stop_outside_range_hit","86","0","-2125.22","0","-93.4521","-1.0867","0"
"new_range_boundary_reversion_to_mid_with_trend_filter","no_mean_reversion","37","0.027","-221.11","0.0002","-9.624","-0.2601","0"
"new_range_boundary_reversion_to_mid_with_trend_filter","target_too_far","75","0","-2003.32","0","-84.7305","-1.1297","0"
"new_range_boundary_reversion_to_mid_with_boundary_only","target_too_far","54","0","-1487.6","0","-62.0472","-1.149","0"
"new_range_boundary_reversion_to_mid_with_boundary_only","no_mean_reversion","11","0","-93.66","0","-3.9046","-0.355","0"
"new_range_boundary_reversion_to_mid_with_boundary_only","stop_outside_range_hit","45","0","-1175.41","0","-50.6378","-1.1253","0"
"new_range_boundary_reversion_to_mid_with_boundary_only","other","63","1","2132.69","INF","92.7405","1.4721","INF"
"new_range_boundary_reversion_to_mid_with_boundary_only","bad_regime","30","0","-679.72","0","-30.0902","-1.003","0"
