"mode","range_position","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"new_range_boundary_reversion_fixedR","lower_boundary","222","0.4595","-641.44","0.7743","-26.4784","-0.1193","0.7823"
"new_range_boundary_reversion_fixedR","upper_boundary","278","0.4245","-610.59","0.8071","-26.333","-0.0947","0.8081"
"new_range_boundary_reversion_to_mid","lower_boundary","143","0.4126","-808.86","0.6258","-34.1889","-0.2391","0.6299"
"new_range_boundary_reversion_to_mid","upper_boundary","155","0.3935","-288.28","0.8508","-10.6894","-0.069","0.8692"
"new_range_boundary_reversion_to_mid_with_trend_filter","lower_boundary","126","0.4048","-628.44","0.6564","-26.3188","-0.2089","0.6645"
"new_range_boundary_reversion_to_mid_with_trend_filter","upper_boundary","192","0.3646","-428.33","0.8301","-17.0114","-0.0886","0.8444"
"new_range_boundary_reversion_to_mid_with_boundary_only","upper_boundary","100","0.31","-359.14","0.7638","-13.5417","-0.1354","0.7904"
"new_range_boundary_reversion_to_mid_with_boundary_only","lower_boundary","103","0.3107","-944.56","0.5071","-40.3976","-0.3922","0.5078"
