"mode","month","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"new_range_boundary_reversion_fixedR","2025-01","60","0.5667","230.99","1.4371","9.9349","0.1656","1.4607"
"new_range_boundary_reversion_fixedR","2025-02","67","0.5522","-201.93","0.7916","-7.7083","-0.115","0.8068"
"new_range_boundary_reversion_fixedR","2025-03","65","0.4154","-150.08","0.8231","-5.8879","-0.0906","0.8326"
"new_range_boundary_reversion_fixedR","2025-04","97","0.4536","-213.48","0.8083","-8.4737","-0.0874","0.8243"
"new_range_boundary_reversion_fixedR","2025-05","56","0.3929","-327.03","0.5656","-14.0592","-0.2511","0.5735"
"new_range_boundary_reversion_fixedR","2025-06","47","0.4043","-116.82","0.7808","-5.0294","-0.107","0.7872"
"new_range_boundary_reversion_fixedR","2025-07","19","0.3684","-41.83","0.8174","-1.9323","-0.1017","0.812"
"new_range_boundary_reversion_fixedR","2025-08","40","0.4","-134.96","0.7208","-5.9101","-0.1478","0.7284"
"new_range_boundary_reversion_fixedR","2025-09","29","0.3103","-131.75","0.5675","-5.9894","-0.2065","0.5713"
"new_range_boundary_reversion_fixedR","2025-10","20","0.25","-165.14","0.3239","-7.756","-0.3878","0.3192"
"new_range_boundary_reversion_to_mid","2025-01","58","0.5345","426.51","1.7626","17.9599","0.3097","1.7946"
"new_range_boundary_reversion_to_mid","2025-02","58","0.4828","-491.09","0.5109","-19.4607","-0.3355","0.5273"
"new_range_boundary_reversion_to_mid","2025-03","59","0.3051","-203.35","0.7809","-7.8796","-0.1336","0.7946"
"new_range_boundary_reversion_to_mid","2025-04","92","0.3696","-507.75","0.5554","-21.6257","-0.2351","0.579"
"new_range_boundary_reversion_to_mid","2025-05","31","0.2903","-321.46","0.3016","-13.8722","-0.4475","0.3266"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-01","32","0.5","131.16","1.4265","5.5238","0.1726","1.4358"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-02","39","0.4872","-424.27","0.451","-17.1255","-0.4391","0.4656"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-03","37","0.3514","19.42","1.0358","1.3226","0.0357","1.0586"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-04","59","0.4407","-100.39","0.8417","-3.8756","-0.0657","0.8584"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-05","27","0.3333","-228.31","0.3905","-9.7187","-0.36","0.4043"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-06","33","0.303","-39.97","0.9192","-1.6413","-0.0497","0.9253"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-07","9","0.4444","-27.66","0.808","-0.8192","-0.091","0.8682"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-08","24","0.2917","-227.11","0.3443","-10.135","-0.4223","0.3409"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-09","18","0.2222","-139.12","0.3825","-6.3472","-0.3526","0.385"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-10","11","0.3636","104.21","1.8745","4.9091","0.4463","1.9364"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-11","11","0.3636","-45.86","0.6673","-1.9629","-0.1784","0.6856"
"new_range_boundary_reversion_to_mid_with_trend_filter","2025-12","18","0.2778","-78.87","0.686","-3.4603","-0.1922","0.6977"
"new_range_boundary_reversion_to_mid_with_boundary_only","2025-01","35","0.4","217.58","1.4913","9.1325","0.2609","1.5094"
"new_range_boundary_reversion_to_mid_with_boundary_only","2025-02","40","0.425","-560.67","0.3814","-22.7162","-0.5679","0.3933"
"new_range_boundary_reversion_to_mid_with_boundary_only","2025-03","42","0.2619","-123.41","0.8321","-4.0653","-0.0968","0.8664"
"new_range_boundary_reversion_to_mid_with_boundary_only","2025-04","60","0.3167","-369.96","0.5571","-15.2603","-0.2543","0.5931"
"new_range_boundary_reversion_to_mid_with_boundary_only","2025-05","26","0.0769","-467.24","0.0961","-21.03","-0.8088","0.1009"
