"mode","symbol","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"new_range_boundary_reversion_fixedR","USDJPY","192","0.4844","-63.62","0.9694","-2.1406","-0.0111","0.9761"
"new_range_boundary_reversion_fixedR","EURJPY","67","0.5224","23.33","1.0346","0.8582","0.0128","1.0292"
"new_range_boundary_reversion_fixedR","EURUSD","72","0.4167","-416.26","0.6178","-16.9724","-0.2357","0.6306"
"new_range_boundary_reversion_fixedR","GBPUSD","70","0.2857","-747.03","0.3395","-32.3181","-0.4617","0.3384"
"new_range_boundary_reversion_fixedR","AUDJPY","30","0.5333","159.9","1.8204","6.7381","0.2246","1.7825"
"new_range_boundary_reversion_fixedR","GBPJPY","69","0.3768","-208.35","0.7511","-8.9766","-0.1301","0.7549"
"new_range_boundary_reversion_to_mid","USDJPY","102","0.4314","15.42","1.0118","0.9928","0.0097","1.0181"
"new_range_boundary_reversion_to_mid","EURJPY","41","0.5366","4.26","1.0102","0.2397","0.0058","1.0132"
"new_range_boundary_reversion_to_mid","EURUSD","46","0.3478","-425.2","0.5136","-17.0056","-0.3697","0.5318"
"new_range_boundary_reversion_to_mid","GBPUSD","41","0.2439","-528.37","0.3003","-22.7955","-0.556","0.2961"
"new_range_boundary_reversion_to_mid","AUDJPY","22","0.4545","44.43","1.3024","2.718","0.1235","1.4257"
"new_range_boundary_reversion_to_mid","GBPJPY","46","0.3913","-207.68","0.651","-9.0277","-0.1963","0.6535"
"new_range_boundary_reversion_to_mid_with_trend_filter","USDJPY","121","0.4215","-135.64","0.9075","-4.9382","-0.0408","0.9224"
"new_range_boundary_reversion_to_mid_with_trend_filter","AUDJPY","15","0.3333","-10.76","0.9026","-0.4654","-0.031","0.9028"
"new_range_boundary_reversion_to_mid_with_trend_filter","EURUSD","51","0.3137","-325.21","0.6595","-12.8232","-0.2514","0.6805"
"new_range_boundary_reversion_to_mid_with_trend_filter","GBPJPY","46","0.3696","-177.45","0.6702","-7.836","-0.1703","0.6674"
"new_range_boundary_reversion_to_mid_with_trend_filter","GBPUSD","48","0.3333","-432.48","0.4491","-18.5618","-0.3867","0.456"
"new_range_boundary_reversion_to_mid_with_trend_filter","EURJPY","37","0.4324","24.77","1.0501","1.2944","0.035","1.0601"
"new_range_boundary_reversion_to_mid_with_boundary_only","USDJPY","72","0.3194","-117.27","0.8921","-5.3689","-0.0746","0.8836"
"new_range_boundary_reversion_to_mid_with_boundary_only","EURJPY","25","0.32","-130.73","0.669","-5.2255","-0.209","0.6957"
"new_range_boundary_reversion_to_mid_with_boundary_only","EURUSD","26","0.2308","-373.15","0.4494","-14.9896","-0.5765","0.4619"
"new_range_boundary_reversion_to_mid_with_boundary_only","AUDJPY","15","0.4667","19.29","1.1655","1.6192","0.1079","1.3143"
"new_range_boundary_reversion_to_mid_with_boundary_only","GBPJPY","41","0.3415","-250.28","0.5737","-10.7514","-0.2622","0.5869"
"new_range_boundary_reversion_to_mid_with_boundary_only","GBPUSD","24","0.2083","-451.56","0.2116","-19.2231","-0.801","0.2106"
