"scenario","mode","closed_trades","mt5_total_trades","net_profit","gross_profit","gross_loss","profit_factor","expected_payoff","balance_max_dd","equity_max_dd","recovery_factor","avg_r","r_profit_factor","win_rate_from_trades","final_equity","peak_equity","drawdown_stopped","daily_stopped","passed_trade_count","passed_pf_floor","passed_avg_r","passed_net","passed_dd_stop","passed_direction_balance","passed_symbol_concentration","passed_2025_shallow_gate","promoted_to_3y_oos"
"A","previous_range_reversion","494","494","-823.84","6260.58","-7084.42","0.88","-1.67","1617.94","1618.78","-0.51","-0.0642","0.8895","0.4372","9176.16","10795.64","true","false","True","False","False","False","False","False","False","False","False"
"B","new_range_boundary_reversion_fixedR","500","500","-1252.03","4754.65","-6006.68","0.79","-2.5","1495.81","1544.4","-0.81","-0.1056","0.796","0.44","8747.97","10286.73","true","false","True","False","False","False","False","False","False","False","False"
"C","new_range_boundary_reversion_to_mid","298","298","-1097.14","2996.53","-4093.67","0.73","-3.68","1548.85","1586.25","-0.69","-0.1506","0.7422","0.4027","8902.86","10492.04","true","false","True","False","False","False","False","False","False","False","False"
"D","new_range_boundary_reversion_to_mid_with_trend_filter","318","318","-1056.77","3292.93","-4349.7","0.76","-3.32","1330.86","1373.54","-0.77","-0.1363","0.7693","0.3805","8943.23","10196.69","false","false","True","False","False","False","True","False","False","False","False"
"E","new_range_boundary_reversion_to_mid_with_boundary_only","203","203","-1303.7","2132.69","-3436.39","0.62","-6.42","1546.48","1583.76","-0.82","-0.2657","0.6323","0.3103","8696.3","10283.11","true","false","True","False","False","False","False","False","False","False","False"
