check_id,category,status,actual,evidence_path
S15F-QA-001,step15e_audit,PASS,direction_formula_candidate_decision_and_funnel_reconciled,docs/research/tick_shock/15e_reversal_coverage_audit.md
S15F-QA-002,deterministic_suite,PASS,PASS_313_FAIL_0_SKIP_9,reports/tests/tick_shock/step15f_green/suite_results.csv
S15F-QA-003,compile,PASS,targets_17_errors_0_warnings_0,reports/tests/tick_shock/step15f_green/compile_results.csv
S15F-QA-004,independent_oracle,PASS,rows_37_differences_0,reports/tests/tick_shock/step15f_green/independent_oracle.csv
S15F-QA-005,behavior_regression,PASS,mismatches_0,reports/refactor/tick_shock/step15f_behavior_comparison.csv
S15F-QA-006,parameter_regression,PASS,differences_0,reports/refactor/tick_shock/step15f_parameter_diff.csv
S15F-QA-007,causal_integrity,PASS,future_0_backdate_0_drop_0_capacity_0_duplicate_episode_0,reports/backtest/runs/20260831_ts15f_tail_v1_persistent_context_r3_202503/medium_horizon_episode_summary.csv
S15F-QA-008,production_orders,PASS,orders_0,reports/backtest/runs/20260831_ts15f_tail_v1_persistent_context_r3_202503/trades.csv
S15F-QA-009,feature_registry,PASS,features_36_interactions_12_spec_hash_frozen,reports/analysis/tick_shock/step15f/feature_registry.csv
S15F-QA-010,feature_coverage,PASS,episode_rows_6302_complete_rows_3902,reports/backtest/runs/20260831_ts15f_tail_v1_persistent_context_r3_202503/episode_context_features.csv
S15F-QA-011,matched_controls,PASS,anchors_6254_rows_12508,reports/analysis/tick_shock/step15f/matched_control_results.csv
S15F-QA-012,model_gate,PASS,best_mean_0.062832_ci_low_-0.024420_holm_1.000000_candidate_rows_0,reports/analysis/tick_shock/step15f/model_comparison.csv
S15F-QA-013,tick_quality,PARTIAL,GBPUSD_179_of_30187_fallback_minutes_all_417_episodes_excluded,reports/backtest/runs/20260831_ts15f_tail_v1_persistent_context_r3_202503/tick_quality.csv
S15F-QA-014,cost_model,INCOMPLETE,commission_and_live_slippage_not_established_for_all_six_symbols,reports/analysis/tick_shock/step15f/cost_sensitivity.csv
S15F-QA-015,promotion,STOP,NO_CONTEXT_RULE_HYPOTHESIS_FROZEN_EDGE_UNDETERMINED_PRODUCTION_NOT_ELIGIBLE,docs/research/tick_shock/15f_context_candidate_registry.md
