episode_id,event_id,market_cluster_id,symbol,shock_direction,t0_msc,feature_status,h1,h2,h3,h4,action,action_direction,entry_eligible_msc,entry_quote_msc,entry_processing_msc,entry_bid,entry_ask,entry_price,atr14_m5,risk_distance,tp_distance,sl,tp,exit_msc,exit_price,result,gross_r,net_r_commission_002,net_r_commission_005,net_r_commission_010,mfe_r,mae_r,deadline_msc,feature_spec_sha256,schema_version
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_1","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743532556250_1","1","USDJPY","SHORT","1743532556468","TARGET_STALE","false","false","false","false","CONTINUATION","SHORT","1743532556468","1743532556762","1743532557081","149.3050000000","149.3220000000","149.3050000000","0.112969012754","0.028242253188","0.045187605102","149.3332422532","149.2598123949","1743532569729","149.3340000000","SL_FIRST","-1.026830253467","-1.046830253467","-1.076830253467","-1.126830253467","0.000000000000","1.026830253467","1743533456468","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_1","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743532556250_1","1","USDJPY","SHORT","1743532556468","TARGET_STALE","false","false","false","false","REVERSAL","LONG","1743532556468","1743532556762","1743532557081","149.3050000000","149.3220000000","149.3220000000","0.112969012754","0.028242253188","0.045187605102","149.2937577468","149.3671876051","1743532588331","149.2920000000","SL_FIRST","-1.062238193242","-1.082238193242","-1.112238193242","-1.162238193242","0.000000000000","1.062238193242","1743533456468","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_2","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743534630250_16","9","USDJPY","LONG","1743534630743","CROSS_SYMBOL_STALE","false","false","false","false","CONTINUATION","LONG","1743534630743","1743534630744","1743534632953","149.5270000000","149.5460000000","149.5460000000","0.105423472699","0.026355868175","0.042169389079","149.5196441318","149.5881693891","1743534821972","149.5881693891","TP_FIRST","1.600000000000","1.580000000000","1.550000000000","1.500000000000","1.631515217601","0.758844287256","1743535530743","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_2","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743534630250_16","9","USDJPY","LONG","1743534630743","CROSS_SYMBOL_STALE","false","false","false","false","REVERSAL","SHORT","1743534630743","1743534630744","1743534632953","149.5270000000","149.5460000000","149.5270000000","0.105423472699","0.026355868175","0.042169389079","149.5533558682","149.4848306109","1743534633058","149.5540000000","SL_FIRST","-1.024439787797","-1.044439787797","-1.074439787797","-1.124439787797","0.000000000000","1.024439787797","1743535530743","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_3","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743537003750_29","16","USDJPY","LONG","1743537005420","TARGET_STALE","false","false","false","false","CONTINUATION","LONG","1743537005420","1743537005544","1743537006028","149.5170000000","149.5350000000","149.5350000000","0.100565315975","0.025141328994","0.040226126390","149.5098586710","149.5752261264","1743537302313","149.5030000000","SL_FIRST","-1.272804632088","-1.292804632088","-1.322804632088","-1.372804632088","1.113704053076","1.272804632088","1743537905420","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_3","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743537003750_29","16","USDJPY","LONG","1743537005420","TARGET_STALE","false","false","false","false","REVERSAL","SHORT","1743537005420","1743537005544","1743537006028","149.5170000000","149.5350000000","149.5170000000","0.100565315975","0.025141328994","0.040226126390","149.5421413290","149.4767738736","1743537012580","149.5450000000","SL_FIRST","-1.113704053076","-1.133704053076","-1.163704053076","-1.213704053076","0.000000000000","1.113704053076","1743537905420","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_4","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743608748750_31","17","USDJPY","LONG","1743608749830","TARGET_STALE","false","false","false","false","CONTINUATION","LONG","1743608749830","1743608750237","1743608751649","149.1950000000","149.2130000000","149.2130000000","0.071309870557","0.017827467639","0.028523948223","149.1951725324","149.2415239482","1743608773957","149.1950000000","SL_FIRST","-1.009677895049","-1.029677895049","-1.059677895049","-1.109677895049","0.056093216392","1.009677895049","1743609649830","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_4","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743608748750_31","17","USDJPY","LONG","1743608749830","TARGET_STALE","false","false","false","false","REVERSAL","SHORT","1743608749830","1743608750237","1743608751649","149.1950000000","149.2130000000","149.1950000000","0.071309870557","0.017827467639","0.028523948223","149.2128274676","149.1664760518","1743608750436","149.2140000000","SL_FIRST","-1.065771111441","-1.085771111441","-1.115771111441","-1.165771111441","0.000000000000","1.065771111441","1743609649830","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_5","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743611641000_35","20","USDJPY","LONG","1743611641378","CROSS_SYMBOL_STALE","false","false","false","false","CONTINUATION","LONG","1743611641378","1743611642094","1743611644189","149.2990000000","149.3190000000","149.3190000000","0.062623154649","0.015655788662","0.025049261860","149.3033442113","149.3440492619","1743611642396","149.2980000000","SL_FIRST","-1.341356890598","-1.361356890598","-1.391356890598","-1.441356890598","0.000000000000","1.341356890598","1743612541378","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
"ts15o_cross_fx_lead_lag_r2_202504_USDJPY_mh_5","ts15o_cross_fx_lead_lag_r2_202504_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1743611641000_35","20","USDJPY","LONG","1743611641378","CROSS_SYMBOL_STALE","false","false","false","false","REVERSAL","SHORT","1743611641378","1743611642094","1743611644189","149.2990000000","149.3190000000","149.2990000000","0.062623154649","0.015655788662","0.025049261860","149.3146557887","149.2739507381","1743611642396","149.3180000000","SL_FIRST","-1.213608615304","-1.233608615304","-1.263608615304","-1.313608615304","0.000000000000","1.213608615304","1743612541378","2CDB617B542C9E1801C205630ED7364796B5569E9D438BE957B243511201F17D","tickshock-cross-fx-lead-lag-v1"
