event_id,market_cluster_id,symbol,strategy,direction,signal_msc,processing_msc,eligible_msc,entry_quote_msc,entry_bid,entry_ask,entry_price,entry_side,local_scale,entry_status,censored,schema_version
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,detection_time_continuation,LONG,1740999587250,1740999587465,1740999587465,1740999587677,150.113,150.129,150.129,ASK,0.002082183902,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,post_burst_continuation,LONG,1740999587677,1740999588575,1740999588575,1740999588757,150.114,150.131,150.131,ASK,0.002082183902,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,failed_shock_reversal,SHORT,1740999588198,1740999588575,1740999588575,1740999588757,150.114,150.131,150.114,BID,0.002082183902,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,USDJPY,detection_time_continuation,LONG,1740999625000,1740999627049,1740999627049,1740999627049,150.113,150.128,150.128,ASK,0.002067607758,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,USDJPY,post_burst_continuation,LONG,1740999625361,1740999627049,1740999627049,1740999627049,150.113,150.128,150.128,ASK,0.002067607758,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,USDJPY,detection_time_continuation,SHORT,1740999661250,1740999663515,1740999663515,1740999663515,150.095,150.114,150.095,BID,0.002073286229,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,USDJPY,post_burst_continuation,SHORT,1740999661611,1740999663515,1740999663515,1740999663515,150.095,150.114,150.095,BID,0.002073286229,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,USDJPY,failed_shock_reversal,LONG,1740999661831,1740999663515,1740999663515,1740999663515,150.095,150.114,150.114,ASK,0.002073286229,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,USDJPY,detection_time_continuation,LONG,1740999760750,1740999765795,1740999765795,1740999766359,150.092,150.108,150.108,ASK,0.002067741184,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,USDJPY,post_burst_continuation,LONG,1740999761204,1740999765795,1740999765795,1740999766359,150.092,150.108,150.108,ASK,0.002067741184,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,USDJPY,failed_shock_reversal,SHORT,1740999762250,1740999765795,1740999765795,1740999766359,150.092,150.108,150.092,BID,0.002067741184,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,USDJPY,detection_time_continuation,LONG,1740999845250,1740999846847,1740999846847,1740999847355,150.099,150.117,150.117,ASK,0.00207146453,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,USDJPY,post_burst_continuation,LONG,1740999845774,1740999846847,1740999846847,1740999847355,150.099,150.117,150.117,ASK,0.00207146453,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,USDJPY,failed_shock_reversal,SHORT,1740999846818,1740999846847,1740999846847,1740999847355,150.099,150.117,150.099,BID,0.00207146453,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,USDJPY,detection_time_continuation,LONG,1740999845000,1740999846847,1740999846847,1740999847355,150.099,150.117,150.117,ASK,0.002071388631,ENTERED,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,USDJPY,post_burst_continuation,LONG,1740999845327,1740999846847,1740999846847,1740999847355,150.099,150.117,150.117,ASK,0.002071388631,ENTERED,False,tickshock-state-conditioned-response-v1
