left_out_hour,candidate_id,episodes,selected_episodes,probability,unconditional_probability,lift
0,SR-CLEAN-001,3253,694,0.579250720461095,0.32677528435290504,1.7726270871683367
1,SR-CLEAN-001,3193,680,0.5764705882352941,0.32696523645474473,1.7630944331755691
2,SR-CLEAN-001,3172,679,0.5861561119293078,0.3297604035308953,1.7775212113190866
3,SR-CLEAN-001,3152,676,0.5798816568047337,0.3293147208121827,1.7608737786594613
4,SR-CLEAN-001,3127,657,0.573820395738204,0.3245922609529901,1.7678190911067624
5,SR-CLEAN-001,3136,670,0.5850746268656717,0.328125,1.783084577114428
6,SR-CLEAN-001,3177,676,0.5828402366863905,0.3273528485993075,1.7804648384160218
7,SR-CLEAN-001,3195,678,0.5825958702064897,0.3286384976525822,1.77275600505689
8,SR-CLEAN-001,3136,669,0.5754857997010463,0.3294005102040816,1.7470701528194397
9,SR-CLEAN-001,3108,651,0.5729646697388633,0.3236808236808237,1.7701532739049572
10,SR-CLEAN-001,3096,657,0.5844748858447488,0.32945736434108525,1.7740531829170025
11,SR-CLEAN-001,3095,644,0.5916149068322981,0.32730210016155087,1.8075499868173375
12,SR-CLEAN-001,3158,672,0.5818452380952381,0.3305889803673211,1.7600261129355959
13,SR-CLEAN-001,3159,670,0.5895522388059702,0.3285849952516619,1.7942153394875335
14,SR-CLEAN-001,3139,660,0.5803030303030303,0.3236699585855368,1.7928850513004055
15,SR-CLEAN-001,3114,663,0.5867269984917044,0.329800899165061,1.7790339564782547
16,SR-CLEAN-001,3100,663,0.5746606334841629,0.32645161290322583,1.7603240749020796
17,SR-CLEAN-001,3083,664,0.5843373493975904,0.32954914044761596,1.7731417797172946
18,SR-CLEAN-001,3112,655,0.5801526717557252,0.3306555269922879,1.75455307531955
19,SR-CLEAN-001,3139,672,0.5818452380952381,0.3297228416693214,1.764649470899471
20,SR-CLEAN-001,3143,669,0.5814648729446936,0.3289850461342666,1.7674507695021007
21,SR-CLEAN-001,3179,674,0.5845697329376854,0.3280905945265807,1.7817326759433385
22,SR-CLEAN-001,3185,681,0.5844346549192364,0.33092621664050237,1.7660572826544287
23,SR-CLEAN-001,3204,680,0.5794117647058824,0.3274032459425718,1.769719060169349
0,SR-CLEAN-002,3253,807,0.31970260223048325,0.32677528435290504,0.978356128932984
1,SR-CLEAN-002,3193,786,0.3256997455470738,0.32696523645474473,0.9961295857584356
2,SR-CLEAN-002,3172,777,0.31917631917631917,0.3297604035308953,0.9679037136016104
