left_out_symbol,candidate_id,episodes,selected_episodes,probability,unconditional_probability,lift
AUDUSD,SR-CLEAN-001,2926,627,0.5709728867623605,0.3298017771701982,1.73126079447323
EURUSD,SR-CLEAN-001,3180,673,0.5854383358098069,0.3289308176100629,1.7798220916588776
GBPUSD,SR-CLEAN-001,3005,632,0.5886075949367089,0.3287853577371048,1.7902488084866501
USDCAD,SR-CLEAN-001,2636,560,0.5928571428571429,0.325113808801214,1.8235372562093681
USDCHF,SR-CLEAN-001,3067,640,0.5625,0.3205086403651777,1.7550228891149544
USDJPY,SR-CLEAN-001,1611,358,0.5977653631284916,0.34202358783364367,1.7477313974591653
AUDUSD,SR-CLEAN-002,2926,710,0.3295774647887324,0.3298017771701982,0.999319856965628
EURUSD,SR-CLEAN-002,3180,810,0.32098765432098764,0.3289308176100629,0.9758515685857942
GBPUSD,SR-CLEAN-002,3005,808,0.3217821782178218,0.3287853577371048,0.9786998436685774
USDCAD,SR-CLEAN-002,2636,747,0.31860776439089694,0.325113808801214,0.9799884094917203
USDCHF,SR-CLEAN-002,3067,745,0.31409395973154364,0.3205086403651777,0.9799859353984175
USDJPY,SR-CLEAN-002,1611,245,0.3224489795918367,0.34202358783364367,0.9427682506759509
AUDUSD,SR-DEAD-001,2926,455,0.16923076923076924,0.17088174982911825,0.9903384615384616
EURUSD,SR-DEAD-001,3180,590,0.17627118644067796,0.17264150943396225,1.0210243586181347
GBPUSD,SR-DEAD-001,3005,520,0.17692307692307693,0.17271214642262894,1.0243812064621314
USDCAD,SR-DEAD-001,2636,384,0.1640625,0.16881638846737482,0.9718398876404494
USDCHF,SR-DEAD-001,3067,527,0.18785578747628084,0.17737202477991523,1.0591060665252818
USDJPY,SR-DEAD-001,1611,599,0.17529215358931552,0.17566728739913098,0.9978645209624992
AUDUSD,SR-NOTRADE-001,2926,176,0.1534090909090909,0.17088174982911825,0.89775
EURUSD,SR-NOTRADE-001,3180,196,0.15306122448979592,0.17264150943396225,0.8865841418534628
GBPUSD,SR-NOTRADE-001,3005,193,0.15544041450777202,0.17271214642262894,0.8999970050016473
USDCAD,SR-NOTRADE-001,2636,182,0.14285714285714285,0.16881638846737482,0.8462279293739967
USDCHF,SR-NOTRADE-001,3067,187,0.1443850267379679,0.17737202477991523,0.8140236709657124
USDJPY,SR-NOTRADE-001,1611,46,0.21739130434782608,0.17566728739913098,1.2375172837609463
AUDUSD,SR-REV-001,2926,261,0.8199233716475096,0.4254955570745044,1.9269845666189664
EURUSD,SR-REV-001,3180,284,0.8309859154929577,0.42641509433962266,1.9487722796958742
GBPUSD,SR-REV-001,3005,266,0.8308270676691729,0.42462562396006653,1.956610766728734
USDCAD,SR-REV-001,2636,241,0.8340248962655602,0.4301972685887709,1.9387033743880218
USDCHF,SR-REV-001,3067,277,0.8375451263537906,0.42647538311053146,1.9638768367944006
USDJPY,SR-REV-001,1611,111,0.8648648648648649,0.4227188081936685,2.045957852125253
AUDUSD,SR-WHIP-001,2926,278,0.0,0.0,
EURUSD,SR-WHIP-001,3180,293,0.0,0.0,
GBPUSD,SR-WHIP-001,3005,283,0.0,0.0,
USDCAD,SR-WHIP-001,2636,260,0.0,0.0,
USDCHF,SR-WHIP-001,3067,291,0.0,0.0,
USDJPY,SR-WHIP-001,1611,90,0.0,0.0,
