left_out_day,candidate_id,episodes,selected_episodes,probability,unconditional_probability,lift
2025-03-03,SR-CLEAN-001,3231,686,0.5816326530612245,0.3283813060971835,1.7712112177576025
2025-03-04,SR-CLEAN-001,3094,662,0.5861027190332326,0.33096315449256625,1.7709002077039275
2025-03-05,SR-CLEAN-001,3116,661,0.5794251134644478,0.33119383825417203,1.7495045092589334
2025-03-06,SR-CLEAN-001,3134,673,0.5928677563150074,0.3337587747287811,1.7763360882325365
2025-03-07,SR-CLEAN-001,3105,662,0.5785498489425982,0.32689210950080516,1.769849537898293
2025-03-10,SR-CLEAN-001,3094,659,0.575113808801214,0.32546864899806077,1.7670328941717537
2025-03-11,SR-CLEAN-001,3089,669,0.5874439461883408,0.3321463256717384,1.7686299705417008
2025-03-12,SR-CLEAN-001,3146,662,0.5800604229607251,0.3267641449459631,1.7751654578156044
2025-03-13,SR-CLEAN-001,3119,666,0.5825825825825826,0.3270278935556268,1.7814461520343874
2025-03-14,SR-CLEAN-001,3137,664,0.5798192771084337,0.3289767293592604,1.7624932871018961
2025-03-17,SR-CLEAN-001,3128,664,0.5828313253012049,0.3248081841432225,1.7943862062422922
2025-03-18,SR-CLEAN-001,3153,679,0.5787923416789397,0.33143038376149697,1.7463466538887051
2025-03-19,SR-CLEAN-001,3150,669,0.5844544095665172,0.3323809523809524,1.7583871921055674
2025-03-20,SR-CLEAN-001,3126,654,0.5749235474006116,0.32629558541266795,1.7619715776218743
2025-03-21,SR-CLEAN-001,3133,672,0.5788690476190477,0.3271624640919247,1.7693626596980256
2025-03-24,SR-CLEAN-001,3144,668,0.5808383233532934,0.3279262086513995,1.771247030671925
2025-03-25,SR-CLEAN-001,3138,668,0.5823353293413174,0.3247291268323773,1.7932956461953424
2025-03-26,SR-CLEAN-001,3120,653,0.5880551301684533,0.3278846153846154,1.7934819219213827
2025-03-27,SR-CLEAN-001,3089,654,0.581039755351682,0.3234056328909032,1.7966284327140598
2025-03-28,SR-CLEAN-001,3143,663,0.583710407239819,0.32993954820235444,1.7691435004385259
2025-03-31,SR-CLEAN-001,3111,652,0.5751533742331288,0.3236901317904211,1.7768640985494177
2025-03-03,SR-CLEAN-002,3231,793,0.32156368221941994,0.3283813060971835,0.9792386967492421
2025-03-04,SR-CLEAN-002,3094,757,0.32100396301188905,0.33096315449256625,0.9699084585535007
2025-03-05,SR-CLEAN-002,3116,758,0.32189973614775724,0.33119383825417203,0.9719375754228794
2025-03-06,SR-CLEAN-002,3134,761,0.3311432325886991,0.3337587747287811,0.9921633756529473
