event_id,market_cluster_id,symbol,strategy,direction,entry_quote_msc,mfe,mae,time_to_mfe_ms,time_to_mae_ms,barrier_05_result,barrier_05_msc,barrier_10_result,barrier_10_msc,barrier_20_result,barrier_20_msc,timeout_return,max_tolerable_cost,censored,schema_version
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,detection_time_continuation,LONG,1740999587677,0.0,0.042,0,30902,REVERSAL_FIRST,1740999588198.0,REVERSAL_FIRST,1740999588198.0,REVERSAL_FIRST,1740999588198.0,-0.033,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,post_burst_continuation,LONG,1740999588757,0.0,0.044,0,29822,REVERSAL_FIRST,1740999589036.0,REVERSAL_FIRST,1740999589036.0,REVERSAL_FIRST,1740999589036.0,-0.035,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,USDJPY,failed_shock_reversal,SHORT,1740999588757,0.01,0.029,29822,64597,REVERSAL_FIRST,1740999589036.0,REVERSAL_FIRST,1740999589036.0,REVERSAL_FIRST,1740999589036.0,0.003,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,USDJPY,detection_time_continuation,LONG,1740999627049,0.0,0.07,0,110447,REVERSAL_FIRST,1740999627264.0,REVERSAL_FIRST,1740999627264.0,REVERSAL_FIRST,1740999627264.0,-0.049,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,USDJPY,post_burst_continuation,LONG,1740999627049,0.0,0.07,0,110447,REVERSAL_FIRST,1740999627264.0,REVERSAL_FIRST,1740999627264.0,REVERSAL_FIRST,1740999627264.0,-0.049,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,USDJPY,detection_time_continuation,SHORT,1740999663515,0.019,0.025,73981,2339,REVERSAL_FIRST,1740999664020.0,REVERSAL_FIRST,1740999664020.0,REVERSAL_FIRST,1740999664020.0,-0.007,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,USDJPY,post_burst_continuation,SHORT,1740999663515,0.019,0.025,73981,2339,REVERSAL_FIRST,1740999664020.0,REVERSAL_FIRST,1740999664020.0,REVERSAL_FIRST,1740999664020.0,-0.007,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,USDJPY,failed_shock_reversal,LONG,1740999663515,0.0,0.056,0,73981,REVERSAL_FIRST,1740999664020.0,REVERSAL_FIRST,1740999664020.0,REVERSAL_FIRST,1740999664020.0,-0.029,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,USDJPY,detection_time_continuation,LONG,1740999766359,0.0,0.044,0,110707,REVERSAL_FIRST,1740999766564.0,REVERSAL_FIRST,1740999766564.0,REVERSAL_FIRST,1740999766564.0,-0.043,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,USDJPY,post_burst_continuation,LONG,1740999766359,0.0,0.044,0,110707,REVERSAL_FIRST,1740999766564.0,REVERSAL_FIRST,1740999766564.0,REVERSAL_FIRST,1740999766564.0,-0.043,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,USDJPY,failed_shock_reversal,SHORT,1740999766359,0.011,0.031,110707,78483,REVERSAL_FIRST,1740999766564.0,REVERSAL_FIRST,1740999766564.0,REVERSAL_FIRST,1740999766564.0,0.008,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,USDJPY,detection_time_continuation,LONG,1740999847355,0.0,0.102,0,112908,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,-0.099,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,USDJPY,post_burst_continuation,LONG,1740999847355,0.0,0.102,0,112908,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,-0.099,0.0,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,USDJPY,failed_shock_reversal,SHORT,1740999847355,0.064,0.022,99063,5645,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,0.061,0.042,False,tickshock-state-conditioned-response-v1
ts15d_state_202503_r3_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,USDJPY,detection_time_continuation,LONG,1740999847355,0.0,0.102,0,112908,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,REVERSAL_FIRST,1740999848014.0,-0.099,0.0,False,tickshock-state-conditioned-response-v1
