path_class,replicates,mean,ci_low,ci_high,seed,mean_block,note
CLEAN_CONTINUATION,10000,0.32815829528158297,0.3117199391171994,0.34429223744292237,20260829,2,circular chronological episode block bootstrap
PULLBACK_CONTINUATION,10000,0.07275494672754947,0.0639269406392694,0.08159056316590552,20260829,2,circular chronological episode block bootstrap
FAILED_SHOCK_REVERSAL,10000,0.426179604261796,0.40882800608828007,0.4432343987823439,20260829,2,circular chronological episode block bootstrap
TWO_SIDED_WHIPSAW,10000,0.0,0.0,0.0,20260829,2,circular chronological episode block bootstrap
DEAD_OR_TIMEOUT,10000,0.17290715372907153,0.16012176560121766,0.1856925418569254,20260829,2,circular chronological episode block bootstrap
CLEAN_CONTINUATION,10000,0.32815829528158297,0.3117199391171994,0.34490106544901067,20260829,4,circular chronological episode block bootstrap
PULLBACK_CONTINUATION,10000,0.07275494672754947,0.0639269406392694,0.08158295281582953,20260829,4,circular chronological episode block bootstrap
FAILED_SHOCK_REVERSAL,10000,0.426179604261796,0.40882800608828007,0.44322678843226787,20260829,4,circular chronological episode block bootstrap
TWO_SIDED_WHIPSAW,10000,0.0,0.0,0.0,20260829,4,circular chronological episode block bootstrap
DEAD_OR_TIMEOUT,10000,0.17290715372907153,0.1604261796042618,0.18599695585996956,20260829,4,circular chronological episode block bootstrap
CLEAN_CONTINUATION,10000,0.32815829528158297,0.31141552511415527,0.3452054794520548,20260829,8,circular chronological episode block bootstrap
PULLBACK_CONTINUATION,10000,0.07275494672754947,0.0639269406392694,0.08188736681887367,20260829,8,circular chronological episode block bootstrap
FAILED_SHOCK_REVERSAL,10000,0.426179604261796,0.40882800608828007,0.44322678843226787,20260829,8,circular chronological episode block bootstrap
TWO_SIDED_WHIPSAW,10000,0.0,0.0,0.0,20260829,8,circular chronological episode block bootstrap
DEAD_OR_TIMEOUT,10000,0.17290715372907153,0.16012176560121766,0.18599695585996956,20260829,8,circular chronological episode block bootstrap
