fold,validation_episodes,train_episodes,validation_start_msc,validation_end_msc,purge_ms,random_shuffle,episode_overlap
0,657,2628,1740999588250,1741349801500,120000,False,0
1,657,2628,1741349988750,1741858006250,120000,False,0
2,657,2628,1741858533250,1742404884750,120000,False,0
3,657,2628,1742405395750,1742964861500,120000,False,0
4,657,2628,1742965038500,1743462360750,120000,False,0
