day_of_week,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
1,4,0.250000,1.345588,-0.709679,-0.195862,0.632017,-0.783450,-0.67,1205.50
2,1,1.000000,1.345679,0.000000,1.345679,inf,1.345679,1.09,585.00
3,1,0.000000,0.000000,-0.712000,-0.712000,0.000000,-0.712000,-0.89,2700.00
4,2,0.000000,0.000000,-1.022613,-1.022613,0.000000,-2.045226,-3.11,1464.50
5,1,0.000000,0.000000,-1.016000,-1.016000,0.000000,-1.016000,-1.27,773.00
