month,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
202601,3,0.666667,1.345633,-0.068966,0.874100,39.023098,2.622301,2.80,1426.67
202602,4,0.000000,0.000000,-0.942593,-0.942593,0.000000,-3.770373,-4.42,1049.25
202603,1,0.000000,0.000000,-1.017699,-1.017699,0.000000,-1.017699,-1.15,984.00
202604,1,0.000000,0.000000,-1.045226,-1.045226,0.000000,-1.045226,-2.08,2348.00
