metric,bin,trades,winrate,expectancy_r,pf,total_r
candidate_score,6-6.5,6,0.333333,-0.024962,0.947283,-0.149771
candidate_score,6.5-7,3,0.000000,-1.020409,0.000000,-3.061226
spread_atr,-99-0.08,2,0.500000,0.150181,1.287366,0.300362
spread_atr,0.1-0.12,7,0.142857,-0.501623,0.277058,-3.511359
spread_to_risk,-99-0.08,2,0.000000,-0.557096,0.000000,-1.114192
spread_to_risk,0.08-0.12,6,0.333333,-0.182801,0.710458,-1.096805
spread_to_risk,0.12-0.18,1,0.000000,-1.000000,0.000000,-1.000000
atr_ratio,1.1-1.45,2,0.000000,-0.390483,0.000000,-0.780966
atr_ratio,1.45-1.8,3,0.666667,0.563756,2.691267,1.691267
atr_ratio,1.8-99,4,0.000000,-1.030324,0.000000,-4.121298
range_position,0.25-0.45,7,0.142857,-0.508097,0.274483,-3.556676
range_position,0.6-0.75,1,1.000000,1.345679,inf,1.345679
range_position,0.75-0.9,1,0.000000,-1.000000,0.000000,-1.000000
body_atr,-99-0.15,1,0.000000,-1.045226,0.000000,-1.045226
body_atr,0.15-0.35,1,1.000000,1.345679,inf,1.345679
body_atr,0.35-0.7,5,0.000000,-0.957614,0.000000,-4.788072
body_atr,0.7-99,2,0.500000,0.638311,19.510889,1.276622
wick_atr,-99-0.03,3,0.333333,-0.122107,0.786027,-0.366321
wick_atr,0.03-0.08,3,0.000000,-0.709679,0.000000,-2.129038
wick_atr,0.15-99,3,0.333333,-0.238546,0.652810,-0.715638
ema_deviation_atr,-99-0.25,5,0.400000,-0.074332,0.878659,-0.371658
ema_deviation_atr,0.25-0.5,3,0.000000,-0.923458,0.000000,-2.770373
ema_deviation_atr,1.2-99,1,0.000000,-0.068966,0.000000,-0.068966
distance_recent_high_atr,0.25-0.75,1,0.000000,-0.068966,0.000000,-0.068966
distance_recent_high_atr,0.75-1.5,2,0.500000,0.172840,1.345679,0.345679
distance_recent_high_atr,1.5-3,3,0.000000,-0.924409,0.000000,-2.773226
distance_recent_high_atr,3-99,3,0.333333,-0.238161,0.653175,-0.714484
distance_recent_low_atr,1-2,4,0.000000,-0.942593,0.000000,-3.770373
distance_recent_low_atr,2-3,2,1.000000,1.345633,inf,2.691267
distance_recent_low_atr,3-99,3,0.000000,-0.710630,0.000000,-2.131891
recent_range_atr,2-4,2,0.000000,-1.008000,0.000000,-2.016000
recent_range_atr,4-6,5,0.200000,-0.304577,0.469112,-1.522886
recent_range_atr,6-99,2,0.500000,0.163945,1.322187,0.327889
pullback_depth_atr,-99-0.2,1,0.000000,-1.042373,0.000000,-1.042373
pullback_depth_atr,0.2-0.5,3,0.000000,-0.924409,0.000000,-2.773226
pullback_depth_atr,0.5-0.8,1,0.000000,-0.068966,0.000000,-0.068966
pullback_depth_atr,0.8-1.2,2,0.500000,0.172794,1.345588,0.345588
pullback_depth_atr,1.2-1.8,2,0.500000,0.163990,1.322276,0.327980
breakout_acceptance_atr,-99-0,7,0.285714,-0.208089,0.648828,-1.456624
breakout_acceptance_atr,0-0.1,2,0.000000,-0.877186,0.000000,-1.754373
up_pressure,-99-0.45,7,0.142857,-0.508097,0.274483,-3.556676
up_pressure,0.45-0.52,1,1.000000,1.345679,inf,1.345679
up_pressure,0.52-0.6,1,0.000000,-1.000000,0.000000,-1.000000
down_pressure,0.35-0.48,1,0.000000,-1.000000,0.000000,-1.000000
down_pressure,0.48-0.6,3,0.333333,-0.137182,0.765797,-0.411547
down_pressure,0.6-99,5,0.200000,-0.359890,0.427845,-1.799450
risk_distance_atr,0.8-1.2,8,0.250000,-0.392754,0.461363,-3.142031
risk_distance_atr,1.2-1.8,1,0.000000,-0.068966,0.000000,-0.068966
risk_distance_pips,10-15,1,1.000000,1.345679,inf,1.345679
risk_distance_pips,15-20,5,0.000000,-0.957614,0.000000,-4.788072
risk_distance_pips,20-30,2,0.500000,0.638311,19.510889,1.276622
risk_distance_pips,30-99,1,0.000000,-1.045226,0.000000,-1.045226
free_margin_after_entry,50-100,9,0.222222,-0.356777,0.455972,-3.210997
