hour,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
1,2,0.500000,1.345588,-0.068966,0.638311,19.510889,1.276622,1.71,1847.50
2,1,0.000000,0.000000,-1.042373,-1.042373,0.000000,-1.042373,-1.23,143.00
8,1,0.000000,0.000000,-1.000000,-1.000000,0.000000,-1.000000,-1.03,581.00
15,2,0.000000,0.000000,-1.031462,-1.031462,0.000000,-2.062925,-3.23,1666.00
16,1,1.000000,1.345679,0.000000,1.345679,inf,1.345679,1.09,585.00
17,2,0.000000,0.000000,-0.864000,-0.864000,0.000000,-1.728000,-2.16,1736.50
