exit_reason,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
SL,5,0.000000,0.000000,-1.024260,-1.024260,0.000000,-5.121298,-6.76,965.80
TIMEOUT,2,0.000000,0.000000,-0.390483,-0.390483,0.000000,-0.780966,-1.01,2700.00
TP,2,1.000000,1.345633,0.000000,1.345633,inf,2.691267,2.92,790.00
